GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
26039039005,1,26039039005,1091,382,672,1203,443,749,1198,421,770,1018,373,621,992,311,608,1024,398,584,1127,366,692,1729,1646,23,13,47,8,0,10,47,0,0,0,2150,2013,47,29,58,12,0,0,0,1679,1612,16,10,31,8,0,9,31,0,0,0,0,2076,1924,49,23,42,13,0,11,36,0,0,0,59,2008,1937,26,7,17,21,0,0,0,1623,1576,17,2,10,18,0,0,0,1566,1466,19,2,10,11,0,14,44,1918,1801,26,6,17,46,1,1566,1466,19,6,17,39,1
26039039003,1,26039039003,641,231,377,768,295,456,753,286,452,593,223,340,581,190,336,592,226,322,670,223,391,1384,1278,27,49,21,3,0,41,21,0,0,0,1850,1678,66,77,25,4,0,0,0,1328,1238,31,31,15,4,0,25,15,0,0,0,0,1742,1569,96,51,18,7,0,29,18,0,0,0,30,1884,1802,32,22,13,15,1,0,0,1435,1391,17,8,7,10,1,0,0,1454,1298,59,13,12,16,0,1,55,1867,1639,90,30,21,69,3,1454,1298,59,16,16,56,3
26053053002,1,26053053002,605,248,341,674,251,413,666,250,406,540,250,281,528,220,281,537,255,269,623,210,387,910,882,6,9,1,10,0,9,1,1,2,0,1141,1098,7,14,5,15,0,0,0,851,817,3,13,1,11,0,9,1,0,0,1,0,1054,1009,7,14,5,17,1,9,5,0,0,0,15,1176,1162,3,3,1,7,0,0,0,958,948,2,2,1,5,0,0,0,933,878,11,1,5,6,0,5,27,1135,1055,18,9,12,34,2,933,878,11,5,7,26,1
26137137001,1,26137137001,1432,459,938,1664,524,1116,1657,494,1138,1300,456,818,1274,391,834,1292,466,785,1453,419,959,2353,2228,40,19,36,31,0,8,3,7,0,0,3083,2891,65,42,34,65,0,0,0,2570,2432,47,18,29,42,0,18,4,3,0,0,0,3224,2994,71,46,52,80,0,17,27,4,0,0,110,3157,3037,43,21,17,43,2,0,0,2306,2239,23,7,11,24,2,0,0,2407,2279,28,2,10,12,0,2,74,3153,2936,59,27,21,73,2,2407,2279,28,9,15,53,2
26137137003,1,26137137003,817,242,554,980,282,683,973,300,663,731,240,468,713,195,490,735,237,476,801,216,542,1041,987,38,0,10,11,0,0,10,7,0,0,1271,1209,44,0,11,12,0,0,0,1067,1014,33,0,8,11,0,0,8,7,0,0,0,1348,1285,47,1,10,10,0,1,10,5,0,0,6,1354,1324,6,5,5,14,0,0,0,1113,1092,4,5,3,9,0,0,0,1141,1097,13,2,0,3,0,0,26,1350,1288,16,5,11,31,2,1141,1097,13,2,4,24,0
26001001001,1,26001001001,729,236,481,819,248,564,815,267,539,682,233,439,665,207,440,676,242,420,720,199,500,879,862,5,2,3,2,1,2,1,0,0,0,979,963,8,5,3,3,1,0,0,875,858,2,2,11,3,0,2,7,0,0,0,0,980,942,7,13,10,4,1,2,7,0,0,0,21,970,956,6,0,3,1,0,0,0,877,864,5,0,3,1,0,0,0,879,830,12,0,0,1,0,4,32,966,897,24,9,5,16,1,879,830,12,8,4,14,0
26137137005,1,26137137005,837,258,541,977,279,668,970,286,658,744,256,463,737,225,455,747,267,435,844,216,580,1314,1274,12,4,5,24,0,0,5,4,0,0,1629,1569,23,6,5,29,3,0,0,1341,1309,11,4,5,17,0,0,5,4,0,0,0,1691,1638,15,6,4,16,2,0,4,4,2,0,27,1748,1678,24,8,5,34,0,0,0,1389,1349,12,2,3,24,0,0,0,1387,1299,13,7,3,10,0,0,55,1708,1569,28,15,9,74,0,1387,1299,13,13,3,42,0
26005005023,4,26005005023,1388,576,783,1581,733,838,1575,669,893,1282,523,742,1258,492,734,1285,544,717,1367,523,759,1589,1463,72,0,49,5,0,0,49,2,1,0,2041,1875,73,4,78,9,0,0,0,1460,1325,67,0,59,2,0,0,59,0,0,1,0,1931,1694,69,53,108,4,0,51,108,0,0,0,5,2042,1921,75,21,20,9,3,0,0,1548,1485,41,6,10,7,1,0,0,1738,1581,89,1,14,0,0,7,46,2113,1892,129,22,28,29,0,1738,1581,89,9,22,20,0
26005005010,4,26005005010,1208,366,804,1438,423,995,1429,415,995,1060,355,692,1037,297,673,1069,371,658,1221,330,810,1887,1873,0,0,11,4,0,0,2,4,0,0,2696,2546,4,131,14,3,0,0,0,1799,1784,0,0,5,11,0,0,5,11,0,0,0,2516,2429,0,70,14,11,0,9,5,11,0,0,62,2451,2315,60,25,13,39,4,0,0,1724,1655,27,10,5,27,1,0,0,1839,1691,55,5,5,10,0,11,62,2454,2242,90,37,21,59,1,1839,1691,55,27,16,43,1
26005005008,4,26005005008,1119,281,809,1351,330,996,1341,315,1011,983,279,690,960,226,691,980,282,674,1108,261,782,1707,1661,13,0,26,8,0,0,6,8,0,0,2269,2190,28,19,34,8,0,0,0,1475,1466,2,0,2,3,0,0,2,3,0,0,0,1883,1870,2,6,5,3,0,3,2,3,0,0,3,1971,1909,38,8,5,12,0,0,0,1393,1360,17,6,3,10,0,0,0,1572,1470,42,5,4,9,1,4,37,2134,1965,73,33,12,43,4,1572,1470,42,18,9,26,2
