GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
04013000056,1,04013000056,2249,956,1237,2710,1261,1449,2772,1215,1508,1929,910,959,1876,821,1051,1927,706,1172,2254,773,1255,2302,830,1258,4375,3110,955,80,105,85,30,60,65,30,0,0,6025,3731,1776,102,271,107,57,0,0,4590,3415,950,70,79,65,0,55,44,15,0,0,0,6280,4089,1766,109,264,331,0,55,188,19,0,0,163,5696,4137,1155,155,155,127,27,0,0,4286,3271,726,100,114,91,17,0,0,4482,3099,940,123,110,54,6,16,134,5698,3712,1377,254,202,159,19,4482,3099,940,161,145,130,12
04013000072,8,04013000072,1081,487,570,1274,633,641,1298,603,674,966,476,456,932,409,520,962,365,567,1069,390,587,1103,455,564,2071,1704,269,16,63,20,0,16,48,12,0,0,2576,1936,437,42,167,22,0,0,0,1978,1599,254,24,83,20,0,16,71,12,0,0,0,2477,1797,435,32,191,19,0,17,121,13,0,43,55,2514,1953,405,102,32,53,3,0,0,1979,1602,280,56,23,41,3,0,0,2481,1828,398,105,47,19,3,13,68,3053,2126,589,203,79,107,8,2481,1828,398,137,60,74,4
04013000002,8,04013000002,2386,819,1522,2854,1068,1786,2874,1034,1795,2109,761,1309,2056,696,1359,2108,617,1445,2257,621,1512,2310,729,1443,3665,2891,397,124,205,1,0,114,175,1,42,0,5019,3608,637,269,570,1,80,0,0,3097,2413,298,136,189,26,0,113,179,1,0,36,0,4205,2943,471,238,516,36,75,142,447,1,0,0,203,4389,3333,603,196,234,61,19,0,0,3398,2654,414,129,180,42,11,0,0,3591,2622,499,84,206,13,2,26,139,4487,3165,709,189,336,123,22,3591,2622,499,130,259,92,14
04013000025,5,04013000025,4420,2029,2322,5649,2764,2885,5707,2752,2886,3921,1881,1978,3821,1727,2091,3916,1574,2288,3497,1166,2209,3574,1502,1826,3845,2613,442,175,533,49,0,159,489,9,10,0,6442,3986,803,402,1270,129,21,0,0,5301,3291,855,255,830,42,0,255,801,12,0,10,0,9030,4937,1320,552,2286,163,28,356,2136,28,0,36,216,4770,3235,454,213,854,50,26,0,0,3112,2130,277,132,557,21,12,0,0,7255,4305,828,270,1564,29,19,34,206,10806,6204,1302,557,2571,220,82,7255,4305,828,347,1664,128,52
04013000107,8,04013000107,1217,554,631,1461,720,741,1487,690,762,1045,519,498,1021,478,542,1046,428,582,1199,426,686,1226,482,638,2024,1424,401,105,69,24,0,64,35,19,0,0,2883,1780,748,192,101,92,0,0,0,1966,1403,322,127,88,22,0,36,71,20,0,0,0,2785,1758,626,202,136,84,0,94,114,72,0,0,121,2779,1845,602,140,188,49,10,0,0,2067,1468,366,82,133,28,6,0,0,2356,1494,512,97,105,41,12,9,86,3029,1793,761,195,175,133,20,2356,1494,512,124,128,94,17
04013000047,3,04013000047,792,646,130,1104,911,193,1120,902,202,608,506,75,593,479,114,605,452,133,765,525,211,780,626,116,5196,1661,2361,950,34,203,0,930,34,188,0,0,8019,1736,4941,1155,33,332,0,0,0,5700,1692,2768,816,39,389,0,796,39,349,0,0,0,8369,1728,5255,969,41,574,0,811,41,403,0,28,101,11484,2128,7775,1322,102,446,8,0,0,8545,1952,5288,1045,72,329,6,0,0,8049,3280,3237,1145,11,269,1,11,95,9953,3389,4666,1568,95,486,44,8049,3280,3237,1203,75,421,43
04013000268,3,04013000268,1750,1287,427,2219,1710,509,2247,1678,535,1459,1089,316,1404,1022,376,1454,966,445,1707,1029,570,1730,1256,366,5735,955,3810,395,170,364,0,380,170,350,35,0,12448,1022,9786,723,298,738,33,0,0,5745,1230,3675,474,145,184,0,459,145,160,0,30,0,12663,1604,9508,857,299,453,31,794,244,356,0,55,102,10168,1498,7713,539,355,293,28,0,0,6474,1257,4592,313,235,190,13,0,0,7571,1114,5364,550,209,131,18,67,118,10926,1257,8018,1060,381,569,39,7571,1114,5364,658,266,370,33
04013000649,3,04013000649,1437,1147,248,1850,1518,332,1877,1477,362,1171,960,145,1145,934,208,1169,877,246,1419,1009,323,1431,1132,195,4359,631,3192,426,0,105,0,401,0,95,10,0,8246,788,6916,575,93,142,8,0,0,4671,559,3588,416,4,101,0,386,0,81,0,4,0,8183,738,6851,609,217,196,7,466,0,72,0,0,59,7710,664,6268,734,81,235,26,0,0,4848,546,3745,492,58,139,11,0,0,5555,588,4391,383,32,68,12,10,71,8078,681,6615,662,111,314,29,5555,588,4391,452,73,228,27
04013000516,4,04013000516,1820,750,1004,2208,1023,1185,2232,985,1181,1570,679,824,1534,645,886,1573,558,967,1761,566,1067,1804,637,972,3787,2197,856,244,29,359,75,238,27,320,16,0,6352,2863,2272,422,82,664,240,0,0,3908,2380,827,259,38,328,65,253,38,302,65,16,0,6047,3140,1721,456,77,593,225,398,63,452,194,6,75,5122,2978,1669,256,60,198,49,0,0,3557,2274,984,147,45,124,19,0,0,3937,2115,1294,203,38,151,18,9,109,5630,2704,2097,413,118,402,48,3937,2115,1294,252,71,242,27
04013000402,3,04013000402,1964,1515,406,2544,2045,499,2567,1990,537,1572,1207,283,1544,1192,349,1578,1120,411,1975,1310,586,2014,1525,363,5784,785,4603,335,30,20,0,305,30,20,0,0,14118,958,12598,577,42,104,0,0,0,6807,693,5752,333,34,0,0,313,34,0,0,0,0,15272,909,13905,487,47,106,2,375,35,0,0,0,47,11466,1142,9750,431,155,312,33,0,0,7148,997,5740,274,123,161,23,0,0,8121,802,6798,276,77,74,8,19,67,11941,933,10264,563,147,422,29,8121,802,6798,362,99,280,16
04013000677,8,04013000677,4533,1770,2687,5926,2557,3369,5988,2463,3441,3657,1582,2002,3568,1444,2115,3647,1254,2331,4317,1125,2907,4456,1307,2890,7846,6258,742,410,349,46,0,370,294,26,49,0,11127,8353,1302,653,734,139,92,0,0,8341,6977,765,289,239,79,0,240,221,30,0,35,0,12133,9392,1608,452,414,171,72,312,326,49,0,41,402,9048,7397,780,324,486,107,40,0,0,6401,5340,478,203,317,60,31,0,0,8879,6730,901,358,392,70,24,56,348,11806,8687,1346,651,766,337,75,8879,6730,901,437,512,256,46
04013000410,1,04013000410,4653,2240,2351,5447,2792,2655,5484,2788,2638,4225,2154,2030,4118,1925,2190,4208,1703,2461,4379,1717,2505,4447,2064,2125,7200,6160,380,124,480,48,25,99,340,48,0,0,8477,7035,508,179,666,69,25,0,0,6990,5965,455,49,448,53,30,39,364,53,30,0,0,8940,7034,582,542,656,110,29,507,448,45,29,23,272,7403,6507,408,124,308,86,12,0,0,6531,5833,323,90,239,56,9,0,0,7051,6063,446,56,229,28,14,26,189,7968,6686,601,151,372,115,39,7051,6063,446,120,294,97,27
04013000350,7,04013000350,1417,746,643,1725,968,757,1752,935,793,1233,679,509,1190,637,552,1229,571,635,1385,592,688,1414,688,621,2483,1461,691,276,28,6,8,275,26,5,13,0,3801,1875,1131,721,91,16,11,0,0,1995,1195,551,220,14,9,0,220,10,5,0,0,0,3205,1544,1064,534,57,25,0,470,52,6,0,0,68,3280,1685,1116,330,128,75,10,0,0,2314,1275,715,216,85,50,7,0,0,2722,1171,1074,199,110,40,23,23,82,3627,1445,1536,353,193,174,36,2722,1171,1074,238,138,124,28
04013000393,8,04013000393,1461,626,799,1770,810,960,1788,752,997,1267,600,634,1229,546,678,1263,471,746,1438,471,843,1479,561,796,2523,1901,466,53,87,1,4,53,77,1,0,0,3518,2403,873,78,152,8,6,0,0,2589,1889,477,107,113,1,4,107,113,1,4,0,0,3534,2389,814,109,203,17,5,109,203,2,5,2,10,3197,2386,539,118,88,75,18,0,0,2489,1926,364,78,69,57,10,0,0,2697,1840,542,91,85,25,11,15,88,3437,2213,792,199,158,117,19,2697,1840,542,119,113,80,17
04013000099,3,04013000099,2038,1505,480,2587,1980,607,2610,1952,597,1729,1318,363,1696,1277,412,1718,1198,473,1883,1220,545,1906,1303,444,4400,2492,1127,276,284,215,0,165,264,195,4,0,5855,2770,2107,433,327,359,30,0,0,4054,2088,1252,238,283,183,0,160,259,148,0,6,0,5378,2237,2266,354,353,341,28,187,297,148,0,4,239,5570,2350,2350,443,114,483,16,0,0,4393,2182,1527,347,96,338,11,0,0,4981,2280,1702,348,216,223,0,20,192,5782,2428,2229,571,308,477,19,4981,2280,1702,476,285,399,15
04013000653,1,04013000653,1207,768,409,1475,991,484,1486,946,510,1037,697,305,1014,669,341,1037,608,391,1176,594,497,1177,697,418,2645,1640,660,185,45,109,0,185,45,109,0,0,4026,1773,1697,263,164,113,0,0,0,2815,1780,695,170,75,75,0,170,75,75,0,30,0,3924,1926,1454,249,249,104,0,220,220,74,0,0,30,4253,1997,1852,246,95,139,15,0,0,3226,1767,1167,174,70,93,11,0,0,3229,1663,1122,186,54,67,0,31,106,4065,1860,1647,349,110,177,16,3229,1663,1122,241,91,139,12
04013000447,8,04013000447,5418,2241,3101,7282,3224,4058,7368,3192,4076,4470,1935,2469,4343,1776,2561,4453,1594,2810,4550,1421,2931,4662,1709,2639,7147,5796,478,204,662,14,0,200,621,0,0,0,11030,7666,1017,313,2100,132,0,0,0,8091,6702,762,164,449,8,0,160,419,0,0,0,0,11802,8542,1361,320,1763,190,0,247,1471,2,0,0,177,7989,5944,847,205,929,113,26,0,0,5483,4215,486,117,618,62,16,0,0,9753,6946,914,277,1222,44,3,29,318,13642,9359,1367,511,2145,263,41,9753,6946,914,361,1356,181,20
04013000503,4,04013000503,3502,1617,1807,4624,2375,2249,4671,2235,2365,2972,1486,1387,2905,1323,1581,2960,1051,1827,2896,1132,1526,2946,1258,1458,9277,6747,1547,634,100,247,59,566,45,156,4,0,12054,7959,2782,762,171,330,164,0,0,9784,6905,1578,873,96,234,0,774,45,150,0,121,0,12555,8092,2793,1178,148,458,92,892,48,192,82,36,421,10319,7324,2090,514,178,300,56,0,0,8561,6639,1296,334,135,182,36,0,0,9717,6753,1738,450,152,188,39,34,363,11421,7266,2543,853,278,636,87,9717,6753,1738,594,224,462,64
04013000518,5,04013000518,4020,1675,2250,5018,2290,2728,5052,2257,2711,3378,1459,1849,3305,1379,1919,3373,1267,2051,3966,1165,2577,4068,1407,2269,6220,4545,915,460,240,0,0,440,240,0,65,0,10215,6915,1780,781,843,0,219,0,0,6605,4740,1215,455,138,15,0,435,138,0,0,40,0,10626,6974,2128,822,866,285,133,501,442,0,0,0,581,8037,5617,1379,458,529,122,33,0,0,5105,3682,780,267,325,71,18,0,0,6876,4739,1089,332,339,50,25,34,268,10524,7015,1812,746,724,317,65,6876,4739,1089,430,448,182,54
04013000233,5,04013000233,4116,1256,2779,5139,1650,3489,5208,1589,3531,3628,1237,2306,3541,1111,2426,3617,974,2576,3592,970,2321,3681,1017,2379,5965,4873,786,54,112,101,6,39,101,76,10,0,8124,6460,1257,203,128,132,15,0,0,6444,5235,958,40,131,64,6,25,116,42,6,4,0,8455,6696,1424,157,141,122,13,68,118,43,5,0,93,7787,6348,1038,149,171,140,19,0,0,5821,4895,643,108,120,89,11,0,0,6856,5431,928,98,112,37,10,28,212,8815,6768,1386,248,222,268,42,6856,5431,928,157,174,187,26
04013000106,8,04013000106,2292,1234,995,2844,1666,1178,2895,1607,1227,1936,1107,747,1875,1025,842,1918,903,960,2244,1007,1071,2291,1102,1002,5460,3525,1220,560,33,64,15,495,14,60,50,0,7877,4391,2424,934,77,207,15,0,0,5465,3445,1330,459,43,90,55,399,29,90,55,35,0,7528,4109,2475,853,200,334,57,543,36,136,57,0,172,6509,3987,1753,451,238,219,11,0,0,5094,3373,1148,310,178,144,10,0,0,6124,3316,1734,501,163,113,0,23,274,7768,3838,2507,902,307,419,44,6124,3316,1734,629,245,306,29
04013000175,1,04013000175,1741,1020,687,2013,1266,747,2034,1243,762,1552,956,557,1527,887,635,1545,797,707,1780,865,798,1799,977,697,3182,2500,532,55,86,12,0,45,68,6,10,0,3754,2777,744,85,127,29,0,0,0,3717,2753,482,44,58,349,30,40,46,343,30,0,0,4240,3033,662,67,90,361,42,54,51,344,32,2,62,3380,2469,655,140,74,69,7,0,0,2864,2229,443,100,56,51,3,0,0,2905,1978,581,120,73,46,4,17,86,3483,2180,845,220,124,149,18,2905,1978,581,143,99,109,8
04013000724,5,04013000724,2991,1197,1740,4078,1729,2349,4104,1699,2349,2577,1078,1461,2501,984,1512,2554,899,1607,2147,652,1396,2199,814,1187,4438,2727,970,287,422,0,18,264,422,0,13,0,7618,4631,1485,555,885,0,38,0,0,3352,2333,437,225,330,4,15,200,330,4,15,10,0,5875,3884,793,547,613,6,35,472,581,5,26,0,115,3926,2756,560,160,438,45,17,0,0,2481,1771,324,82,283,27,8,0,0,5130,3240,674,174,832,24,2,17,167,7801,4758,1145,377,1391,189,23,5130,3240,674,219,907,98,12
04013000275,4,04013000275,3941,1575,2256,4810,2170,2640,4858,2068,2666,3411,1445,1874,3327,1309,2012,3396,1161,2144,3848,1176,2401,3944,1316,2232,7430,5280,1085,790,150,119,10,750,120,49,10,0,10203,6919,1885,1150,293,222,8,0,0,7085,5215,1070,600,113,69,4,545,99,69,4,10,0,9964,6632,2117,907,379,164,7,617,219,117,7,0,255,8632,6396,1512,409,222,174,53,0,0,6429,5009,930,266,156,102,28,0,0,7229,5133,1251,288,227,54,21,18,237,9374,6388,1902,535,408,276,61,7229,5133,1251,378,313,189,47
04013000122,5,04013000122,4216,2078,2053,5149,2693,2456,5224,2637,2498,3738,1962,1698,3629,1752,1871,3722,1653,1980,3877,1526,2105,3952,1769,1860,6152,4067,1125,427,366,179,0,427,313,140,3,0,8705,5063,1816,809,905,302,3,0,0,6632,4471,1032,495,483,208,0,440,455,125,0,3,0,8572,5259,1558,761,840,287,3,594,716,192,0,0,256,8483,5519,1789,435,673,186,30,0,0,6212,4306,1114,286,443,111,17,0,0,7126,4396,1408,310,648,79,19,21,245,9150,5297,2048,581,1033,304,59,7126,4396,1408,381,757,214,36
04013000331,4,04013000331,2048,1134,871,2723,1587,1136,2755,1553,1152,1669,989,636,1624,905,718,1663,814,811,1859,821,944,1907,946,796,3460,2150,710,170,385,40,0,155,360,40,0,0,4511,2461,1274,221,506,43,0,0,0,3400,2190,510,255,389,58,0,240,350,54,0,0,0,4508,2552,991,359,546,64,0,342,498,53,0,0,72,5588,2715,2092,392,303,180,32,0,0,4105,2208,1351,258,221,116,16,0,0,4654,2251,1380,371,362,70,13,21,186,6032,2695,1996,640,550,247,36,4654,2251,1380,455,428,180,25
04013000541,5,04013000541,5178,1572,3533,8563,2827,5736,8659,2730,5805,3721,1153,2511,3665,1103,2556,3723,967,2693,2740,659,1934,2806,699,1906,5550,4365,875,195,70,40,10,195,35,40,0,0,8383,6547,1322,288,172,100,85,0,0,6180,5100,590,165,245,80,0,165,65,55,0,0,0,9473,7897,919,266,397,89,28,174,144,53,12,0,274,3393,2603,510,164,96,51,22,0,0,2032,1567,279,104,54,36,9,0,0,9938,7265,1506,360,274,78,18,24,413,14766,10529,2473,748,646,458,102,9938,7265,1506,473,442,292,58
04013000149,8,04013000149,2897,870,1974,3767,1208,2559,3806,1170,2581,2480,835,1599,2400,711,1689,2476,641,1783,2390,555,1664,2450,633,1655,3618,3138,264,43,128,45,0,33,86,35,0,0,5197,4298,452,54,375,85,0,0,0,3970,3300,215,0,330,125,0,0,225,65,0,0,0,6014,4918,380,0,615,227,0,0,331,94,0,0,291,4371,3612,431,111,185,46,24,0,0,3000,2542,254,63,117,29,14,0,0,4717,3655,473,79,303,14,5,16,172,6567,4924,776,196,555,111,18,4717,3655,473,113,361,87,12
04013000092,3,04013000092,2317,1519,749,2847,1926,921,2857,1882,931,2037,1400,570,2002,1342,658,2030,1219,755,2125,1198,811,2158,1367,650,4107,1722,1573,422,91,160,0,399,72,145,131,0,5934,1972,2631,584,245,566,181,0,0,4360,1692,1765,606,94,127,0,528,64,119,0,71,0,6639,1866,3272,1007,190,415,70,764,65,318,0,0,357,4867,1658,2454,446,257,179,22,0,0,3537,1407,1560,329,197,109,10,0,0,4979,1652,2355,508,189,81,15,47,132,6815,1955,3558,874,318,348,45,4979,1652,2355,612,246,234,28
04005000040,2,04005000040,462,194,254,632,290,342,637,283,340,372,159,201,361,154,206,375,146,216,402,124,248,419,144,227,378,263,17,0,46,54,0,0,46,54,0,0,386,263,18,0,66,55,0,0,0,471,384,4,4,86,0,0,4,86,0,0,0,0,497,382,3,4,116,0,0,4,116,0,0,0,0,875,655,143,8,17,55,3,0,0,614,479,79,8,12,37,3,0,0,837,580,153,5,32,38,2,2,25,1195,806,230,21,55,91,3,837,580,153,14,41,51,2
04005000098,2,04005000098,1684,419,1229,2098,539,1559,2126,525,1568,1479,425,1006,1444,386,1056,1478,340,1110,1529,364,1013,1575,374,1071,2439,1646,532,48,36,171,0,29,36,94,13,0,3270,1986,892,103,52,349,0,0,0,2652,1776,622,18,65,167,0,14,65,107,0,0,0,3418,2082,940,67,67,315,0,14,67,149,0,0,168,3287,2314,778,60,33,142,2,0,0,2547,1930,489,36,24,88,2,0,0,2963,2145,607,29,21,51,2,5,103,3710,2487,928,74,58,174,16,2963,2145,607,56,34,122,12
