GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
19069069008,4,19069069008,1640,661,943,1800,757,1009,1753,745,952,1449,610,805,1263,1005,0,1764,533,1150,1775,678,954,2903,2556,337,9,0,0,0,9,0,0,0,0,4203,3171,1021,10,0,0,0,0,0,2850,2582,234,38,0,0,0,38,0,0,0,0,0,4105,3165,902,37,0,0,0,37,0,0,0,0,0,4461,3432,958,47,24,33,4,0,0,3300,2714,551,16,16,19,3,0,0,3227,2422,715,10,18,4,0,7,51,4337,2936,1249,42,42,90,5,3227,2422,715,17,20,57,3
19069069004,4,19069069004,580,162,403,653,182,459,656,190,432,498,148,341,405,321,0,602,137,437,606,169,405,954,954,0,0,0,4,0,0,0,0,0,0,1230,1203,13,0,0,14,0,0,0,792,782,0,0,0,10,0,0,0,0,0,0,0,1083,1007,4,0,0,75,0,0,0,0,0,0,75,1172,1143,11,4,6,9,1,0,0,897,877,7,2,4,7,1,0,0,883,836,17,6,7,0,0,0,17,1130,1054,18,22,7,18,1,883,836,17,9,7,6,1
19015015012,4,19015015012,566,194,356,650,216,414,643,217,406,498,192,298,432,289,0,549,149,379,555,172,341,702,671,10,3,9,10,0,0,9,0,0,0,907,854,18,15,16,10,0,0,0,697,681,2,0,2,10,0,0,2,0,0,2,0,877,854,12,12,2,13,0,4,2,0,0,0,14,896,874,5,2,6,7,1,0,0,685,672,3,0,4,3,1,0,0,733,710,2,1,0,0,0,3,17,957,921,8,2,4,10,0,733,710,2,2,2,9,0
19169169015,4,19169169015,408,118,279,467,118,333,465,139,299,363,118,231,322,197,0,428,106,305,430,107,287,582,574,0,6,3,0,0,3,3,0,0,0,810,784,12,17,1,0,0,0,0,596,576,0,6,16,0,0,3,16,0,0,0,0,877,779,13,21,66,0,0,6,15,0,0,0,66,787,772,3,3,5,4,0,0,0,563,557,0,1,1,4,0,0,0,613,573,8,2,0,1,0,8,21,803,736,17,4,8,20,0,613,573,8,3,3,13,0
19169169109,4,19169169109,1900,1103,736,2030,1254,726,2013,1205,771,1797,1085,686,1624,1307,0,1873,892,921,1905,1101,634,2134,1904,64,27,119,10,0,27,115,0,15,0,3229,2480,171,41,527,23,0,0,0,2309,2138,95,25,34,10,0,25,30,0,0,4,0,3797,2764,286,34,699,15,0,27,694,0,0,0,25,3014,2424,65,75,436,16,2,0,0,2328,1888,48,62,328,10,2,0,0,2822,2127,120,76,398,2,1,6,92,3536,2588,158,138,586,42,5,2822,2127,120,99,431,23,4
19169169102,4,19169169102,1588,1010,500,1571,1065,462,1548,999,503,1455,1029,384,1331,1066,0,1702,876,739,1783,1057,539,3571,3194,89,128,148,11,0,55,26,0,0,0,3901,3488,87,135,181,21,0,0,0,3148,2763,58,187,127,7,0,91,70,0,0,0,0,3494,3061,61,207,162,16,0,109,102,0,0,0,163,2807,2390,108,94,202,12,1,0,0,2594,2240,89,75,184,10,0,0,0,2861,2354,188,50,125,8,0,13,123,3162,2583,219,98,231,24,58,2861,2354,188,71,220,18,53
19169169002,4,19169169002,1079,451,596,1197,500,674,1191,494,665,990,473,492,883,624,0,1095,343,708,1104,423,566,1340,1327,2,0,0,11,0,0,0,1,0,0,1862,1844,6,0,2,12,0,0,0,1277,1270,6,0,0,5,0,0,0,1,0,0,0,1763,1739,9,0,2,15,0,0,2,1,0,0,13,1758,1706,22,17,12,9,0,0,0,1270,1243,8,3,10,8,0,0,0,1360,1287,27,2,5,2,1,5,31,1869,1734,50,11,18,29,5,1360,1287,27,4,9,21,4
19169169019,4,19169169019,2029,831,1102,2463,1063,1319,2445,1043,1321,1766,788,930,1533,1079,0,1875,597,1183,1912,739,946,2595,2545,41,0,10,0,0,0,10,0,0,0,3740,3620,75,21,37,0,0,0,0,2562,2515,36,2,10,2,0,2,10,0,0,0,0,3800,3710,42,32,33,1,0,31,25,0,0,0,2,3333,3153,73,62,24,24,0,0,0,2200,2112,35,25,15,15,0,0,0,2933,2721,68,24,21,3,0,6,90,4248,3911,107,69,51,61,0,2933,2721,68,34,37,37,0
19177177020,1,19177177020,412,119,287,473,107,360,463,134,310,352,124,222,293,220,0,437,108,309,446,119,304,727,719,0,0,3,3,0,0,3,0,0,0,939,889,0,8,37,4,0,0,0,712,698,0,0,8,0,0,0,8,0,0,0,0,934,878,0,8,43,0,0,8,9,0,0,0,37,898,869,16,5,1,6,0,0,0,687,669,10,1,1,5,0,0,0,655,624,9,0,0,0,0,0,22,829,780,17,7,1,22,0,655,624,9,0,0,18,0
19121121011,3,19121121011,147,44,103,166,51,115,163,51,111,133,44,87,114,76,0,144,33,103,146,38,98,182,182,0,0,0,0,0,0,0,0,0,0,236,236,0,0,0,0,0,0,0,169,168,0,0,0,0,0,0,0,0,0,0,0,228,227,0,0,0,0,0,0,0,0,0,0,0,262,249,9,0,4,0,3,0,0,190,183,5,0,2,0,1,0,0,198,187,9,0,0,0,0,1,1,270,244,17,3,4,6,1,198,187,9,0,1,1,1
19027027004,4,19027027004,123,36,87,144,40,104,139,44,95,108,35,71,89,74,0,124,30,90,126,33,85,206,206,0,0,0,0,0,0,0,0,0,0,276,276,0,0,0,0,0,0,0,178,176,0,0,0,0,0,0,0,0,0,0,0,246,233,10,0,0,0,0,0,0,0,0,0,0,268,263,2,0,2,1,0,0,0,187,184,2,0,0,1,0,0,0,182,181,0,0,0,1,0,0,0,244,239,1,0,2,1,0,182,181,0,0,0,1,0
19027027002,4,19027027002,193,47,145,226,47,178,227,53,169,169,49,117,135,113,0,195,33,156,201,49,142,295,295,0,0,0,0,0,0,0,0,0,0,395,395,0,0,0,0,0,0,0,262,257,2,2,0,0,0,0,0,0,0,0,0,361,346,18,2,0,0,0,0,0,0,0,0,2,388,385,1,0,2,0,0,0,0,281,279,1,0,1,0,0,0,0,283,278,1,0,3,0,0,0,1,383,376,1,1,4,1,0,283,278,1,0,3,1,0
19027027019,4,19027027019,617,192,414,694,210,474,691,203,458,550,193,346,477,387,0,634,151,459,634,189,420,912,893,8,4,0,0,0,0,0,0,0,0,1265,1204,58,3,0,9,0,0,0,841,807,29,13,0,0,0,0,0,0,0,0,0,1182,1127,51,11,0,5,0,0,0,0,0,0,11,1305,1251,43,4,2,6,0,0,0,967,940,21,2,1,4,0,0,0,971,914,35,2,0,0,0,0,20,1300,1223,49,4,2,18,0,971,914,35,4,1,13,0
19015015015,4,19015015015,6101,2803,3129,6826,3075,3609,6772,3078,3428,5379,2782,2461,4846,3695,0,6340,2325,3700,6412,2710,3107,9633,9202,162,153,28,65,35,93,28,0,0,0,12498,11586,417,178,28,278,107,0,0,9769,9266,178,222,27,45,30,138,27,0,30,0,0,12496,11552,461,264,28,243,67,160,28,0,67,0,228,12666,12090,252,171,91,82,6,0,0,9690,9370,143,88,50,53,4,0,0,9718,9084,192,107,50,15,2,15,253,12460,11446,329,286,116,241,17,9718,9084,192,167,77,170,7
19169169108,4,19169169108,1614,992,556,1709,1137,537,1695,1085,557,1496,976,495,1375,1123,0,1620,825,730,1651,959,514,2263,2061,30,62,98,11,0,62,78,0,0,0,3296,2541,46,149,559,12,0,0,0,2302,2075,34,74,106,11,0,52,82,0,0,0,0,3428,2574,52,152,645,12,0,117,622,0,0,0,63,3102,2333,83,105,576,12,0,0,0,2612,1985,53,60,508,11,0,0,0,2476,1925,103,67,318,3,3,0,57,2965,2231,154,165,379,45,4,2476,1925,103,92,329,33,4
19169169105,4,19169169105,1837,1136,624,1923,1245,625,1904,1203,659,1713,1123,556,1567,1254,0,1854,971,799,1874,1137,552,2097,1684,69,211,130,0,0,91,95,0,0,0,3112,1980,74,390,684,7,17,0,0,2097,1783,83,153,87,0,0,63,69,0,0,0,0,2933,2079,88,283,494,5,17,134,444,0,0,0,188,2947,2544,109,112,176,13,1,0,0,2411,2128,72,64,139,8,0,0,0,2346,2041,83,52,91,5,0,14,60,2895,2465,126,116,134,43,2,2346,2041,83,64,111,34,0
19169169013,4,19169169013,3294,1623,1531,3667,1846,1710,3639,1848,1622,2933,1603,1244,2657,2058,0,3392,1287,1895,3440,1575,1502,4875,4715,100,63,0,0,0,28,0,0,0,0,6760,6399,248,90,31,0,0,0,0,4991,4674,279,38,0,4,0,13,0,0,0,0,0,6739,6194,430,61,35,2,0,27,35,0,0,19,36,6810,6328,233,113,101,47,2,0,0,5085,4808,123,64,64,29,2,0,0,5284,4725,262,59,55,11,0,26,146,6929,6031,439,142,108,144,5,5284,4725,262,81,77,101,2
19169169009,4,19169169009,2186,935,1169,2410,1137,1208,2405,1074,1280,2050,902,1101,1796,1275,0,2118,737,1307,2140,856,1041,1897,1797,45,14,41,0,0,10,37,0,0,0,2913,2664,104,94,60,2,0,0,0,2215,2165,20,19,10,4,0,4,6,4,0,0,0,3233,3089,36,84,24,5,0,7,12,1,0,5,83,3146,2971,72,34,58,18,4,0,0,2302,2195,44,14,42,12,3,0,0,2618,2418,68,23,30,10,0,6,63,3635,3298,96,63,74,60,5,2618,2418,68,29,41,33,2
19099099006,1,19099099006,545,183,347,615,197,400,597,203,370,487,186,295,427,306,0,562,150,387,563,176,357,710,700,0,10,5,0,0,10,4,0,0,0,938,887,16,9,32,0,0,0,0,734,714,0,4,19,0,0,4,18,0,0,0,0,1056,991,16,4,49,0,0,4,20,0,0,0,29,961,933,13,3,11,2,0,0,0,786,769,9,2,5,2,0,0,0,764,737,8,3,1,0,0,0,15,965,914,13,9,10,14,0,764,737,8,4,5,10,0
19099099019,1,19099099019,986,134,842,1080,137,929,1075,147,910,871,131,733,713,446,0,1015,107,883,1018,119,852,1381,1348,4,4,18,12,0,0,0,4,0,0,1741,1690,4,6,20,10,0,0,0,1459,1426,8,4,23,11,0,0,0,4,0,0,0,1802,1744,6,3,25,6,0,0,2,2,0,3,44,1650,1636,10,4,2,0,0,0,0,1236,1227,7,1,1,0,0,0,0,1274,1237,13,0,3,4,0,0,17,1720,1652,22,8,16,14,0,1274,1237,13,5,7,10,0
19069069019,4,19069069019,114,28,86,123,27,96,121,28,92,101,26,73,83,62,0,119,22,94,119,29,81,178,178,0,0,0,0,0,0,0,0,0,0,235,235,0,0,0,0,0,0,0,192,192,0,0,0,0,0,0,0,0,0,0,0,240,240,0,0,0,0,0,0,0,0,0,0,0,222,220,0,1,1,0,0,0,0,183,181,0,1,1,0,0,0,0,184,172,6,0,0,0,0,4,2,218,202,6,1,2,3,1,184,172,6,1,1,1,1
19069069007,4,19069069007,281,78,199,300,78,218,298,78,213,255,85,168,205,157,0,299,66,223,303,80,211,356,340,12,1,0,0,0,1,0,0,0,0,436,397,36,1,0,0,0,0,0,362,349,5,7,0,0,0,7,0,0,0,0,0,448,422,18,7,0,0,0,7,0,0,0,0,0,498,478,12,3,0,1,1,0,0,403,391,7,2,0,0,0,0,0,377,366,3,0,3,0,0,1,4,449,432,6,2,4,7,0,377,366,3,2,3,4,0
19069069017,4,19069069017,155,47,107,163,49,111,160,47,112,139,40,97,116,82,0,162,31,126,162,42,113,193,190,6,0,0,0,0,0,0,0,0,0,267,252,16,0,0,0,0,0,0,209,204,5,0,0,0,0,0,0,0,0,0,0,280,262,18,0,0,0,0,0,0,0,0,0,0,262,258,2,2,0,2,0,0,0,226,222,2,2,0,2,0,0,0,234,217,9,0,0,0,0,3,5,271,251,12,0,0,4,0,234,217,9,0,0,4,0
19069069010,4,19069069010,219,57,157,240,67,166,243,63,171,196,49,143,172,130,0,224,39,177,224,54,156,335,316,22,8,0,4,0,4,0,0,0,0,494,426,63,11,0,10,0,0,0,364,306,28,32,0,8,0,29,0,4,0,0,0,602,424,120,52,0,12,0,44,0,1,0,0,18,507,402,102,1,1,2,0,0,0,384,317,65,0,1,2,0,0,0,353,238,107,0,0,3,0,0,5,477,296,171,0,1,19,1,353,238,107,0,1,15,1
19003003012,3,19003003012,148,42,103,154,43,109,155,42,108,138,46,88,123,98,0,168,37,122,173,50,107,232,223,2,0,0,1,0,0,0,1,1,0,278,272,3,0,0,2,0,0,0,204,201,2,0,0,2,0,0,0,2,0,1,0,257,248,3,0,0,2,0,0,0,2,0,0,0,309,290,3,1,6,10,0,0,0,267,250,3,1,5,9,0,0,0,231,215,5,1,0,0,0,0,10,294,276,6,2,0,6,0,231,215,5,2,0,6,0
