GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
0901111-009,2,0901111-009,1041,466,536,1261,553,674,971,368,530,944,488,435,934,368,552,1074,620,420,1097,413,613,1415,1315,70,14,14,4,0,14,4,0,0,0,1778,1638,94,23,15,17,0,0,0,1385,1200,125,35,8,20,0,35,4,0,0,4,0,1837,1475,158,161,13,33,4,40,6,0,0,0,158,1922,1816,43,15,29,21,0,0,0,1504,1439,22,8,19,17,0,0,0,1531,1372,51,18,18,14,0,5,53,1863,1624,89,45,38,73,5,1531,1372,51,24,29,50,2,1864,1625,89,45,38,73,5
0900909-142,3,0900909-142,2517,768,1703,2909,921,1950,2355,529,1746,2292,759,1514,2279,574,1688,2606,1119,1444,2699,717,1883,3556,3034,98,327,25,71,0,327,25,0,0,0,4692,3969,187,438,28,70,0,0,0,3595,3112,93,316,25,54,0,265,25,0,0,0,0,4714,3969,160,496,23,60,0,331,23,0,0,0,228,4804,4507,158,77,27,43,4,0,0,3686,3475,107,58,18,28,4,0,0,3629,3291,140,77,25,5,1,9,81,4563,4080,207,126,43,65,5,3629,3291,140,96,29,48,4,4572,4089,207,126,43,65,5
0900909-156,3,0900909-156,3021,1443,1521,3756,1921,1761,2764,1059,1667,2813,1406,1376,2744,1118,1595,3028,1814,1156,3074,1344,1577,4706,4205,408,38,70,0,0,38,61,0,0,0,5999,5306,482,64,146,5,0,0,0,4363,3833,337,55,134,0,0,55,132,0,0,0,0,5605,4700,499,110,292,4,0,61,283,4,0,0,61,5876,5323,248,82,195,37,2,0,0,4458,4127,143,54,112,27,1,0,0,4504,3877,272,66,144,9,0,17,119,5622,4714,404,153,236,88,9,4504,3877,272,97,164,69,5,5626,4718,404,153,236,88,9
0900909-013,3,0900909-013,2861,1682,1116,3570,2132,1379,2603,1345,1181,2563,1577,955,2529,1393,1111,2943,1975,903,2954,1667,1163,5002,4204,321,281,209,11,0,261,209,0,0,0,6736,5146,742,351,493,12,0,0,0,5025,4155,355,340,159,15,0,340,159,0,0,0,0,6497,4945,734,409,399,18,0,354,377,0,0,0,87,6624,5558,373,250,419,48,7,0,0,5405,4662,253,173,289,30,3,0,0,5678,4335,451,252,465,7,2,35,131,6742,4948,611,410,656,86,4,5678,4335,451,321,490,56,4,6748,4953,611,410,656,86,4
0900909-019,5,0900909-019,2296,1118,1120,2681,1385,1226,2142,879,1163,2130,1102,1005,2119,961,1139,2348,1312,988,2391,1102,1186,4869,3800,358,521,149,42,0,485,142,28,3,0,6140,4690,498,675,316,52,0,0,0,4966,3636,441,564,184,143,0,549,123,28,0,8,0,6094,4232,591,710,349,231,0,614,205,28,0,0,423,6582,5235,438,579,355,19,4,0,0,4947,3938,317,486,218,15,4,0,0,4723,3157,523,718,226,0,0,12,87,5686,3827,628,834,352,34,5,4723,3157,523,753,254,21,5,4332,3504,261,173,349,34,5
0900909-168,5,0900909-168,2110,1109,954,2524,1398,1094,1911,848,977,1870,1017,830,1861,903,937,2223,1343,825,2335,1137,1095,3735,2569,764,366,24,25,0,302,20,0,15,0,5046,3106,1321,847,62,49,0,0,0,3731,2482,813,393,29,0,0,348,25,0,0,10,0,5109,3073,1306,937,156,0,0,522,40,0,0,26,139,5984,4008,1071,776,131,66,10,0,0,4732,3424,678,510,95,43,6,0,0,4917,2652,1215,702,125,13,2,52,156,6193,3025,1725,1219,201,129,23,4917,2652,1215,874,145,91,21,6227,3037,1733,1224,201,129,23
0900909-085,3,0900909-085,2510,1129,1313,3091,1458,1584,2243,806,1349,2214,1069,1112,2174,846,1294,2632,1496,1046,2728,1103,1495,5293,4122,559,418,164,30,0,398,164,30,0,0,7305,5398,822,779,275,29,0,0,0,5348,4225,509,499,104,15,0,454,104,15,0,0,0,7751,5472,730,1051,139,14,0,1008,139,14,0,0,387,6933,5525,605,445,327,44,6,0,0,5303,4383,368,274,227,31,3,0,0,5426,3896,660,391,168,6,3,71,231,6807,4625,968,726,261,69,16,5426,3896,660,507,199,45,13,6831,4642,970,727,261,69,16
0900909-191,5,0900909-191,2647,925,1669,3097,1124,1918,2490,675,1706,2443,912,1509,2349,703,1629,2720,1267,1412,2827,876,1842,4062,3823,137,70,4,23,0,70,4,0,7,0,5402,4929,277,144,12,47,0,0,0,4121,3884,136,60,15,8,0,60,13,0,0,18,0,5269,4762,306,142,43,9,0,124,23,1,0,0,54,5368,4938,169,153,93,23,2,0,0,4109,3858,95,83,57,18,1,0,0,4284,3710,226,115,79,6,0,15,133,5271,4431,362,248,123,101,10,4284,3710,226,171,86,69,9,5278,4438,362,248,123,101,10
0900101-184,4,0900101-184,1671,1155,495,1953,1470,458,1571,988,569,1564,1119,437,1529,1021,502,1706,1131,544,1712,1213,440,1919,1709,63,25,114,1,0,25,107,0,0,0,2839,2432,139,53,237,1,0,0,0,1826,1583,77,26,137,5,0,26,131,4,0,0,0,2699,2194,130,54,300,42,0,33,198,41,0,0,104,2862,2609,96,42,113,12,5,0,0,2044,1885,63,28,69,7,2,0,0,2135,1883,93,14,104,1,0,5,35,2924,2488,149,46,192,20,2,2135,1883,93,24,114,11,2,2927,2490,149,46,192,20,2
0900101-076,4,0900101-076,1575,982,575,1986,1261,710,1433,809,598,1409,911,487,1390,823,559,1603,1063,508,1642,1012,587,2611,1519,775,145,147,6,20,125,93,0,0,0,4569,2067,1977,231,275,74,20,0,0,2785,1748,716,148,167,11,0,138,111,0,0,0,0,4781,2572,1694,285,243,36,0,205,157,9,0,15,128,4260,2625,1174,193,267,42,0,0,0,3332,2166,820,129,210,29,0,0,0,3608,1878,1135,97,228,2,1,90,177,4610,2240,1601,209,349,76,8,3608,1878,1135,154,263,60,8,4616,2243,1603,209,349,76,8
0900909-157,3,0900909-157,1832,946,847,2316,1251,1042,1674,721,878,1635,899,713,1562,732,808,1888,1172,678,1955,911,955,3567,2876,330,101,213,16,31,101,211,0,1,0,4588,3321,754,140,359,15,31,0,0,3363,2644,355,79,243,15,35,79,240,0,35,1,0,5125,3021,1569,100,407,19,35,77,394,0,35,0,26,4348,3611,427,95,227,20,2,0,0,3459,2950,282,71,160,11,1,0,0,3741,2796,469,92,264,5,1,9,105,4549,3258,680,184,373,76,5,3741,2796,469,139,288,56,5,4550,3259,680,184,373,76,5
