GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
0900707-015,2,0900707-015,3844,1900,1864,4387,2343,1979,3635,1490,1982,3592,1884,1673,3559,1571,1961,3952,2248,1634,4015,1895,1943,5025,4920,35,0,70,0,0,0,70,0,0,0,6392,6216,36,29,111,0,0,0,0,5115,4890,90,0,130,0,0,0,130,0,0,10,0,6390,5973,101,47,250,47,0,0,148,0,0,0,168,6525,6167,141,75,109,36,8,0,0,4964,4735,98,43,60,26,5,0,0,5068,4686,142,22,62,0,2,10,144,6174,5630,202,60,131,59,13,5068,4686,142,46,91,50,10,6176,5632,202,60,131,59,13
0900707-009,2,0900707-009,4963,2412,2415,5825,2980,2731,4674,1935,2467,4617,2390,2164,4567,2013,2483,5001,2856,2017,5087,2331,2487,7215,6915,175,54,19,35,0,50,4,0,0,0,9007,8572,309,56,33,67,0,0,0,7340,7070,189,23,19,35,0,19,4,0,0,0,0,8989,8542,260,21,29,94,0,17,2,0,0,22,146,9126,8696,210,104,83,52,6,0,0,7079,6818,114,64,52,40,4,0,0,7278,6721,222,39,54,6,3,17,216,8875,8065,332,140,133,155,14,7278,6721,222,90,89,101,8,8881,8071,332,140,133,155,14
0900909-121,3,0900909-121,1076,1013,47,1222,1119,95,904,848,48,899,855,32,861,807,44,1264,1192,40,1317,1243,46,2952,538,454,1880,57,19,0,1860,52,10,2,0,4722,592,1252,2939,86,70,15,0,0,2969,479,409,1999,66,6,0,1977,64,0,0,4,0,4839,564,1145,3141,108,14,20,2987,72,0,0,20,51,5077,707,1217,3220,85,77,14,0,0,3643,640,766,2244,72,54,13,0,0,3764,543,868,2045,119,19,0,17,153,5173,611,1319,3109,279,134,18,3764,543,868,2256,159,102,18,5241,616,1331,3152,279,134,18
0900909-053,2,0900909-053,5156,2780,2267,5992,3583,2317,4907,2147,2567,4875,2823,2015,4770,2338,2383,5222,3027,2117,5209,2778,2183,6373,5939,119,41,138,50,0,11,138,0,90,0,8913,7815,303,473,627,50,0,0,0,7282,6671,192,40,316,55,0,15,216,0,0,15,0,9503,8429,397,165,510,82,0,13,292,0,0,0,372,9104,8462,193,106,312,38,4,0,0,6374,6004,109,52,190,24,2,0,0,6742,6060,217,51,232,7,0,24,151,8666,7632,337,124,407,71,2,6742,6060,217,76,271,47,1,8669,7635,337,124,407,71,2
0900909-056,5,0900909-056,1673,1159,471,2156,1444,680,1454,951,462,1424,1023,370,1403,948,433,1736,1325,355,1867,1259,521,4326,1936,1752,619,15,4,0,568,9,4,0,0,6063,2341,2820,1187,55,49,12,0,0,4539,1566,2220,728,12,4,0,676,8,4,0,0,0,6604,1828,3735,1339,39,37,17,901,10,4,0,0,128,7303,2844,3394,1161,155,134,6,0,0,5115,2319,2099,710,99,90,3,0,0,5701,1883,2947,645,42,16,2,27,139,7838,2258,4386,1383,106,217,18,5701,1883,2947,895,78,169,13,7907,2271,4429,1387,106,217,18
0900909-091,3,0900909-091,220,193,24,261,213,45,162,139,21,162,144,14,159,138,19,279,251,21,311,277,31,798,146,332,304,7,10,0,304,7,4,0,0,1468,179,644,641,12,8,0,0,0,890,309,266,304,11,2,0,297,11,0,0,0,0,1550,339,705,492,17,2,0,452,17,0,0,9,23,1425,170,601,659,47,11,6,0,0,1032,160,403,448,46,9,2,0,0,1100,192,370,338,154,5,6,2,33,1434,212,528,563,185,56,9,1100,192,370,406,169,45,9,1454,214,535,573,185,56,9
0900909-049,3,0900909-049,2579,1437,1100,2871,1714,1137,2435,1199,1158,2402,1402,983,2386,1231,1138,2656,1629,976,2718,1443,1203,3588,3193,75,197,122,0,0,177,98,0,0,0,4044,3447,98,272,244,0,0,0,0,4312,3525,98,497,186,0,0,487,167,0,0,0,0,4747,3780,162,561,252,0,0,514,223,0,0,0,67,5079,4104,241,445,314,28,2,0,0,4118,3429,166,314,208,20,0,0,0,4774,3696,321,420,208,30,3,13,83,5615,4180,447,634,306,83,9,4774,3696,321,474,227,67,8,5618,4182,447,634,306,83,9
0901111-049,2,0901111-049,972,545,402,1165,702,446,912,424,416,898,537,353,884,443,433,987,646,323,1009,538,425,1553,1456,47,6,38,0,0,5,30,0,2,0,1879,1736,72,34,44,0,0,0,0,1669,1575,43,6,37,0,0,6,36,0,0,3,0,1948,1836,59,14,45,0,0,8,38,0,0,0,7,1983,1857,55,27,30,15,0,0,0,1530,1456,37,14,19,6,0,0,0,1477,1349,37,7,24,4,0,6,50,1829,1618,80,29,51,30,5,1477,1349,37,13,33,19,3,1830,1619,80,29,51,30,5
0901515-025,2,0901515-025,1816,768,989,2262,897,1312,1610,575,934,1578,769,777,1568,582,962,1906,1060,780,1996,716,1163,3225,3075,131,4,0,19,0,4,0,0,0,0,4124,3924,139,45,1,95,1,0,0,3352,3162,148,4,0,49,0,4,0,0,0,0,0,4231,3977,156,34,1,133,1,1,0,0,0,0,100,4543,4255,103,66,52,65,5,0,0,3484,3327,46,33,30,44,4,0,0,3580,3273,79,34,19,13,0,16,146,4446,3958,161,95,46,126,12,3580,3273,79,56,33,90,7,4457,3968,161,95,46,126,12
0901515-003,2,0901515-003,2558,984,1491,3012,1182,1755,2366,742,1469,2336,987,1302,2319,731,1548,2664,1328,1270,2712,932,1609,3870,3725,44,25,40,25,0,25,40,0,10,0,5069,4884,55,44,61,35,18,0,0,4020,3765,140,30,30,40,0,30,30,0,0,10,0,5080,4744,146,87,45,52,24,76,45,0,0,0,69,5132,4843,94,85,43,84,1,0,0,4005,3815,55,56,31,58,0,0,0,4028,3655,110,49,24,13,0,22,155,5045,4454,210,117,62,131,1,4028,3655,110,66,44,99,0,5047,4456,210,117,62,131,1
0901515-020,2,0901515-020,2304,1194,1015,2939,1473,1398,2052,922,979,2007,1178,801,2025,931,1057,2371,1543,713,2461,1129,1153,5692,5319,241,61,17,51,0,51,16,0,10,0,6947,6284,412,196,64,88,0,0,0,5569,5229,209,51,27,40,0,41,27,0,0,10,0,6970,6315,369,279,62,58,0,69,53,0,0,0,169,7299,6651,263,183,92,116,21,0,0,5600,5214,144,108,58,79,8,0,0,5368,4670,265,79,57,26,4,14,253,6813,5683,475,266,133,253,9,5368,4670,265,138,73,183,7,6849,5717,475,266,133,253,9
0900707-017,1,0900707-017,1171,864,260,1403,1056,315,1023,717,257,1010,782,208,989,710,251,1261,979,219,1335,931,309,2478,1408,282,592,150,42,0,574,143,0,5,0,3617,1701,667,917,393,98,0,0,0,2677,1762,221,570,105,12,0,524,97,0,0,7,0,3607,2104,449,813,279,149,0,682,248,0,0,1,120,4139,2149,814,1110,160,63,4,0,0,3233,1885,485,742,137,48,4,0,0,3098,1555,623,647,108,8,0,29,128,3839,1715,895,1097,178,82,9,3098,1555,623,772,125,66,6,3872,1728,900,1103,178,82,9
0900707-033,1,0900707-033,5051,2566,2329,5888,3155,2641,4737,1990,2381,4684,2528,2103,4642,2160,2424,5148,3087,1929,5253,2494,2491,7275,7020,160,8,60,25,0,8,50,0,0,0,9322,8926,259,79,73,24,0,0,0,7155,6835,225,38,54,4,0,38,50,0,0,0,0,9301,8617,400,247,76,4,0,61,70,0,0,0,153,9508,8757,310,288,125,57,10,0,0,7329,6875,191,165,80,35,7,0,0,7549,6661,353,145,100,8,1,45,236,9384,8027,581,366,215,157,8,7549,6661,353,224,140,114,8,9398,8040,581,366,215,157,8
0900707-034,2,0900707-034,2114,1035,1024,2446,1296,1105,1996,793,1088,1956,1041,884,1934,847,1058,2171,1249,879,2218,990,1120,3465,3263,60,65,35,35,0,65,35,0,0,0,4025,3686,153,83,67,35,0,0,0,3476,3109,262,30,45,33,0,30,45,0,0,0,0,4136,3470,525,44,79,33,0,28,64,0,0,0,48,3900,3618,147,40,73,11,3,0,0,3033,2824,110,26,52,10,0,0,0,3309,2829,216,85,50,8,0,36,85,3945,3286,320,135,82,48,8,3309,2829,216,100,63,35,4,3949,3290,320,135,82,48,8
0900707-012,2,0900707-012,2390,1157,1169,2740,1399,1294,2254,933,1182,2237,1170,1041,2209,981,1202,2404,1332,1025,2451,1103,1212,3507,3358,32,91,21,9,0,91,9,0,0,0,4480,4086,90,143,155,10,0,0,0,3120,3004,30,56,17,10,0,56,6,0,0,0,0,4199,3692,188,90,166,12,0,56,156,0,0,0,107,4322,4097,75,52,69,40,0,0,0,3323,3169,52,39,45,28,0,0,0,3408,3147,82,36,33,3,1,14,92,4160,3791,125,87,65,50,5,3408,3147,82,64,46,38,4,4162,3793,125,87,65,50,5
0900707-016,3,0900707-016,2494,1202,1230,2853,1442,1356,2350,940,1281,2302,1187,1085,2281,996,1258,2591,1513,1035,2636,1154,1361,3610,3475,60,10,60,0,0,0,60,0,0,0,4381,4215,70,12,82,0,0,0,0,3625,3460,94,10,60,0,0,0,60,0,0,0,0,4375,4158,102,10,80,0,0,0,80,0,0,2,33,4425,4157,103,86,61,33,1,0,0,3419,3255,61,53,38,25,1,0,0,3486,3190,122,44,38,1,0,15,76,4217,3783,201,105,64,55,2,3486,3190,122,73,49,36,1,4217,3783,201,105,64,55,2
0900707-003,1,0900707-003,7394,3885,3304,8783,4872,3749,6880,2964,3473,6793,3784,2941,6717,3201,3440,7538,4685,2696,7714,3808,3486,10820,8835,710,794,359,95,0,744,325,40,30,0,13910,10890,1241,1140,616,100,0,0,0,10985,8985,780,783,310,105,0,779,270,35,0,30,0,13865,10429,1405,1091,610,106,0,940,542,35,0,0,514,14005,12132,633,727,539,55,10,0,0,11091,9839,411,467,371,39,8,0,0,11482,9364,674,512,599,8,0,40,285,14225,11279,1003,889,899,161,12,11482,9364,674,634,644,126,7,14238,11291,1003,889,899,161,12
0900707-026,3,0900707-026,1346,759,543,1646,988,621,1244,613,559,1212,704,486,1202,636,550,1352,864,456,1408,754,572,2417,1739,313,267,79,2,0,255,56,0,13,0,3115,2038,406,708,124,43,20,0,0,2039,1531,267,190,46,0,0,188,22,0,0,12,0,2529,1584,414,619,47,64,12,394,24,0,0,1,113,3053,2477,177,316,89,28,4,0,0,2350,1989,94,194,65,18,3,0,0,2280,1599,212,306,58,1,0,6,98,2809,1852,337,536,104,45,3,2280,1599,212,390,76,33,2,2812,1854,337,537,104,45,3
0900303-019,1,0900303-019,2559,1151,1343,3229,1464,1701,2251,820,1336,2214,1053,1137,2207,885,1303,2685,1508,1105,2775,1162,1488,4855,4222,520,44,44,22,0,42,44,22,0,0,6225,5293,758,211,72,44,0,0,0,4881,4010,644,167,39,22,0,165,39,22,0,0,0,6199,5034,844,393,64,40,0,193,64,21,0,0,41,6512,5304,726,385,109,48,14,0,0,5046,4310,431,228,72,32,10,0,0,5184,3959,710,234,89,6,0,13,173,6467,4698,1053,546,161,129,14,5184,3959,710,373,117,102,11,6491,4714,1056,546,161,129,14
0900303-020,1,0900303-020,2830,1501,1251,3530,1899,1569,2461,1087,1239,2415,1345,1042,2395,1121,1245,3084,2010,1003,3187,1550,1463,6458,4298,1296,760,42,0,0,695,27,0,60,0,8609,5146,2330,1257,154,45,0,0,0,6267,4159,1392,604,45,4,0,536,25,0,0,60,0,8781,5211,2635,1001,163,49,0,609,86,0,0,0,240,8320,6472,1172,562,164,67,21,0,0,6379,5270,690,328,100,40,12,0,0,6446,4500,1198,359,113,7,0,37,232,8462,5359,1981,913,225,173,12,6446,4500,1198,547,150,133,12,8496,5380,1989,914,225,173,12
0900303-161,1,0900303-161,1194,771,386,1541,1000,511,1155,600,468,1137,735,388,1118,639,478,1298,870,396,930,793,74,1920,1791,57,49,24,3,0,45,13,0,0,0,2393,2184,121,71,29,6,0,0,0,2188,1921,133,119,4,10,0,116,0,0,0,0,0,2463,2109,187,140,11,10,0,117,0,0,0,22,28,2484,2041,171,125,127,21,4,0,0,2029,1713,124,88,95,18,2,0,0,2116,1681,203,83,79,0,0,23,47,2521,1944,272,152,125,28,4,2116,1681,203,108,89,22,3,2525,1948,272,152,125,28,4
0900303-045,5,0900303-045,792,436,336,949,574,357,744,349,345,737,420,311,726,376,345,806,477,313,817,434,339,1088,948,59,39,45,0,0,39,45,0,0,0,1389,1122,86,47,124,1,0,0,0,1040,871,56,95,23,0,0,95,21,0,0,0,0,1400,1011,78,193,108,1,0,191,96,1,0,4,20,1435,1191,56,50,139,4,1,0,0,1166,995,40,34,99,2,1,0,0,1177,879,63,44,168,0,1,4,18,1481,1054,82,82,248,5,2,1177,879,63,57,175,2,1,1483,1056,82,82,248,5,2
0900303-116,1,0900303-116,3108,1808,1230,3673,2168,1458,2880,1466,1227,2841,1734,1080,2774,1511,1235,3248,2140,1054,3282,1818,1330,4893,3935,419,209,243,7,0,195,221,0,75,0,6180,4506,580,486,632,103,0,0,0,4916,3731,384,203,504,15,0,190,483,0,0,70,0,6127,4194,585,406,895,85,0,295,692,0,0,62,302,6248,4958,505,337,472,36,9,0,0,5089,4212,329,220,325,23,8,0,0,5266,3969,550,272,355,0,0,35,85,6378,4584,774,505,502,81,5,5266,3969,550,351,372,59,3,6388,4593,774,505,502,81,5
0900303-094,1,0900303-094,2417,1695,655,2981,2139,802,2098,1333,645,2066,1469,564,2040,1351,656,2604,1997,524,2739,1865,740,5453,3004,732,1342,262,119,0,1316,262,93,0,0,8004,3344,1157,2347,996,264,0,0,0,5966,3614,692,1318,258,122,0,1197,252,61,0,0,0,8950,3994,1251,2486,1124,216,0,1961,993,138,0,2,611,7999,4127,1385,1716,904,90,5,0,0,6205,3650,862,1088,650,60,5,0,0,6117,2815,1155,1049,838,15,0,54,191,7929,3120,1734,1937,1204,138,9,6117,2815,1155,1244,870,115,8,7966,3129,1739,1944,1206,138,9
0900303-130,5,0900303-130,3985,2220,1643,4649,2925,1646,3875,1747,1769,3849,2243,1573,3769,1915,1821,3900,2292,1538,3958,2199,1554,5433,4908,148,195,116,64,0,193,104,63,1,0,7299,6350,317,231,277,130,2,0,0,5530,4891,204,202,162,55,0,199,137,52,0,3,0,7553,6416,441,226,271,192,20,208,224,166,0,17,78,7122,6451,201,116,342,20,5,0,0,5104,4701,120,66,207,12,3,0,0,5194,4582,200,75,227,3,0,14,93,6853,5878,331,182,382,70,9,5194,4582,200,124,259,41,5,6854,5879,331,182,382,70,9
0900303-136,1,0900303-136,3914,2280,1514,4451,2774,1580,3661,1800,1566,3629,2231,1351,3584,1924,1617,4067,2668,1310,4095,2288,1616,5555,4421,87,445,465,21,0,445,422,6,110,0,7755,5676,192,883,1246,27,4,0,0,5812,4638,214,347,501,33,0,347,432,7,0,76,0,8102,5919,349,699,1193,153,0,483,945,9,0,11,387,7619,6189,350,481,612,41,6,0,0,5925,4971,215,324,417,23,6,0,0,6227,4310,341,337,1105,6,2,19,107,8014,5112,476,595,1754,82,11,6227,4310,341,397,1122,47,5,8018,5116,476,595,1754,82,11
0900303-137,1,0900303-137,2148,1192,880,2449,1494,896,2007,903,928,1990,1187,782,1967,988,955,2232,1370,818,2231,1222,884,2729,2314,57,87,255,1,0,81,254,0,9,0,3947,3118,130,130,589,1,0,0,0,2741,2254,42,72,374,1,0,66,271,0,0,1,0,3846,2982,91,98,681,1,0,86,555,0,0,1,130,4072,3433,105,129,394,13,3,0,0,2898,2464,71,92,264,9,2,0,0,2893,2194,118,92,397,5,1,6,80,3847,2792,200,150,638,34,4,2893,2194,118,110,413,19,2,3856,2800,200,150,638,34,4
0900303-160,1,0900303-160,2719,1272,1374,3122,1584,1485,2567,946,1423,2525,1265,1246,2485,1075,1386,2766,1502,1217,2865,1262,1464,3194,2994,112,67,21,0,0,67,16,0,0,0,4151,3861,131,102,65,7,6,0,0,3179,2947,154,62,22,0,0,62,20,0,0,0,0,4178,3762,204,123,125,16,35,80,25,0,0,0,107,4579,4227,180,56,115,5,2,0,0,3540,3316,112,34,75,3,0,0,0,3646,3171,226,60,113,1,3,18,54,4632,3966,335,115,173,35,4,3646,3171,226,85,126,29,4,4634,3968,335,115,173,35,4
0900505-049,5,0900505-049,2514,881,1582,2957,1082,1832,2303,621,1586,2257,836,1398,2244,658,1568,2655,1270,1329,2739,840,1798,4289,3833,250,160,28,0,0,145,13,0,20,0,5341,4537,404,277,146,46,0,0,0,4246,3852,289,75,10,0,0,60,0,0,0,29,0,5358,4407,735,120,117,43,0,93,11,0,0,0,111,5880,5210,340,168,136,51,2,0,0,4642,4222,202,108,92,28,2,0,0,4628,3895,329,123,112,12,3,28,126,5707,4672,503,264,164,87,11,4628,3895,329,176,132,58,8,5718,4682,503,264,164,87,11
0900303-087,1,0900303-087,1822,1191,573,2402,1699,657,1632,960,576,1621,1078,516,1605,996,575,1811,1257,492,1863,1161,593,3428,2228,380,512,256,15,0,450,197,15,35,0,7272,2651,508,1079,2585,70,123,0,0,3703,2337,526,494,309,4,0,445,239,0,0,25,0,7399,2719,648,1052,2731,101,81,880,2621,98,0,173,259,6640,3643,750,997,1290,55,14,0,0,5324,3219,474,645,983,41,11,0,0,5784,2679,577,692,1636,4,0,38,158,6922,2908,803,1134,2105,125,12,5784,2679,577,838,1678,96,10,6931,2915,803,1135,2106,125,12
0900303-150,2,0900303-150,7123,3299,3613,8686,4363,4155,6479,2453,3619,6383,3180,3126,6312,2552,3688,7367,3913,3273,7558,3334,3789,12330,9950,945,1040,305,20,0,965,305,10,75,0,15688,12434,1217,1370,697,51,65,0,0,12650,10235,750,1220,339,10,0,1155,310,0,0,90,0,15730,12423,1035,1605,585,10,92,1436,468,0,0,30,338,15735,13270,886,1286,271,81,11,0,0,12558,10423,753,1197,170,64,7,0,0,12869,10264,902,1043,285,10,1,21,343,15752,12583,1113,1291,497,190,7,12869,10264,902,1119,357,143,6,13850,11970,631,509,482,180,7
0900303-029,1,0900303-029,2899,2317,531,3537,2781,724,2506,1901,507,2420,1991,395,2337,1807,499,3242,2718,448,3395,2702,625,7260,1946,2657,2315,283,50,0,2213,283,4,15,0,11688,2291,5010,3825,883,227,9,0,0,7574,2266,2810,2177,284,39,0,2107,284,0,0,0,0,11375,2643,4615,3556,895,83,8,3033,792,0,0,0,295,11408,3404,3863,3868,598,136,37,0,0,8595,3116,2545,2613,461,102,30,0,0,8511,2023,3143,2739,365,22,0,43,176,11057,2182,4482,4257,463,240,40,8511,2023,3143,3095,397,154,26,11141,2195,4514,4288,463,240,40
0900303-067,1,0900303-067,1595,1541,41,1970,1880,81,1504,1428,56,1451,1411,32,901,868,29,1822,1779,20,1949,1888,42,3645,111,95,3418,10,4,0,3404,10,0,10,0,4840,109,110,4659,12,14,0,0,0,3401,109,130,3155,0,17,0,3129,0,0,0,9,0,4501,107,141,4310,4,26,0,4122,0,0,0,0,132,5020,66,249,4756,39,57,22,0,0,3682,64,151,3481,33,39,18,0,0,3658,70,182,3272,6,6,1,6,115,4665,84,253,4379,18,48,4,3658,70,182,3448,11,35,3,4708,84,253,4422,18,48,4
0900303-091,1,0900303-091,1739,1113,566,2661,1747,857,1476,838,531,1461,960,477,1440,869,553,1692,1195,448,1758,1081,555,3262,2368,389,342,155,2,0,326,155,0,0,0,4262,2879,516,598,282,6,0,0,0,3377,2403,462,328,181,1,0,299,181,0,0,3,0,4357,2958,575,513,298,11,6,430,248,0,0,66,73,4362,3428,355,443,151,43,4,0,0,3438,2843,226,282,95,33,3,0,0,3643,2678,412,270,147,10,1,17,108,4503,3080,661,548,198,69,4,3643,2678,412,345,160,48,3,4513,3089,662,548,198,69,4
0900303-016,1,0900303-016,2841,1484,1281,3420,1803,1552,2581,1118,1302,2529,1401,1090,2516,1180,1300,2963,1917,989,3039,1492,1406,5450,4589,720,124,7,15,0,87,6,15,0,0,6749,5361,1144,177,56,15,0,0,0,5120,4612,390,83,14,15,0,82,14,15,0,0,0,6462,5556,667,115,109,17,0,109,98,17,0,0,15,6626,5875,358,227,148,43,3,0,0,5341,4855,226,141,95,27,3,0,0,5488,4447,502,239,141,3,0,14,142,6637,5074,808,487,219,90,3,5488,4447,502,321,158,64,3,6649,5085,808,487,219,90,3
0900505-047,5,0900505-047,2894,992,1850,3308,1210,2059,2725,780,1857,2689,966,1691,2664,788,1851,2936,1263,1629,3048,967,1975,3634,3430,41,19,135,0,0,19,135,0,13,0,4784,4494,105,34,139,31,0,0,0,3818,3548,50,85,113,0,0,40,113,0,0,13,0,4696,4366,66,98,122,26,0,39,122,0,0,35,69,5007,4691,110,70,114,37,2,0,0,3904,3690,67,50,86,22,2,0,0,4088,3759,140,34,60,1,1,16,77,5076,4579,212,84,92,45,8,4088,3759,140,52,69,26,1,5082,4585,212,84,92,45,8
0900505-048,5,0900505-048,2403,826,1533,2859,967,1851,2209,577,1525,2165,777,1370,2157,651,1490,2526,1194,1289,2605,811,1704,4472,4129,287,11,44,0,0,11,44,0,0,0,5729,5099,448,259,162,239,0,0,0,4481,4036,399,6,34,0,0,6,34,0,0,0,0,5453,4798,543,184,94,167,0,6,94,0,0,0,11,5216,4794,195,110,100,30,12,0,0,4075,3790,134,71,70,19,7,0,0,4175,3691,217,87,73,0,0,24,83,5161,4442,345,191,111,56,3,4175,3691,217,133,79,38,2,5168,4449,345,191,111,56,3
0900505-022,5,0900505-022,797,414,362,919,491,416,734,348,348,719,404,298,716,351,358,861,498,342,861,405,416,1190,1103,30,44,11,0,0,31,11,0,0,0,1506,1359,71,73,9,0,0,0,0,1176,1063,40,60,10,0,0,50,10,0,0,0,0,1466,1317,75,64,11,5,0,50,11,0,0,0,15,1583,1446,73,16,41,13,4,0,0,1204,1125,43,8,21,8,4,0,0,1272,1034,107,29,28,1,0,10,63,1542,1230,143,58,40,27,1,1272,1034,107,40,32,25,0,1544,1232,143,58,40,27,1
0900505-028,5,0900505-028,5177,1902,3182,6593,2477,3984,4424,1273,2940,4379,1633,2696,4334,1321,2965,5740,2865,2795,5810,1884,3767,9670,8885,385,340,14,184,0,160,0,20,4,0,11711,10314,728,595,27,203,0,0,0,9490,8670,384,384,8,203,0,189,0,15,0,10,0,11646,10113,702,649,41,283,0,91,28,14,0,15,683,12243,11494,370,183,129,107,6,0,0,9536,9058,227,104,85,74,5,0,0,9619,8526,454,113,101,15,9,9,392,11671,10057,739,328,222,264,17,9619,8526,454,213,149,207,15,11692,10078,739,328,222,264,17
0900303-158,1,0900303-158,4294,2869,1295,4779,3570,1148,4134,2309,1416,4112,2871,1205,4055,2564,1447,4361,2888,1391,4369,3002,1167,4994,4427,177,136,225,16,0,125,201,15,10,0,6869,5995,291,144,409,31,0,0,0,4958,4228,171,183,343,5,0,170,314,0,0,10,0,7099,5721,357,259,815,91,0,180,693,0,0,38,113,6783,5980,235,208,358,36,4,0,0,5086,4562,153,131,234,25,3,0,0,5392,4610,211,122,279,5,0,35,130,7172,5930,362,299,497,43,6,5392,4610,211,178,315,29,2,7175,5933,362,299,497,43,6
0900303-157,1,0900303-157,3300,2198,986,3708,2750,889,3154,1722,1060,3137,2195,909,3097,1951,1119,3392,2241,1080,3370,2347,854,3988,3530,174,70,199,22,0,61,191,0,0,0,5853,4941,324,72,501,23,0,0,0,4012,3512,146,47,294,21,0,40,289,0,0,0,0,5883,4854,253,48,692,21,0,40,625,0,0,7,98,5507,4954,150,132,243,22,3,0,0,4049,3689,95,81,168,11,2,0,0,4511,3830,204,116,214,1,0,17,129,5823,4844,287,218,414,34,12,4511,3830,204,157,275,26,6,5825,4846,287,218,414,34,12
0900303-038,2,0900303-038,3078,1712,1250,3846,2261,1500,2679,1288,1229,2637,1564,1029,2607,1297,1269,3305,2125,1048,3444,1750,1436,7793,6015,903,584,245,55,0,563,205,23,0,0,10483,6794,2144,1329,566,201,0,0,0,7664,5819,696,845,257,49,0,569,197,25,0,2,0,10509,6700,1358,1944,601,246,0,854,378,24,0,5,1189,10267,8056,976,864,382,125,18,0,0,7903,6546,569,472,281,82,12,0,0,7994,5657,1068,621,269,19,1,43,316,10233,6701,1684,1335,438,261,9,7994,5657,1068,831,326,186,8,10268,6724,1687,1339,438,261,9
0900303-018,1,0900303-018,2721,1213,1450,3213,1516,1652,2478,853,1495,2431,1122,1283,2422,920,1484,2881,1622,1205,2927,1220,1580,4543,4029,324,121,51,23,0,101,51,23,0,0,5830,4938,532,235,196,22,0,0,0,4623,3808,325,318,161,17,0,208,101,17,0,0,0,5733,4184,522,544,317,16,0,228,188,16,0,0,597,5314,4608,366,227,118,38,6,0,0,4144,3687,237,140,80,19,3,0,0,4295,3672,274,119,111,4,1,18,96,5354,4416,420,290,172,80,11,4295,3672,274,185,126,55,7,5362,4423,420,290,172,80,11
0900303-023,5,0900303-023,5233,2404,2696,6233,3099,3034,4905,1861,2744,4845,2345,2449,4805,2023,2728,5289,2768,2426,5385,2352,2773,7230,6855,129,88,155,0,0,74,120,0,0,0,9659,8968,213,160,398,0,0,0,0,7120,6715,180,54,164,8,0,4,149,0,0,0,0,9678,8936,225,76,425,20,0,2,289,0,0,0,226,9301,8784,246,80,185,15,6,0,0,6771,6467,140,48,104,14,4,0,0,7424,6724,258,39,131,4,0,31,237,9519,8449,378,148,273,142,5,7424,6724,258,85,172,104,2,9523,8453,378,148,273,142,5
