,AL,AZ,AR,CO,CT,FL,GA,IL,IN,IA,KS,LA,MD,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,PA,SC,TN,TX,UT,VA,WA,WI
45,5,5,4,3,0,15,8,5,6,2,3,5,1,8,4,3,5,2,1,3,1,6,8,9,5,9,5,8,19,3,4,3,4
46,5,4,4,3,0,15,8,5,6,3,3,5,1,8,4,3,5,2,1,3,1,6,8,9,5,9,5,8,19,3,4,3,4
47,6,4,4,3,0,15,8,5,6,3,3,5,1,8,4,3,5,2,1,3,1,6,8,9,5,9,5,8,19,3,4,3,4
48,6,4,4,3,0,15,8,5,6,3,3,5,1,8,4,3,5,2,1,3,1,6,8,9,5,9,5,8,19,3,4,3,4
49,6,4,4,3,0,15,8,5,6,3,3,5,1,8,4,3,5,2,1,3,1,6,8,9,5,9,5,8,19,3,4,3,4
50,6,5,4,3,0,15,8,5,6,3,3,5,1,8,4,3,5,2,2,3,1,6,8,9,5,9,5,7,19,3,4,3,5
51,6,5,4,3,0,15,8,5,6,4,3,5,1,8,4,3,5,2,1,3,1,6,8,9,5,9,5,7,19,3,4,3,5
52,6,5,4,3,0,15,8,5,6,3,3,5,1,8,4,3,5,2,1,2,1,6,8,9,5,9,5,7,19,3,4,3,5
53,6,5,4,3,0,15,8,5,6,3,3,5,1,8,4,3,5,2,1,2,1,6,8,9,5,9,5,7,19,3,4,3,5
54,6,5,4,3,0,15,8,5,6,3,3,5,1,8,4,3,5,2,2,2,1,6,8,10,5,9,5,7,19,3,5,3,5
55,6,4,4,3,0,15,8,5,6,2,3,6,1,8,4,3,5,2,2,2,1,6,8,11,5,9,5,7,19,3,5,3,5
56,6,4,4,3,0,15,8,5,6,2,3,6,1,8,4,3,5,2,2,2,1,6,8,11,5,9,5,7,19,3,5,3,5
57,6,5,4,3,0,15,9,5,6,3,3,5,1,8,4,3,5,2,1,2,1,6,8,11,5,10,5,7,19,4,5,3,5
58,6,5,4,3,0,15,9,5,6,3,3,5,1,8,4,3,5,2,1,2,1,6,8,11,5,10,5,7,19,3,5,3,5
59,6,4,4,3,0,15,9,5,7,3,3,5,1,7,4,3,5,2,1,2,1,5,8,10,5,10,5,7,19,3,5,3,5
60,6,4,4,3,0,15,10,5,7,3,3,5,1,7,4,3,5,2,1,2,1,5,8,9,5,10,5,7,19,3,4,3,5
61,6,5,4,3,0,15,10,5,7,3,3,5,1,7,4,3,5,2,2,2,1,5,8,9,5,10,5,7,19,3,4,3,5
62,6,5,4,3,0,15,10,5,7,4,3,6,1,8,4,3,5,2,2,2,1,5,8,8,5,10,5,7,19,3,5,3,5
63,6,4,4,3,0,15,10,5,7,4,3,6,0,8,4,3,5,2,2,1,1,5,8,8,5,10,5,8,19,3,5,3,5
64,6,4,4,3,0,15,10,5,7,4,3,6,0,8,4,3,5,2,1,1,1,5,8,8,5,10,5,8,19,3,5,3,5
65,6,4,4,3,0,15,9,5,7,4,3,5,0,8,4,3,5,2,2,1,1,5,7,8,5,9,5,8,19,3,5,3,5
66,6,5,4,3,0,15,9,5,7,4,3,5,1,8,4,3,5,2,2,1,1,5,8,8,5,9,5,8,19,3,4,3,5
67,6,5,4,3,0,15,9,5,7,3,3,5,1,8,4,3,5,2,2,2,1,5,8,8,5,9,5,8,19,3,5,3,5
68,6,5,4,3,0,15,9,5,7,3,3,5,1,8,4,3,5,2,2,2,1,5,8,8,5,9,5,8,19,3,5,3,5
69,6,5,4,3,0,15,9,5,7,3,3,5,1,8,4,3,5,2,1,2,1,5,8,8,5,9,5,7,19,3,5,3,5
70,6,5,4,3,0,15,9,5,7,2,3,5,1,8,3,3,5,2,1,2,1,5,8,8,5,8,5,7,19,3,5,3,5
71,6,5,4,3,0,15,8,5,7,2,3,5,0,8,3,3,5,2,1,2,1,5,8,8,5,8,5,7,19,3,5,3,5
72,6,5,4,3,0,15,8,5,7,2,3,5,0,8,3,4,5,2,1,2,1,5,8,8,5,8,5,7,19,3,5,3,5
73,6,5,4,3,0,15,8,5,7,2,3,5,0,8,3,3,5,2,1,2,1,5,8,8,5,8,5,7,19,3,5,3,5
74,6,5,4,3,0,15,8,5,7,2,3,5,0,8,3,3,5,2,1,3,1,5,8,8,5,8,5,8,19,3,5,3,5
75,6,4,4,3,0,15,8,5,7,3,3,5,0,8,3,3,5,2,1,3,1,5,8,8,5,8,5,8,19,3,5,3,5
76,6,4,4,3,0,15,8,5,7,3,3,5,0,8,4,3,5,2,2,2,0,5,8,8,5,9,5,8,19,3,5,3,5
