,AL,AZ,AR,CO,CT,FL,GA,IL,IN,IA,KS,LA,MD,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,PA,SC,TN,TX,UT,VA,WA,WI
45,2,4,0,5,5,13,6,12,3,2,1,1,7,5,4,1,3,1,3,9,2,20,6,6,0,8,2,1,19,1,7,7,4
46,2,5,0,5,5,13,6,12,3,1,1,1,7,5,4,1,3,1,3,9,2,20,6,6,0,8,2,1,19,1,7,7,4
47,1,5,0,5,5,13,6,12,3,1,1,1,7,5,4,1,3,1,3,9,2,20,6,6,0,8,2,1,19,1,7,7,4
48,1,5,0,5,5,13,6,12,3,1,1,1,7,5,4,1,3,1,3,9,2,20,6,6,0,8,2,1,19,1,7,7,4
49,1,5,0,5,5,13,6,12,3,1,1,1,7,5,4,1,3,1,3,9,2,20,6,6,0,8,2,1,19,1,7,7,4
50,1,4,0,5,5,13,6,12,3,1,1,1,7,5,4,1,3,1,2,9,2,20,6,6,0,8,2,2,19,1,7,7,3
51,1,4,0,5,5,13,6,12,3,0,1,1,7,5,4,1,3,1,3,9,2,20,6,6,0,8,2,2,19,1,7,7,3
52,1,4,0,5,5,13,6,12,3,1,1,1,7,5,4,1,3,1,3,10,2,20,6,6,0,8,2,2,19,1,7,7,3
53,1,4,0,5,5,13,6,12,3,1,1,1,7,5,4,1,3,1,3,10,2,20,6,6,0,8,2,2,19,1,7,7,3
54,1,4,0,5,5,13,6,12,3,1,1,1,7,5,4,1,3,1,2,10,2,20,6,5,0,8,2,2,19,1,6,7,3
55,1,5,0,5,5,13,6,12,3,2,1,0,7,5,4,1,3,1,2,10,2,20,6,4,0,8,2,2,19,1,6,7,3
56,1,5,0,5,5,13,6,12,3,2,1,0,7,5,4,1,3,1,2,10,2,20,6,4,0,8,2,2,19,1,6,7,3
57,1,4,0,5,5,13,5,12,3,1,1,1,7,5,4,1,3,1,3,10,2,20,6,4,0,7,2,2,19,0,6,7,3
