GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_LtG,Dem_2018_LtG,Rep_2018_LtG,Total_2017_SenSp,Dem_2017_SenSp,Rep_2017_SenSp,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
010330007-1,2,010330007-1,68,10,57,73,12,61,75,15,60,73,9,64,70,17,53,69,10,59,42,6,35,75,4,67,71,7,64,140,116,3,19,0,1,0,19,0,1,0,0,179,151,2,20,0,5,0,0,0,120,96,2,18,0,5,0,18,0,4,0,0,0,159,129,2,20,0,8,0,18,0,8,0,0,0,174,165,2,7,0,0,0,0,0,135,131,1,3,0,0,0,0,0,141,127,3,2,0,0,0,0,9,175,157,4,4,0,10,0,141,127,3,3,0,8,0
01035000061,4,01035000061,73,56,17,80,59,21,79,59,20,65,51,14,66,54,12,65,51,14,56,42,14,87,64,23,84,62,22,166,111,0,56,0,0,0,56,0,0,0,0,206,141,2,68,0,0,0,0,0,173,113,0,62,0,0,0,62,0,0,0,0,0,205,139,0,71,0,0,0,71,0,0,0,0,0,163,58,0,103,0,2,0,0,0,129,45,0,83,0,1,0,0,0,92,24,1,65,0,1,0,0,1,130,36,4,87,1,2,0,92,24,1,65,0,2,0
01083001101,2,01083001101,835,512,314,1126,686,421,1110,699,407,725,444,280,719,452,267,720,448,272,580,403,164,824,421,368,810,444,366,1351,718,15,573,14,33,0,573,4,32,0,0,1978,1024,16,829,24,89,0,0,0,2176,973,282,877,2,40,0,877,2,38,0,0,0,2767,1184,283,1210,10,83,0,1210,6,76,0,0,7,1503,737,39,685,24,34,0,0,0,1171,585,33,527,15,22,0,0,0,1866,952,76,679,45,18,2,0,94,2288,1110,103,900,85,93,13,1866,952,76,708,67,68,4
01039000003,7,01039000003,2506,479,2016,3193,608,2566,3183,697,2485,2132,388,1742,2120,451,1667,2122,386,1734,1658,406,1240,3016,472,2487,2904,528,2369,5559,4521,55,900,28,31,0,895,9,1,9,0,7236,5692,69,1448,39,38,0,0,0,5595,4472,50,885,0,183,0,880,0,22,0,9,0,7013,5543,47,1275,7,187,0,1220,0,20,0,0,184,7293,5932,67,1188,31,83,0,0,0,5569,4686,43,767,18,59,0,0,0,5795,4593,85,889,28,22,0,9,169,7467,5720,143,1365,54,181,0,5795,4593,85,935,38,126,0
01001000018,5,01001000018,1035,161,863,1389,189,1181,1385,228,1156,908,142,764,901,156,745,900,128,772,535,124,401,1087,126,933,1073,159,911,1690,1446,9,231,0,0,0,231,0,0,0,0,2199,1900,9,264,25,0,0,0,0,1519,1274,0,245,0,0,0,245,0,0,0,0,0,2042,1787,0,246,9,0,0,246,9,0,0,0,0,2264,1991,35,199,19,21,2,0,0,1622,1447,21,128,11,18,0,0,0,2051,1778,32,160,1,4,0,1,75,2762,2319,71,274,27,63,9,2051,1778,32,170,15,42,9
01001000011,5,01001000011,319,201,117,390,248,139,388,249,139,275,159,116,273,170,103,273,167,106,244,161,81,356,220,133,354,215,139,518,239,0,261,8,10,0,261,8,7,0,0,684,320,0,345,7,10,0,0,0,509,243,0,250,8,12,0,250,8,10,0,0,0,659,306,0,329,10,11,0,329,10,10,0,0,3,693,245,20,428,1,3,0,0,0,564,204,18,342,1,2,0,0,0,506,177,25,283,3,4,0,0,14,602,221,26,340,5,11,1,506,177,25,290,5,10,1
01077000104,2,01077000104,504,286,207,633,348,264,629,381,247,452,257,189,444,268,175,446,259,182,363,250,104,548,230,262,532,232,299,2065,1459,24,503,3,65,0,496,3,53,0,0,2435,1733,25,605,6,70,0,0,0,1947,1308,31,522,30,54,0,506,3,51,0,0,0,2262,1526,31,608,48,51,0,575,9,49,0,0,70,1782,1369,76,222,97,23,1,0,0,1522,1197,49,164,94,19,1,0,0,1439,1144,63,151,9,4,3,3,62,1715,1336,78,235,16,50,7,1439,1144,63,177,11,46,5
01019000010,1,01019000010,716,87,626,937,76,850,932,118,813,614,100,513,595,94,501,593,70,523,409,68,326,827,69,744,816,114,701,1593,1567,22,0,0,7,0,0,0,7,0,0,2165,2045,109,0,0,6,0,0,0,1674,1644,22,0,0,7,0,0,0,0,0,0,0,2274,2172,95,0,0,7,0,0,0,0,0,0,7,2137,1974,99,10,8,44,2,0,0,1608,1499,62,6,7,32,2,0,0,1468,1337,54,9,2,14,0,2,50,1874,1683,79,28,8,70,6,1468,1337,54,16,3,54,2
01031000011,7,01031000011,651,113,530,879,158,711,878,186,692,545,96,442,543,97,445,544,89,454,394,86,303,712,92,596,697,112,584,1367,1177,26,110,18,23,0,107,11,18,2,0,1806,1543,53,144,23,28,2,0,0,1245,1071,33,105,15,20,0,103,10,9,0,2,0,1617,1366,62,127,26,23,1,116,14,8,0,5,45,1587,1087,54,355,24,64,2,0,0,1201,832,37,265,19,54,1,0,0,1495,1152,80,169,11,23,0,10,50,1995,1478,122,270,34,83,3,1495,1152,80,180,25,53,2
01031000013,7,01031000013,366,99,266,472,114,357,470,119,351,308,96,206,309,98,211,308,90,218,249,88,160,422,93,327,408,96,312,734,593,23,93,0,28,0,90,0,13,0,0,929,781,23,102,0,50,0,0,0,706,551,23,106,0,25,0,103,0,4,0,0,0,901,735,21,110,0,54,0,107,0,4,0,0,35,889,708,16,135,11,28,0,0,0,709,564,6,118,6,18,0,0,0,668,531,4,104,1,5,0,0,23,815,655,9,112,6,33,1,668,531,4,106,2,26,1
01031000016,7,01031000016,787,184,595,980,226,745,975,238,735,681,155,526,675,190,485,676,153,523,488,153,328,926,176,722,907,184,722,2184,1632,10,521,0,25,0,519,0,14,0,0,2671,1932,26,634,52,27,5,0,0,2402,1798,13,554,0,45,0,543,0,13,0,0,0,2800,2063,30,661,4,66,6,627,3,14,0,0,72,2744,1770,37,875,11,60,3,0,0,2142,1451,19,634,8,42,1,0,0,1923,1468,27,358,1,9,0,3,57,2424,1749,47,546,9,58,4,1923,1468,27,371,6,44,3
010330003-1,2,010330003-1,254,105,149,311,107,203,313,127,186,230,96,134,228,103,125,226,92,134,176,91,85,281,106,170,274,112,162,288,265,0,9,0,4,11,9,0,0,0,0,331,305,1,9,0,4,12,0,0,158,141,1,1,1,5,11,1,0,0,11,0,0,192,174,1,1,1,5,13,1,0,0,13,0,6,591,433,5,147,1,3,0,0,0,476,342,3,129,1,2,0,0,0,436,304,7,108,3,3,1,0,10,517,364,17,116,4,14,1,436,304,7,111,4,10,1
010330016-7,2,010330016-7,762,246,511,920,244,658,916,289,627,712,251,461,706,276,429,707,220,487,550,227,319,811,202,578,802,252,549,1450,1325,8,69,4,15,20,69,4,15,15,0,1815,1643,18,92,10,17,35,0,0,1350,1231,8,64,4,4,30,64,4,0,30,15,0,1780,1623,18,89,6,1,44,89,6,0,28,0,17,1524,1047,43,423,16,28,1,0,0,1189,856,30,300,8,26,1,0,0,1210,1091,19,50,6,3,1,9,31,1500,1320,38,85,9,32,2,1210,1091,19,54,6,20,1
01039000009,7,01039000009,754,164,588,994,181,805,984,217,767,635,145,487,631,165,465,628,141,486,470,131,337,866,164,690,846,169,675,1690,1386,18,251,18,10,0,251,18,0,0,0,2011,1656,41,249,60,11,31,0,0,1892,1574,14,231,18,59,0,231,18,0,0,0,0,2273,1871,50,234,67,71,28,234,18,0,28,0,71,2428,1975,57,345,16,50,0,0,0,1899,1566,40,250,16,37,0,0,0,1866,1506,49,237,7,1,0,2,64,2323,1851,68,334,11,53,0,1866,1506,49,255,7,42,0
01031000020,7,01031000020,403,45,357,516,53,460,512,63,449,347,33,313,344,47,297,344,38,305,279,44,231,444,39,402,433,45,386,812,730,28,15,2,43,0,15,2,22,2,0,1003,886,52,15,6,43,1,0,0,748,668,17,23,0,37,0,23,0,23,0,2,0,982,883,40,21,2,43,2,21,0,24,0,0,15,1015,901,17,62,1,35,0,0,0,785,704,11,51,1,23,0,0,0,714,629,10,40,1,12,0,4,18,913,800,20,50,2,35,0,714,629,10,43,1,29,0
01077000012,2,01077000012,1754,500,1240,2268,524,1721,2246,642,1603,1498,457,1040,1482,482,999,1488,432,1055,1114,451,650,1972,452,1440,1930,540,1389,3500,3283,24,137,36,15,0,137,36,0,0,0,4354,3941,32,299,57,15,0,0,0,3374,3164,27,132,35,13,0,132,30,0,0,0,0,4102,3512,30,311,62,15,0,251,57,0,0,30,224,4671,4248,55,311,38,25,2,0,0,3643,3346,31,215,31,21,2,0,0,3859,3327,74,293,32,16,0,10,107,4839,4101,112,419,55,130,6,3859,3327,74,307,38,99,4
01077000007,2,01077000007,2175,470,1682,2682,449,2194,2668,560,2104,1998,475,1521,1970,500,1470,1982,427,1555,1398,467,890,2400,391,1936,2365,506,1856,3793,3560,73,107,21,36,0,89,17,2,0,0,4796,4474,95,145,46,39,0,0,0,3648,3432,37,162,4,14,0,148,0,2,0,0,0,4594,4241,57,269,19,14,0,167,3,3,0,0,129,4666,4440,68,82,36,34,4,0,0,3596,3435,42,59,24,32,3,0,0,3724,3437,47,89,21,6,0,9,115,4649,4217,77,159,52,140,3,3724,3437,47,98,25,106,0
01077000106,2,01077000106,464,262,198,631,339,281,622,379,240,362,199,161,355,222,133,356,206,150,285,195,88,546,265,247,533,270,260,1487,978,57,441,10,9,0,437,8,9,0,0,2241,1164,443,595,27,12,0,0,0,1437,1004,56,368,4,4,0,364,4,4,0,0,0,2159,1144,472,471,30,6,0,457,18,6,0,0,58,2827,1829,237,692,24,65,11,0,0,1999,1353,140,450,17,46,9,0,0,1630,941,167,453,3,2,3,0,61,2260,1180,307,728,11,57,6,1630,941,167,488,8,37,5
01083000501,2,01083000501,317,55,261,425,59,361,425,90,334,271,48,223,267,54,213,266,47,219,193,42,151,367,52,305,360,64,296,626,575,0,49,2,0,0,49,2,0,2,0,808,744,0,54,1,0,12,0,0,573,522,0,54,2,0,0,52,2,0,0,0,0,749,683,4,66,1,0,0,52,1,0,0,0,7,681,639,7,23,1,13,0,0,0,524,491,4,18,1,11,0,0,0,614,557,25,8,1,0,0,0,23,839,739,61,10,3,26,0,614,557,25,8,3,19,0
01039000018,7,01039000018,398,129,269,510,159,350,507,161,346,348,124,224,342,125,217,347,119,228,269,100,169,440,133,305,427,139,288,846,712,10,120,0,0,0,120,0,0,0,0,1079,900,24,149,4,5,0,0,0,854,702,2,141,0,0,0,141,0,0,0,0,0,1070,877,11,171,5,0,0,171,5,0,0,0,5,1182,851,23,294,3,12,0,0,0,934,687,19,215,2,12,0,0,0,818,602,8,169,6,10,0,1,22,1048,774,22,213,7,28,0,818,602,8,176,7,21,0
01083001301,2,01083001301,3607,1448,2066,4878,1843,2887,4840,1988,2838,3212,1315,1894,3185,1338,1843,3186,1276,1909,2405,1237,1073,3271,1028,1964,3227,1029,2190,3833,2687,159,735,203,54,0,732,96,44,0,0,5679,3836,210,1115,438,90,0,0,0,3237,2323,171,518,235,3,0,518,185,2,0,0,0,4887,3309,271,826,442,56,0,826,359,6,0,39,71,3506,2376,121,524,456,37,3,0,0,2485,1750,82,355,272,28,3,0,0,7167,4760,334,996,702,26,5,28,316,10669,6896,593,1624,1321,285,27,7167,4760,334,1095,791,202,12
010130014.5,6,010130014.5,862,556,305,949,600,349,948,615,333,820,501,319,813,541,272,807,527,280,613,432,179,924,589,330,911,580,331,1805,696,11,1096,0,6,0,1092,0,0,0,0,2253,826,15,1406,4,4,0,0,0,1485,614,21,851,0,4,0,847,0,0,0,0,0,1960,731,31,1168,29,5,0,1157,29,0,0,0,11,2297,933,11,1342,4,8,2,0,0,1805,774,8,1017,1,6,2,0,0,1458,548,12,865,0,3,0,3,27,1843,633,14,1179,4,22,3,1458,548,12,888,0,12,1
01013000018,6,01013000018,455,114,337,545,141,400,542,150,388,450,92,358,444,118,326,441,103,338,273,83,186,486,98,384,477,106,370,687,371,12,303,0,2,0,303,0,0,0,0,913,468,12,435,0,8,0,0,0,733,482,19,231,0,0,0,231,0,0,0,0,0,926,595,20,312,0,15,0,312,0,0,0,0,0,1040,829,8,194,3,10,0,0,0,785,631,7,145,2,4,0,0,0,782,542,5,218,0,0,0,0,17,971,647,11,301,2,12,1,782,542,5,226,2,9,1
01071000032,1,01071000032,148,30,118,200,30,170,199,35,164,117,26,89,117,30,87,117,23,94,89,29,60,168,32,131,155,39,116,278,259,6,0,0,10,0,0,0,4,0,0,369,334,18,3,0,12,0,0,0,319,308,0,0,0,10,0,0,0,4,0,0,0,424,396,12,0,0,10,0,0,0,6,0,0,9,398,382,0,0,0,16,0,0,0,327,315,0,0,0,12,0,0,0,343,307,7,1,0,8,0,3,17,437,393,8,9,0,20,0,343,307,7,4,0,19,0
01085000051,6,01085000051,450,333,116,561,412,147,558,421,137,358,246,112,355,260,95,356,252,104,338,267,71,498,372,123,474,348,125,452,43,0,412,0,0,0,410,0,0,0,0,511,42,0,466,0,0,0,0,0,441,54,0,387,0,0,0,387,0,0,0,0,0,529,54,0,475,0,0,0,475,0,0,0,0,0,965,190,12,756,5,4,0,0,0,679,142,8,526,2,1,0,0,0,654,143,2,491,2,0,0,1,15,798,157,3,635,6,2,2,654,143,2,506,6,2,1
01031000017,7,01031000017,455,42,411,625,49,574,625,75,550,372,31,340,373,41,331,374,32,342,259,40,215,497,41,447,483,46,432,764,630,10,84,2,44,0,82,2,32,2,0,941,774,18,103,3,46,0,0,0,705,570,11,86,1,32,0,83,1,17,0,2,0,874,716,20,103,6,34,1,93,1,21,0,1,20,1008,887,22,45,6,54,3,0,0,794,709,14,31,5,38,2,0,0,933,827,11,45,9,12,1,2,26,1148,1005,18,74,13,36,2,933,827,11,51,12,30,2
01071000006,1,01071000006,373,75,296,506,89,413,494,101,393,320,63,257,306,71,235,311,65,246,210,66,142,432,79,343,418,99,319,817,748,10,15,8,42,0,15,8,40,0,0,1110,952,49,80,8,42,0,0,0,901,853,7,10,5,23,0,10,5,22,0,0,0,1080,1014,29,25,5,23,0,9,5,22,0,0,2,1154,999,36,79,10,36,6,0,0,931,815,24,57,6,32,5,0,0,870,748,13,33,3,9,1,0,63,1108,947,29,47,6,73,1,870,748,13,37,3,62,1
01013000017,6,01013000017,134,79,55,145,77,68,144,79,65,144,86,58,143,93,50,144,88,56,111,70,41,131,76,55,126,72,54,169,123,2,47,0,1,0,47,0,0,0,0,240,160,2,73,0,3,0,0,0,167,119,3,43,0,1,0,43,0,0,0,0,0,223,157,3,63,0,4,0,63,0,0,0,0,1,255,115,9,136,0,2,0,0,0,209,100,5,107,0,2,0,0,0,197,127,4,54,5,1,0,1,5,236,155,4,59,8,6,0,197,127,4,54,8,3,0
01075001701,2,01075001701,193,11,182,244,10,233,246,14,232,172,13,159,173,8,165,172,9,163,94,3,90,220,13,206,220,14,205,257,233,9,0,6,13,0,0,6,0,0,0,292,270,8,0,5,12,0,0,0,208,197,0,0,6,9,0,0,6,0,0,0,0,229,214,0,0,7,7,0,0,7,0,0,0,7,431,424,3,4,0,0,0,0,0,352,346,2,4,0,0,0,0,0,398,386,6,0,0,0,0,0,6,468,455,6,3,0,6,0,398,386,6,2,0,6,0
01075000301,2,01075000301,59,23,36,72,24,48,72,26,46,55,22,33,52,18,34,52,17,35,35,14,21,60,23,37,54,19,35,68,57,0,10,0,0,0,10,0,0,0,0,75,64,0,6,0,0,0,0,0,85,81,0,5,0,0,0,4,0,0,0,0,0,97,89,0,4,0,0,0,3,0,0,0,0,0,157,131,1,22,0,3,0,0,0,132,110,1,19,0,2,0,0,0,112,88,6,16,1,0,0,0,1,141,108,7,23,1,4,0,112,88,6,16,1,3,0
01075002201,2,01075002201,48,4,44,57,5,52,57,5,52,45,1,44,44,4,40,44,3,41,35,3,32,49,4,45,48,7,41,78,65,0,14,0,1,0,14,0,0,0,0,111,92,0,15,0,0,0,0,0,55,53,0,1,0,1,0,1,0,0,0,0,0,63,60,0,2,0,0,0,2,0,0,0,0,0,166,127,38,0,0,0,1,0,0,115,92,22,0,0,0,1,0,0,124,86,35,0,0,2,0,0,1,163,117,43,1,0,5,0,124,86,35,1,0,5,0
01075000201,2,01075000201,190,27,163,227,24,201,227,31,196,183,36,147,180,39,141,179,29,150,108,19,89,226,21,203,220,34,186,457,424,0,35,0,0,0,35,0,0,0,0,730,641,0,35,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,253,248,0,7,0,0,0,0,0,0,0,0,7,479,440,13,25,0,2,0,0,0,375,346,9,19,0,2,0,0,0,401,359,7,13,0,0,0,0,22,533,465,18,30,1,18,1,401,359,7,18,0,15,0
01035000041,4,01035000041,432,344,88,490,393,97,487,393,94,384,302,82,378,308,70,380,304,76,343,280,63,490,380,110,474,365,109,406,104,0,305,0,0,0,305,0,0,0,0,454,104,0,353,0,0,0,0,0,299,48,0,247,0,0,0,247,0,0,0,0,0,325,47,0,278,0,0,0,278,0,0,0,0,0,772,195,18,564,0,2,0,0,0,606,163,12,432,0,2,0,0,0,596,152,1,431,0,1,0,0,11,708,171,2,526,1,7,0,596,152,1,436,1,6,0
01035000062,4,01035000062,394,114,279,463,103,359,461,113,348,356,111,245,344,130,214,345,109,236,266,98,166,479,134,339,460,145,312,941,670,0,268,0,1,0,268,0,0,0,0,1190,873,6,306,0,1,0,0,0,999,666,0,330,0,0,0,330,0,0,0,0,0,1187,811,0,373,0,0,0,373,0,0,0,0,0,961,697,4,249,1,14,0,0,0,766,549,2,204,1,12,0,0,0,710,514,7,162,1,3,0,0,23,881,622,12,222,3,15,1,710,514,7,172,3,11,0
01035000152,4,01035000152,180,50,129,198,45,150,200,60,139,170,52,117,168,54,114,169,43,126,131,36,94,201,46,150,198,44,152,302,161,1,131,0,4,0,131,0,0,0,0,393,208,2,182,0,4,0,0,0,323,172,0,132,11,8,0,132,11,0,0,0,0,432,233,2,182,11,7,0,182,11,0,0,0,7,432,279,3,143,0,10,0,0,0,354,238,2,109,0,7,0,0,0,295,182,1,103,0,1,0,1,7,346,215,3,115,0,13,0,295,182,1,104,0,8,0
01077000011,2,01077000011,1240,293,932,1369,238,1109,1360,287,1069,1162,321,840,1162,322,840,1159,277,882,984,320,632,1419,267,1098,1399,310,1089,1981,1805,0,122,10,41,1,122,5,41,0,0,2419,2050,12,252,14,88,1,0,0,2074,1976,0,95,0,0,0,95,0,0,0,0,0,2540,2271,27,240,0,0,1,240,0,0,1,0,0,2565,2387,48,96,12,25,1,0,0,2052,1941,25,67,6,16,1,0,0,2098,1859,50,82,20,5,2,3,77,2516,2187,77,134,35,80,2,2098,1859,50,93,23,67,2
01077000102,2,01077000102,584,544,39,693,639,53,671,628,43,517,475,41,516,483,30,519,486,29,482,467,14,632,582,40,618,559,58,1188,330,44,807,1,2,0,801,0,2,0,0,1575,391,59,1115,13,2,0,0,0,1240,359,17,863,0,3,0,863,0,2,0,0,0,1692,391,18,1264,19,3,1,1261,14,2,0,0,6,1979,316,54,1594,7,18,3,0,0,1466,273,37,1147,4,10,1,0,0,1292,309,28,901,5,3,2,3,41,1708,353,36,1278,9,29,4,1292,309,28,927,9,23,3
01077000100,2,01077000100,421,211,203,514,243,258,508,264,243,388,196,192,387,206,181,386,187,199,328,212,111,447,172,240,445,178,266,989,871,1,108,1,3,0,108,0,3,0,0,1232,1061,1,160,4,3,0,0,0,1014,918,5,87,1,1,0,85,0,1,0,0,0,1172,1016,5,91,16,1,0,89,15,1,0,0,42,1108,858,33,209,3,13,0,0,0,917,718,27,166,2,10,0,0,0,1023,768,70,158,4,0,1,1,21,1255,920,74,244,13,12,2,1023,768,70,172,9,11,2
01077000015,2,01077000015,988,329,652,1270,348,906,1259,405,849,849,311,538,845,323,521,843,311,532,633,310,316,1102,312,754,1089,361,727,1933,1748,16,174,0,0,0,174,0,0,0,0,2417,2184,18,222,0,0,0,0,0,2057,1649,3,399,0,4,0,399,0,0,0,0,0,2504,2042,3,429,24,5,0,426,24,0,0,0,8,2390,1895,50,427,3,25,0,0,0,1919,1530,32,340,2,24,0,0,0,1973,1581,33,300,5,5,0,0,49,2429,1910,62,415,7,43,0,1973,1581,33,320,6,40,0
01035000081,4,01035000081,222,28,193,265,28,235,261,38,223,204,30,174,201,39,162,199,23,176,158,26,131,256,25,221,245,28,217,238,142,0,102,0,0,0,102,0,0,0,0,292,152,0,141,0,0,0,0,0,295,187,0,102,7,0,0,102,7,0,0,0,0,350,193,0,148,7,0,0,148,7,0,0,0,0,468,410,7,39,8,7,0,0,0,390,351,6,24,2,7,0,0,0,370,326,5,27,1,4,0,0,7,482,412,9,48,3,14,0,370,326,5,30,1,10,0
01035000111,4,01035000111,540,193,346,635,206,425,627,221,406,465,174,291,459,189,270,458,170,288,362,156,206,668,200,460,639,204,434,1129,691,4,403,0,25,0,399,0,25,0,0,1320,806,15,475,0,25,0,0,0,944,568,4,353,0,20,0,349,0,20,0,0,0,1192,737,12,425,0,20,0,422,0,20,0,0,3,1446,986,25,425,9,4,0,0,0,1142,812,21,299,8,3,0,0,0,1121,636,53,383,20,5,0,0,24,1442,751,89,564,28,24,4,1121,636,53,405,24,16,4
01073003040,3,01073003040,4498,1676,2739,5083,1774,3227,5098,1928,3152,4307,1718,2582,4285,1568,2714,4264,1415,2845,3462,1756,1592,4751,1291,3171,4693,1282,3395,6182,5328,157,470,208,0,0,423,201,0,13,0,8758,7042,347,770,644,13,22,0,0,5151,4346,246,417,130,8,0,403,128,0,0,2,0,7415,5875,397,580,592,6,4,545,356,0,0,0,244,7941,5988,207,1060,696,31,4,0,0,5988,4607,153,735,488,24,2,0,0,7103,5396,202,684,597,6,0,11,207,9144,6762,274,1056,884,171,7,7103,5396,202,728,651,120,5
01073003090,3,01073003090,2047,880,1154,2449,1053,1360,2449,1138,1311,1868,806,1059,1866,804,1061,1869,773,1095,1448,740,684,2324,754,1507,2303,794,1507,3426,2376,15,1001,0,25,0,984,0,0,0,0,4610,2895,44,1609,0,25,0,0,0,3604,2467,10,1086,20,19,0,1070,20,0,0,0,0,4866,2950,10,1730,126,19,0,1695,18,0,0,33,159,5097,2985,125,1930,36,45,0,0,0,3914,2452,74,1350,23,29,0,0,0,4020,2277,152,1445,4,6,2,4,130,5343,2747,242,2194,29,125,11,4020,2277,152,1473,18,99,4
01073001350,3,01073001350,653,612,37,778,725,37,774,743,30,559,509,50,560,517,41,560,516,44,505,476,28,761,692,54,750,687,62,1218,116,55,1040,7,0,0,1040,0,0,0,0,1794,132,90,1567,7,0,0,0,0,1355,96,65,1198,0,0,0,1198,0,0,0,0,0,1981,108,88,1785,0,0,0,1785,0,0,0,0,0,2143,124,46,1979,2,3,2,0,0,1434,96,35,1310,2,3,2,0,0,1301,69,23,1182,0,0,1,0,26,1878,79,50,1740,10,26,1,1301,69,23,1207,10,13,1
01073005070,3,01073005070,2982,1194,1706,3610,1353,2153,3610,1536,2059,2720,1133,1587,2699,1067,1629,2680,937,1741,2183,1232,842,3079,854,1963,3032,819,2205,4479,4251,28,125,37,40,0,125,27,0,0,0,5728,5322,61,132,137,39,17,0,0,4158,3932,15,153,18,40,0,153,14,0,0,0,0,5250,4848,35,159,91,40,30,159,84,0,30,21,71,5988,5324,227,238,160,47,5,0,0,4914,4431,152,188,115,32,4,0,0,5668,4833,215,305,144,4,1,28,138,6932,5807,306,432,247,93,5,5668,4833,215,334,184,70,5
01073003160,3,01073003160,3167,1562,1557,3953,1776,2088,3951,1916,2033,2859,1522,1331,2823,1405,1418,2821,1342,1479,2429,1545,844,3089,1259,1665,3017,1189,1822,3848,2035,109,1544,140,7,0,1527,127,7,9,0,5198,2585,350,1926,338,8,17,0,0,4171,2833,79,1083,145,17,0,1083,139,15,0,9,0,6333,4043,319,1486,492,16,35,1437,451,13,18,0,55,3295,2167,59,864,201,12,2,0,0,2476,1650,38,652,131,12,2,0,0,5839,3614,173,1417,442,20,0,23,150,8055,5052,257,1883,723,103,4,5839,3614,173,1465,481,88,1
01073004060,3,01073004060,2689,2116,558,3260,2571,662,3240,2598,639,2466,1943,522,2456,1965,491,2457,1945,510,2116,1761,342,2689,1925,688,2673,1923,746,5475,1879,57,3479,25,29,0,3474,23,10,19,0,8550,2319,475,5724,46,52,0,0,0,5159,1416,61,3614,22,37,0,3609,20,15,0,17,0,7670,1654,512,5475,53,91,2,5296,18,16,0,7,174,8024,3385,556,4028,47,59,13,0,0,5740,2775,323,2579,31,52,6,0,0,5568,1254,647,3547,10,14,2,18,76,7835,1425,983,5368,30,103,9,5568,1254,647,3608,15,82,8
01073005040,3,01073005040,3450,921,2463,4082,896,3100,4102,1086,3003,3177,927,2245,3157,822,2335,3157,668,2488,2631,1113,1400,3692,701,2766,3678,630,3042,4113,3944,77,37,60,0,0,37,60,0,0,0,5560,5338,112,35,78,0,0,0,0,3592,3401,93,38,56,0,0,38,56,0,0,0,0,4836,4571,135,42,78,4,0,42,72,0,0,0,18,5761,5479,63,78,114,27,0,0,0,4222,4032,42,53,78,12,0,0,0,4976,4578,76,66,152,3,1,9,91,6662,6048,132,107,265,95,7,4976,4578,76,75,171,61,3
01073001120,3,01073001120,1369,1228,134,1629,1457,153,1625,1492,132,1180,1036,143,1181,1061,120,1182,1060,122,1095,1019,70,1474,1290,151,1477,1304,173,3077,1037,42,2002,0,0,0,1992,0,0,0,0,4104,1105,300,2737,0,0,0,0,0,3074,1000,39,2043,0,0,0,2041,0,0,0,0,0,3843,1060,215,2599,0,0,0,2565,0,0,0,0,3,4717,917,79,3684,26,28,6,0,0,3475,844,51,2551,19,19,2,0,0,3386,815,197,2274,27,9,1,11,52,4309,863,283,3106,47,90,4,3386,815,197,2335,38,61,4
