GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_LtG,Dem_2018_LtG,Rep_2018_LtG,Total_2017_SenSp,Dem_2017_SenSp,Rep_2017_SenSp,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
01063000201,4,01063000201,545,421,123,559,421,133,557,428,128,528,407,121,525,414,111,526,402,123,489,397,90,620,464,152,606,438,167,838,329,5,499,2,0,0,499,0,0,0,0,1036,393,7,621,12,0,0,0,0,763,328,18,417,2,0,0,417,0,0,0,0,0,965,365,23,560,11,0,0,560,0,0,0,0,11,1106,400,16,686,3,3,0,0,0,897,357,7,529,3,3,0,0,0,835,270,12,533,4,2,0,2,12,967,314,12,633,9,5,0,835,270,12,546,6,5,0
01063000401,4,01063000401,661,530,130,734,558,173,730,565,165,621,515,105,617,514,102,616,506,110,552,480,72,740,570,162,713,545,167,798,225,0,562,0,16,0,562,0,16,0,0,1013,228,4,752,0,31,0,0,0,1101,139,0,953,0,12,0,953,0,12,0,0,0,1305,139,4,1137,0,31,0,1134,0,31,0,0,0,1336,293,7,1037,0,11,0,0,0,1035,250,6,780,0,8,0,0,0,756,183,4,556,0,2,0,2,9,950,215,5,722,0,12,1,756,183,4,561,0,11,0
01063000501,4,01063000501,366,315,51,387,324,62,392,333,59,342,295,47,337,295,42,337,287,50,317,284,33,426,360,63,412,345,67,751,43,0,708,0,0,0,708,0,0,0,0,1062,47,0,1015,0,0,0,0,0,426,24,0,402,0,0,0,402,0,0,0,0,0,502,24,0,478,0,0,0,478,0,0,0,0,0,829,76,2,751,0,2,0,0,0,601,66,1,533,0,2,0,0,0,549,66,3,464,0,0,0,0,16,751,86,4,660,1,8,0,549,66,3,478,1,8,0
01069000331,7,01069000331,1956,437,1505,2510,528,1947,2503,611,1889,1828,401,1425,1823,442,1377,1824,391,1431,1128,323,796,1947,292,1590,1917,338,1574,3406,2827,68,413,58,38,0,395,51,27,5,0,4533,3509,179,722,94,56,21,0,0,3569,2919,76,492,33,49,0,478,27,32,0,4,0,4653,3556,199,782,74,63,14,687,63,42,0,3,111,3800,3122,113,463,80,39,6,0,0,2937,2515,70,273,49,33,5,0,0,4221,3255,116,626,91,7,3,7,116,5454,3912,194,1084,159,99,3,4221,3255,116,654,113,71,3
01069000311,7,01069000311,1430,234,1183,1911,274,1609,1914,353,1560,1161,180,980,1158,229,928,1158,190,968,822,192,619,1648,195,1397,1616,236,1378,2991,2464,60,331,26,93,0,319,15,8,8,0,4193,3305,151,574,35,127,8,0,0,3366,2779,112,355,37,77,0,346,14,8,0,3,0,4672,3788,198,537,68,87,5,462,16,13,0,0,182,3680,3206,160,272,16,42,3,0,0,2572,2284,94,157,12,34,1,0,0,3117,2561,146,273,21,10,2,5,99,4360,3449,282,474,59,112,11,3117,2561,146,301,38,77,6
01069000410,7,01069000410,2921,625,2259,3417,641,2734,3413,762,2644,2668,581,2081,2655,605,2049,2648,539,2108,1953,614,1292,3435,563,2742,3371,599,2761,5617,4802,127,524,113,15,0,522,97,8,30,0,7492,5975,257,812,256,60,1,0,0,5648,4781,120,615,89,18,0,614,73,4,0,24,0,7678,6151,249,783,292,71,1,760,200,3,0,183,119,6726,5724,168,598,194,48,10,0,0,5120,4426,111,421,128,37,7,0,0,5795,4602,202,558,175,14,7,31,206,7366,5736,285,847,319,162,13,5795,4602,202,612,230,134,12
01069000352,7,01069000352,3019,603,2376,3590,669,2840,3580,771,2797,2776,531,2243,2768,571,2196,2769,494,2274,2033,596,1393,3473,499,2830,3405,573,2817,5139,4348,136,509,92,40,10,494,72,0,7,0,6551,5463,227,670,141,45,12,0,0,5249,4344,116,651,99,32,4,635,79,0,4,7,0,6688,5312,188,954,154,53,4,927,117,0,3,25,128,5932,5052,148,528,176,41,6,0,0,4514,3900,102,365,119,30,2,0,0,5555,4486,171,535,146,15,4,21,177,6964,5406,258,857,269,148,7,5555,4486,171,586,176,118,5
01069000181,7,01069000181,2901,919,1955,3826,1090,2665,3813,1236,2569,2397,713,1682,2396,786,1609,2395,729,1666,1892,801,1070,3146,905,2151,3098,916,2177,6009,4349,123,1425,72,48,1,1406,64,1,5,0,7912,5282,383,2025,147,97,1,0,0,6149,4260,136,1630,85,39,1,1614,78,2,1,5,0,7965,5205,324,2243,133,80,0,2171,117,3,0,21,122,7696,4435,284,2868,76,56,15,0,0,5694,3523,186,1895,54,48,11,0,0,6523,4287,421,1468,112,13,6,16,200,8331,5233,622,2088,196,195,13,6523,4287,421,1518,138,157,10
01069000371,7,01069000371,2017,1243,765,2438,1534,871,2406,1584,820,1706,1022,684,1701,1093,605,1697,1060,637,1370,898,467,2410,1281,1074,2387,1285,1094,6223,2551,107,3474,23,63,3,3428,23,11,7,0,8497,2913,213,5252,33,94,31,0,0,6145,2487,108,3455,30,67,0,3426,30,11,0,7,0,8406,2784,283,5208,41,95,0,5133,37,10,0,0,157,8964,4436,454,3982,70,95,5,0,0,6562,3628,302,2557,54,69,4,0,0,6411,2305,215,3618,35,18,5,12,203,8558,2601,345,5423,100,181,24,6411,2305,215,3742,62,136,15
01069000211,7,01069000211,1080,143,931,1291,178,1098,1290,232,1055,957,119,838,958,137,819,958,115,843,712,124,582,1321,116,1181,1291,169,1121,2328,2070,35,207,9,21,0,203,6,6,0,0,3046,2594,115,308,7,22,0,0,0,2412,2192,39,159,9,23,0,156,5,10,0,0,0,3049,2626,144,245,8,22,0,238,6,8,0,4,26,3131,2794,66,222,21,40,2,0,0,2451,2194,39,184,15,28,2,0,0,2529,2160,71,182,8,15,1,0,92,3143,2644,118,243,20,107,5,2529,2160,71,189,13,83,3
