GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
3118100004P,3,3118100004P,391,76,307,470,87,375,444,62,363,352,82,258,357,76,281,273,0,273,411,79,318,678,633,34,6,0,11,0,3,0,3,0,0,861,748,71,11,7,27,0,0,0,734,654,50,6,0,29,0,3,0,11,0,0,0,900,772,88,8,11,37,0,5,0,13,0,0,26,898,843,37,7,6,6,0,0,0,746,718,18,4,3,3,0,0,0,634,600,18,1,1,3,0,1,10,802,735,49,2,1,13,1,634,600,18,2,1,10,0
3112700012P,2,3112700012P,444,110,326,550,136,407,511,67,424,388,104,277,390,110,280,314,0,314,479,113,332,788,780,2,0,5,2,0,0,5,0,0,0,1077,1070,2,2,8,2,0,0,0,894,885,4,0,5,4,0,0,5,1,0,0,0,1248,1227,8,3,5,3,0,2,4,2,0,0,5,1201,1156,27,8,8,3,0,0,0,877,846,21,4,5,3,0,0,0,837,797,14,0,2,4,0,1,19,1151,1091,28,2,4,22,2,837,797,14,0,2,18,2
31013001312,3,31013001312,279,28,247,360,42,314,348,25,304,217,18,191,215,35,180,191,0,191,321,21,290,513,473,33,0,0,1,0,0,0,0,0,0,657,596,50,2,8,1,0,0,0,418,413,3,0,0,0,0,0,0,0,0,0,0,527,506,5,1,8,0,0,0,8,0,0,0,1,642,601,31,4,3,8,0,0,0,504,478,15,0,1,5,0,0,0,450,431,8,1,0,2,0,0,8,590,549,17,5,1,11,0,450,431,8,1,0,4,0
3108900001P,3,3108900001P,200,37,159,223,44,176,201,30,150,195,37,151,197,38,159,158,0,158,211,22,171,262,258,0,0,0,0,0,0,0,0,0,0,346,346,0,0,0,0,0,0,0,253,242,0,0,0,0,0,0,0,0,0,0,0,366,354,1,0,0,0,0,0,0,0,0,0,0,383,375,4,0,2,2,0,0,0,308,304,1,0,2,1,0,0,0,333,324,3,0,1,0,0,0,5,436,422,5,1,3,5,0,333,324,3,0,3,3,0
3108900005P,3,3108900005P,306,28,275,374,23,348,345,31,283,272,29,232,274,28,246,226,0,226,328,13,307,444,439,5,0,1,3,3,0,1,3,0,0,593,574,3,1,1,2,10,0,0,446,424,15,3,1,3,3,3,1,3,3,0,0,622,597,20,5,1,4,2,1,1,3,2,0,5,657,654,1,2,0,0,0,0,0,501,499,1,1,0,0,0,0,0,484,470,6,6,0,0,0,0,2,607,584,11,8,2,3,0,484,470,6,6,2,0,0
3108900007P,3,3108900007P,432,65,362,506,58,443,471,61,386,392,75,299,392,89,303,328,0,328,491,55,413,697,678,7,0,5,0,0,0,5,0,0,0,885,873,7,1,7,0,0,0,0,654,646,7,0,3,0,0,0,3,0,0,0,0,862,820,22,2,7,0,0,0,7,0,0,0,2,909,894,4,7,1,4,0,0,0,706,699,4,2,1,1,0,0,0,646,631,8,0,1,1,0,0,5,850,830,11,1,4,6,0,646,631,8,0,4,4,0
31055002-17,1,31055002-17,748,563,163,944,729,194,817,533,225,630,485,119,622,500,122,316,0,316,813,602,169,1802,896,225,530,67,93,0,491,52,59,13,0,3093,1209,658,872,228,210,0,0,0,1894,1036,122,613,80,42,0,535,50,19,0,10,0,3331,1321,521,1118,329,92,0,944,290,18,0,0,243,2989,1013,415,1370,167,106,8,0,0,2074,825,229,882,106,60,6,0,0,2287,824,365,753,185,33,3,11,113,3274,1009,586,1279,312,171,11,2287,824,365,826,200,107,5
31055002-22,1,31055002-22,511,458,45,656,590,58,553,446,83,467,406,42,465,422,43,166,0,166,515,474,28,1085,161,85,711,75,38,0,681,60,31,16,0,2188,191,355,1058,586,64,0,0,0,1209,159,54,862,83,37,0,819,57,33,0,15,0,2252,226,242,1367,417,57,0,1246,360,31,0,0,142,1983,211,207,1364,190,61,5,0,0,1331,168,108,937,107,33,4,0,0,1653,216,230,914,210,7,2,10,64,2501,280,425,1393,371,91,10,1653,216,230,964,220,55,10
31055004-06,1,31055004-06,911,571,314,1091,714,351,1014,568,374,803,502,268,802,514,288,504,0,504,1041,617,368,2043,1522,451,61,0,10,0,36,0,10,0,0,3584,1943,1515,74,20,32,0,0,0,1829,1376,371,86,0,0,0,86,0,0,0,0,0,3359,1589,1661,101,0,3,0,101,0,0,0,0,6,3606,1805,1537,184,71,89,5,0,0,2540,1494,874,110,45,50,4,0,0,2771,1153,1402,113,18,17,1,1,66,4115,1364,2391,276,45,271,11,2771,1153,1402,154,22,169,7
31055003-13,1,31055003-13,931,607,295,1104,767,310,921,456,381,881,575,269,872,616,256,513,0,513,944,591,299,1676,1249,196,190,21,19,0,176,17,4,10,0,2548,1551,661,264,99,43,2,0,0,1746,1217,300,157,27,40,0,148,16,4,0,7,0,2626,1463,821,257,101,73,2,171,46,1,0,0,124,2688,1568,890,184,31,57,4,0,0,1967,1273,530,126,22,38,4,0,0,1975,1187,492,194,12,11,0,5,74,2717,1443,882,319,34,104,5,1975,1187,492,229,27,56,5
31055006-32,1,31055006-32,1367,400,937,1679,602,1046,1544,300,1163,1180,345,812,1174,360,814,940,0,940,1499,453,983,1986,1955,6,0,18,3,0,0,12,0,0,0,3207,3001,30,6,177,3,0,0,0,1926,1888,6,0,28,7,0,0,19,6,0,0,0,3248,2985,41,0,211,17,0,0,181,15,0,0,26,2179,2093,33,9,36,8,5,0,0,1387,1342,16,5,19,4,3,0,0,1868,1722,42,6,55,0,2,6,35,2694,2459,67,28,104,25,3,1868,1722,42,8,66,18,2
31055007-19,2,31055007-19,1183,667,476,1456,886,532,1255,525,628,1051,613,408,1047,643,404,687,0,687,1222,676,479,2424,1817,127,412,63,0,0,369,45,0,10,0,3221,2003,207,608,409,24,0,0,0,2391,1816,133,354,62,5,0,312,37,0,0,26,0,3198,2076,181,522,427,20,20,426,405,0,0,4,109,3281,2549,149,236,338,15,9,0,0,2869,2262,119,192,287,11,6,0,0,2978,2074,156,276,370,4,0,6,92,3385,2254,193,404,478,56,3,2978,2074,156,308,396,34,3
31055007-13,2,31055007-13,1255,472,746,1481,660,783,1337,334,919,1125,430,660,1128,460,668,865,0,865,1327,476,772,2052,1793,63,139,43,3,0,135,35,3,15,0,2907,2365,94,311,144,4,15,0,0,2145,1746,63,252,63,15,0,165,62,15,0,16,0,2919,2266,95,402,150,14,16,189,140,14,0,0,214,2196,1957,42,73,111,19,1,0,0,1504,1360,27,44,58,12,1,0,0,1726,1471,59,59,65,8,0,7,57,2298,1904,93,115,125,51,1,1726,1471,59,72,82,32,0
3112500001P,3,3112500001P,168,40,120,212,46,158,190,28,151,156,41,107,159,40,119,126,0,126,158,23,122,284,260,15,0,0,0,0,0,0,0,0,0,328,302,17,3,0,0,0,0,0,230,223,5,0,0,0,0,0,0,0,0,0,0,277,274,5,0,0,0,0,0,0,0,0,0,0,359,351,2,0,0,7,0,0,0,278,273,2,0,0,4,0,0,0,259,254,1,0,1,1,0,0,2,317,306,1,2,3,9,0,259,254,1,0,2,3,0
3103700003P,3,3103700003P,461,167,286,633,243,382,596,189,375,374,145,218,371,143,228,281,0,281,500,185,289,1112,733,313,64,3,2,0,64,2,0,0,0,2613,964,1337,302,6,1,3,0,0,1099,757,289,50,2,2,0,50,0,0,0,0,0,2547,999,1198,349,3,0,3,349,0,0,0,0,3,2531,1014,1461,48,10,33,3,0,0,1709,824,848,25,4,22,1,0,0,1707,549,1007,121,9,6,0,0,15,2573,693,1661,170,25,205,1,1707,549,1007,127,15,124,0
3113900006P,3,3113900006P,352,28,318,437,42,389,423,27,376,305,27,270,303,28,275,269,0,269,412,32,362,588,552,30,3,0,0,0,3,0,0,0,0,755,709,39,4,0,23,0,0,0,505,450,52,3,0,0,0,3,0,0,0,0,0,625,562,59,3,0,49,0,3,0,0,0,0,0,725,713,7,2,2,2,0,0,0,529,523,3,1,1,1,0,0,0,537,528,0,1,0,0,0,0,8,726,710,4,2,5,4,0,537,528,0,2,2,3,0
3113900002P,3,3113900002P,775,86,674,927,97,815,869,86,730,675,59,595,680,88,592,601,0,601,842,69,741,1023,1008,0,4,0,1,0,4,0,0,0,0,1395,1365,0,7,0,1,0,0,0,992,980,2,4,0,2,0,4,0,0,0,0,0,1345,1322,8,4,0,12,0,4,0,0,0,0,2,1656,1610,23,7,6,9,0,0,0,1208,1186,8,4,3,6,0,0,0,1189,1137,23,3,4,0,0,5,17,1563,1475,39,13,10,20,0,1189,1137,23,4,7,13,0
3115500009P,1,3115500009P,400,101,288,469,112,347,442,61,352,360,97,239,357,109,248,286,0,286,423,93,306,648,619,18,3,4,9,0,0,2,7,0,0,891,836,36,9,5,11,0,0,0,634,607,18,3,10,7,0,0,3,2,0,0,0,836,799,30,5,9,7,0,0,3,3,0,0,12,843,814,21,0,5,3,0,0,0,630,609,13,0,5,3,0,0,0,686,641,19,0,2,2,0,0,22,931,853,40,11,8,16,0,686,641,19,2,4,15,0
31055006-29,2,31055006-29,956,337,598,1099,468,617,975,219,699,882,317,548,885,335,550,653,0,653,1011,340,627,1110,1022,33,25,25,9,0,25,25,0,0,0,1507,1396,43,25,35,15,0,0,0,962,846,26,59,21,9,0,29,21,0,0,0,0,1309,1139,32,79,51,10,0,30,51,0,0,0,59,1655,1541,41,18,45,10,4,0,0,1195,1127,25,10,31,4,4,0,0,1237,1123,42,13,26,1,0,0,32,1650,1488,59,24,58,23,1,1237,1123,42,17,39,15,1
31055001-31,2,31055001-31,1179,626,530,1390,834,538,1176,467,642,1109,593,488,1111,618,493,711,0,711,1233,638,532,1834,1413,68,268,33,10,0,268,33,0,41,0,2589,1738,96,489,248,187,0,0,0,1622,1216,40,281,33,10,0,281,33,0,0,46,0,2271,1469,46,468,272,213,0,463,39,0,0,9,248,2485,1827,140,448,56,45,5,0,0,1818,1403,84,279,39,25,3,0,0,1866,1272,128,331,55,11,0,3,66,2524,1613,210,537,115,59,6,1866,1272,128,358,64,44,4
31055006-23,2,31055006-23,747,246,480,894,326,552,818,184,578,659,215,421,656,247,409,514,0,514,812,249,508,2083,2024,21,4,9,23,0,4,9,19,0,0,2852,2590,117,5,103,92,0,0,0,1747,1676,27,26,12,8,0,7,12,0,0,0,0,2568,2318,82,28,112,31,0,7,98,0,0,0,66,1758,1624,77,29,21,11,0,0,0,1265,1199,34,15,9,10,0,0,0,1533,1395,64,5,25,5,0,1,38,2047,1835,95,31,58,30,5,1533,1395,64,13,40,27,4
31055008-04,1,31055008-04,562,220,323,671,299,353,608,180,386,504,202,279,499,211,288,382,0,382,587,216,341,884,819,51,22,0,0,0,22,0,0,0,0,1308,1096,193,20,0,0,0,0,0,901,814,59,22,0,0,0,22,0,0,0,0,0,1336,1047,264,26,0,0,0,26,0,0,0,0,0,1183,1006,113,54,14,5,0,0,0,914,802,72,32,10,2,0,0,0,934,738,130,32,11,2,0,2,19,1193,903,201,54,19,18,0,934,738,130,36,17,14,0
31055005-34,1,31055005-34,443,189,236,565,264,289,511,165,302,367,165,189,367,177,190,261,0,261,482,189,250,828,687,57,50,13,19,2,50,13,0,2,0,1024,831,60,48,57,22,6,0,0,1093,968,38,58,12,13,1,58,12,0,1,3,0,1231,1059,42,57,52,15,6,57,52,0,1,0,20,1152,936,55,23,125,11,0,0,0,721,604,29,11,76,4,0,0,0,904,706,57,35,75,4,1,0,26,1204,924,89,54,116,17,4,904,706,57,43,79,12,4
31055004-10,1,31055004-10,731,518,201,908,658,238,837,529,263,597,413,165,597,430,167,359,0,359,867,621,205,2131,730,880,517,0,0,0,487,0,0,0,0,4767,879,2612,1276,72,167,0,0,0,2050,579,763,698,0,0,0,698,0,0,0,0,0,4344,684,2212,1542,44,145,0,1356,14,0,0,0,78,5025,1022,2694,1203,84,179,25,0,0,2985,827,1511,576,50,94,11,0,0,3160,671,1800,515,27,31,0,28,88,5197,842,3029,1188,52,288,6,3160,671,1800,569,40,182,5
3112100011P,3,3112100011P,236,38,192,275,40,224,263,37,201,217,41,170,216,38,178,174,0,174,245,31,205,406,395,10,0,10,0,0,0,0,0,0,0,484,467,12,0,9,3,0,0,0,423,416,4,0,0,0,0,0,0,0,0,0,0,553,542,12,0,0,0,0,0,0,0,0,0,0,522,496,15,5,3,6,0,0,0,397,385,6,1,1,4,0,0,0,404,374,17,1,0,2,0,0,10,500,442,34,5,2,16,1,404,374,17,4,2,5,0
3112100008P,3,3112100008P,198,28,166,209,30,175,199,21,167,186,28,150,186,27,159,152,0,152,223,32,183,368,355,3,1,8,9,0,1,8,1,0,0,500,457,15,2,5,17,0,0,0,346,330,5,1,8,5,0,1,8,1,0,0,0,465,428,21,1,8,8,0,1,8,0,0,0,9,466,423,7,0,32,4,0,0,0,312,300,3,0,7,3,0,0,0,336,318,8,0,3,0,0,0,7,470,423,29,2,12,9,2,336,318,8,0,5,3,0
3112100005P,3,3112100005P,299,57,234,365,57,301,342,41,272,269,48,205,274,65,209,222,0,222,309,60,230,563,554,4,0,7,8,0,0,5,0,0,0,733,719,7,0,11,6,0,0,0,520,507,4,0,7,4,0,0,5,0,0,0,0,636,622,8,0,12,2,0,0,4,0,0,0,5,753,706,33,4,4,6,0,0,0,586,560,15,4,3,4,0,0,0,509,477,19,3,0,2,0,0,8,704,654,24,10,2,15,0,509,477,19,6,2,9,0
3113900005P,3,3113900005P,734,61,658,950,91,844,904,58,810,621,58,547,628,71,557,541,0,541,756,55,682,1011,999,10,4,2,4,0,2,0,0,0,0,1273,1265,18,4,7,13,3,0,0,1147,1122,20,2,1,4,0,2,0,0,0,0,0,1427,1397,32,1,5,30,0,1,4,0,0,0,8,1551,1514,20,5,2,9,0,0,0,1129,1110,11,3,2,3,0,0,0,1204,1172,9,3,1,1,1,2,15,1636,1581,15,9,5,20,1,1204,1172,9,5,3,8,1
3105300007P,2,3105300007P,579,146,419,719,190,516,692,129,512,495,117,365,493,156,337,405,0,405,587,136,432,658,586,50,0,0,17,0,0,0,1,0,0,1202,699,450,27,4,19,0,0,0,755,684,60,0,0,10,0,0,0,1,0,0,0,1265,810,429,16,0,11,1,10,0,1,0,0,12,1005,933,57,8,1,8,0,0,0,841,797,34,3,1,7,0,0,0,826,721,89,1,0,1,0,9,5,1040,846,161,8,7,16,1,826,721,89,3,3,8,1
3105300004P,2,3105300004P,391,75,309,471,100,366,447,55,360,337,61,267,337,84,253,284,0,284,447,75,343,675,659,6,0,0,4,10,0,0,2,0,0,873,796,35,3,2,6,24,0,0,644,608,16,0,0,6,17,0,0,3,17,0,0,859,775,46,0,3,8,21,0,3,3,21,0,3,881,831,36,3,5,10,2,0,0,671,646,15,1,4,6,1,0,0,579,545,20,0,0,4,0,2,8,757,701,37,3,3,12,0,579,545,20,2,1,7,0
3105300001P,2,3105300001P,376,81,289,428,79,343,412,58,325,327,69,245,326,89,237,245,0,245,441,87,347,645,632,7,3,0,3,0,3,0,3,0,0,888,844,35,3,0,2,0,0,0,584,575,7,3,0,3,0,3,0,3,0,0,0,825,773,50,4,0,2,0,4,0,2,0,0,0,886,841,29,4,0,5,0,0,0,676,655,13,3,0,3,0,0,0,647,603,36,1,1,2,0,0,4,856,749,83,7,9,3,2,647,603,36,1,3,3,1
3115500018P,1,3115500018P,727,192,512,873,226,623,814,132,638,666,176,467,666,214,452,546,0,546,717,184,492,905,868,22,3,14,5,0,3,5,0,0,0,1165,1122,27,8,18,5,0,0,0,940,898,23,3,15,4,0,3,5,0,0,0,0,1279,1223,27,12,20,5,0,8,5,0,0,0,26,1046,1009,20,2,13,0,0,0,0,805,788,9,0,5,0,0,0,0,1248,1188,16,5,11,0,0,3,25,1664,1566,21,21,23,19,3,1248,1188,16,9,14,11,0
3115500011P,1,3115500011P,412,91,309,467,96,359,449,60,351,379,91,271,381,110,271,301,0,301,427,76,325,639,622,2,1,12,5,0,1,12,5,0,0,820,794,4,4,16,17,0,0,0,718,689,4,0,0,20,0,0,0,1,0,0,0,883,840,4,3,0,35,0,1,0,6,0,0,33,872,828,30,7,2,9,0,0,0,647,624,15,2,2,8,0,0,0,607,590,7,2,1,0,0,0,7,809,769,12,10,5,16,0,607,590,7,7,3,5,0
3115500007P,1,3115500007P,313,78,229,357,92,259,333,54,259,281,72,197,291,85,206,209,0,209,308,60,232,379,367,3,3,0,0,0,3,0,0,0,0,486,462,6,9,0,1,0,0,0,352,341,6,1,2,0,0,1,2,0,0,0,0,460,436,8,7,2,2,0,3,2,0,0,0,4,591,572,10,3,4,2,0,0,0,427,412,7,3,3,2,0,0,0,425,398,6,0,5,0,0,1,15,578,539,9,4,7,10,0,425,398,6,1,6,4,0
3115500006P,1,3115500006P,433,90,332,512,101,399,498,92,381,393,80,302,395,90,305,301,0,301,469,84,360,577,574,2,0,0,2,0,0,0,2,0,0,800,786,8,0,0,1,0,0,0,513,509,2,0,0,2,0,0,0,2,0,0,0,643,633,5,0,0,1,0,0,0,1,0,0,0,866,852,7,0,0,7,0,0,0,672,662,5,0,0,5,0,0,0,664,644,3,0,3,0,0,2,12,845,817,5,4,5,7,0,664,644,3,1,3,4,0
3106900002P,3,3106900002P,374,53,314,448,54,387,423,52,344,364,51,300,365,65,300,291,0,291,379,49,312,505,495,4,2,0,0,0,0,0,0,0,0,679,631,43,3,0,0,0,0,0,527,508,15,1,1,1,0,0,1,1,0,0,0,709,658,43,7,1,0,0,0,1,0,0,0,7,748,725,12,4,0,9,0,0,0,608,590,11,4,0,5,0,0,0,590,544,32,0,0,0,0,3,11,743,686,41,8,2,8,3,590,544,32,3,2,4,1
3106900003P,3,3106900003P,286,44,237,322,44,273,310,32,258,279,35,228,282,50,232,236,0,236,300,48,243,414,409,4,1,1,4,0,1,1,4,0,0,504,487,6,1,0,4,0,0,0,395,387,4,0,0,3,0,0,0,3,0,0,0,507,478,17,1,0,4,0,0,0,4,0,0,1,553,523,17,4,1,10,1,0,0,461,440,11,2,1,8,1,0,0,374,344,8,3,0,1,0,5,13,463,422,16,8,0,13,3,374,344,8,5,0,11,1
3106900001P,3,3106900001P,87,12,73,106,12,91,100,11,87,74,12,59,76,15,61,61,0,61,109,12,92,140,137,1,0,0,1,0,0,0,1,0,0,167,167,1,0,0,1,0,0,0,135,133,0,0,0,1,0,0,0,1,0,0,0,154,154,0,0,0,1,0,0,0,1,0,0,0,183,168,15,0,0,0,0,0,0,149,139,10,0,0,0,0,0,0,137,131,2,0,1,0,0,1,2,170,161,2,2,2,1,0,137,131,2,0,2,1,0
3118300002P,3,3118300002P,135,25,108,156,21,133,150,12,128,127,20,103,126,33,93,104,0,104,136,26,106,198,198,1,0,0,1,0,0,0,0,0,0,248,241,5,0,0,0,0,0,0,189,185,1,0,0,1,0,0,0,0,0,0,0,219,214,2,0,0,0,0,0,0,0,0,0,0,260,256,2,0,0,1,1,0,0,214,212,0,0,0,1,1,0,0,210,200,6,0,0,0,0,0,4,236,219,8,6,3,6,1,210,200,6,4,1,3,0
31055008-14,2,31055008-14,872,264,585,1059,345,691,982,197,727,775,243,509,773,267,506,616,0,616,879,252,585,1333,1291,19,0,30,0,0,0,23,0,0,0,1826,1709,80,3,39,3,0,0,0,1346,1287,11,0,41,1,0,0,37,0,0,0,0,1799,1667,78,1,51,4,0,0,39,0,0,10,11,1458,1395,27,20,7,4,0,0,0,1022,985,17,7,4,4,0,0,0,1433,1334,31,9,15,3,2,0,39,2026,1838,63,48,40,41,7,1433,1334,31,20,25,30,5
3105300025P,2,3105300025P,407,170,224,513,213,287,486,154,298,343,162,165,345,174,171,269,0,269,449,154,265,912,835,48,18,0,5,5,14,0,3,0,0,1365,1092,207,49,0,9,5,0,0,961,863,62,17,0,4,5,14,0,0,5,1,0,1280,1053,179,36,4,9,10,22,0,5,5,0,19,1336,1134,173,9,15,18,0,0,0,959,845,98,3,10,5,0,0,0,960,759,164,9,5,3,0,0,20,1347,1008,278,22,19,52,3,960,759,164,11,13,25,3
3105300031P,2,3105300031P,537,158,363,633,164,450,589,103,445,477,141,320,482,162,320,375,0,375,561,147,381,970,952,5,0,8,2,0,0,8,0,0,0,1362,1327,12,0,14,5,0,0,0,1018,984,17,0,11,6,0,0,8,2,0,0,0,1472,1381,45,0,40,8,0,0,25,3,0,0,18,1177,1142,14,15,2,4,0,0,0,855,834,10,6,2,3,0,0,0,868,796,52,0,3,2,0,2,13,1201,1091,82,6,5,17,0,868,796,52,3,4,10,0
3105300009P,2,3105300009P,128,31,96,213,43,169,195,21,156,93,23,70,96,31,65,71,0,71,143,35,103,252,230,11,0,0,6,0,0,0,0,0,0,400,302,89,2,0,15,0,0,0,221,202,14,0,0,5,0,0,0,0,0,0,0,322,240,76,1,0,6,0,0,0,0,0,0,4,266,257,8,0,0,0,0,0,0,217,212,4,0,0,0,0,0,0,431,345,39,4,9,5,0,0,29,582,454,66,10,19,27,1,431,345,39,7,14,20,1
3103700001P,3,3103700001P,714,230,469,923,308,595,885,243,601,618,199,404,613,200,413,481,0,481,765,257,481,1264,928,275,0,53,7,0,0,19,4,0,0,3023,1132,1757,29,103,83,1,0,0,1157,896,192,0,53,6,0,0,23,4,0,0,0,2568,1076,1313,3,97,111,4,0,66,77,0,0,35,2892,1398,1430,33,13,71,6,0,0,2011,1134,835,20,13,38,4,0,0,2060,930,994,100,14,0,0,2,20,2965,1111,1655,158,25,142,3,2060,930,994,112,18,89,3
3108900009P,3,3108900009P,583,102,461,661,98,542,629,85,494,512,107,377,521,111,410,437,0,437,635,87,523,950,923,6,0,20,3,0,0,11,3,0,0,1294,1240,38,3,26,2,0,0,0,933,914,3,0,14,3,0,0,6,3,0,0,0,1262,1212,33,2,16,5,0,0,9,5,0,0,9,1245,1226,6,3,0,9,1,0,0,956,940,3,3,0,9,1,0,0,990,925,31,5,4,6,0,4,15,1306,1206,47,13,9,21,0,990,925,31,5,5,19,0
3108900004P,3,3108900004P,179,24,153,254,25,227,224,21,185,153,24,123,152,27,125,130,0,130,185,23,157,298,297,0,0,1,0,0,0,1,0,0,0,422,410,6,0,1,0,0,0,0,283,281,0,0,0,0,0,0,0,0,0,0,0,389,379,16,0,0,0,0,0,0,0,0,0,0,423,420,0,0,1,1,1,0,0,330,327,0,0,1,1,1,0,0,298,282,3,1,1,3,0,0,8,391,368,10,2,2,8,0,298,282,3,2,2,8,0
3118100005P,3,3118100005P,284,54,227,324,65,256,313,44,250,267,61,196,267,54,213,215,0,215,319,54,250,513,487,16,2,0,3,0,1,0,1,0,0,649,577,32,4,2,20,0,0,0,520,478,25,2,0,10,0,1,0,3,0,0,0,646,568,45,2,4,19,0,2,0,8,0,0,12,709,660,28,10,8,4,0,0,0,549,523,13,7,5,2,0,0,0,501,458,13,6,4,4,0,0,16,639,570,31,10,9,17,0,501,458,13,6,8,11,0
3117500008P,3,3117500008P,250,43,202,287,47,236,274,42,217,229,42,180,227,44,183,178,0,178,283,36,229,582,566,4,17,0,0,0,3,0,0,0,0,815,776,5,30,0,0,0,0,0,554,536,6,13,0,0,0,0,0,0,0,0,0,748,717,7,26,0,0,0,11,0,0,0,0,14,647,611,22,4,0,11,0,0,0,523,498,14,1,0,9,0,0,0,486,452,17,3,1,2,0,3,8,642,593,29,4,5,6,1,486,452,17,3,4,5,1
3103900006P,3,3103900006P,457,74,379,502,73,417,490,40,416,449,71,374,447,85,362,357,0,357,537,77,431,646,614,27,0,0,0,0,0,0,0,0,0,944,838,108,6,0,20,0,0,0,530,500,28,0,0,0,0,0,0,0,0,0,0,780,657,86,42,0,18,0,15,0,0,0,0,20,835,820,14,0,0,0,1,0,0,624,617,6,0,0,0,1,0,0,614,592,19,0,0,0,0,1,2,797,758,32,3,2,6,2,614,592,19,2,2,2,2
3113900001P,3,3113900001P,641,98,527,772,128,628,737,90,614,547,100,431,539,95,444,466,0,466,736,104,598,1249,1219,0,0,15,14,0,0,15,4,0,0,1680,1579,23,0,39,34,0,0,0,1267,1197,10,0,0,60,0,0,0,15,0,0,0,1752,1611,30,0,14,95,0,0,14,13,0,0,82,1567,1533,21,5,4,7,0,0,0,1208,1188,13,2,1,5,0,0,0,1172,1116,21,3,4,3,0,1,24,1547,1454,38,16,14,25,1,1172,1116,21,7,7,21,1
3115500004P,1,3115500004P,980,238,721,1220,280,919,1150,189,900,837,210,602,839,241,598,690,0,690,1033,251,759,1471,1458,0,6,10,0,0,0,10,0,0,0,1863,1838,0,13,10,0,0,0,0,1511,1496,0,6,19,2,0,0,19,0,0,0,0,1856,1828,0,11,18,2,0,0,18,0,0,0,12,1711,1658,25,11,4,12,1,0,0,1343,1312,14,5,4,7,1,0,0,1375,1307,24,3,6,1,0,3,31,1766,1653,39,11,14,17,0,1375,1307,24,4,6,15,0
31055002-25,2,31055002-25,1011,681,297,1234,877,322,1073,619,362,877,603,245,873,616,257,475,0,475,1108,748,305,2211,1195,54,783,134,65,0,726,134,44,5,0,3907,1501,153,1112,1076,144,6,0,0,1918,1072,59,646,97,59,0,590,97,30,0,5,0,3522,1366,204,937,962,128,4,821,956,51,0,0,121,3267,1720,168,1090,269,56,4,0,0,2317,1341,94,699,166,36,4,0,0,2805,1046,187,727,742,28,0,1,74,4068,1259,298,1121,1336,106,9,2805,1046,187,767,757,70,6
