GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
3108500001P,3,3108500001P,144,9,133,174,14,158,167,8,152,122,8,111,124,13,111,111,0,111,170,5,163,213,202,8,0,0,0,0,0,0,0,0,0,277,252,24,0,0,0,0,0,0,212,205,6,0,0,2,0,0,0,2,0,0,0,274,252,19,0,0,1,0,0,0,1,0,0,0,299,294,3,0,2,1,1,0,0,243,241,1,0,0,0,1,0,0,185,176,4,0,0,0,0,0,5,232,218,7,4,5,6,4,185,176,4,2,3,3,3
3112700008P,2,3112700008P,141,26,113,146,31,113,144,20,121,133,21,105,140,31,109,114,0,114,150,26,118,247,238,3,0,0,3,0,0,0,0,0,0,321,300,6,0,0,9,0,0,0,241,233,1,0,0,0,0,0,0,0,0,0,0,307,287,7,1,0,1,0,1,0,1,0,0,5,303,300,1,2,0,0,0,0,0,244,242,1,1,0,0,0,0,0,250,235,6,0,0,1,0,1,7,307,279,12,4,2,14,0,250,235,6,2,2,7,0
3112700009P,2,3112700009P,374,114,251,495,129,357,472,68,372,325,99,209,324,115,209,264,0,264,371,117,236,738,727,3,1,4,1,0,1,3,1,0,0,918,903,5,2,3,0,0,0,0,717,710,3,1,3,3,0,1,3,1,0,0,0,884,871,5,1,2,1,0,1,2,0,0,0,1,963,924,18,4,6,13,0,0,0,747,719,12,1,6,10,0,0,0,731,675,29,2,9,1,0,1,14,971,889,39,13,11,20,0,731,675,29,5,10,7,0
3102900002P,3,3102900002P,294,25,266,356,29,324,346,20,309,274,28,242,274,25,249,240,0,240,322,25,291,450,436,18,0,0,0,0,0,0,0,0,0,591,534,43,0,0,0,0,0,0,379,369,9,0,0,0,0,0,0,0,0,0,0,485,464,18,0,1,0,0,0,0,0,0,0,2,616,558,52,2,4,0,0,0,0,475,440,31,2,2,0,0,0,0,460,418,25,5,1,0,0,0,11,634,568,42,7,3,12,1,460,418,25,6,2,9,1
3112700004P,2,3112700004P,473,104,355,545,134,397,515,61,408,432,95,319,438,105,333,366,0,366,512,102,371,653,640,4,3,3,5,0,3,0,3,0,0,810,796,12,4,1,1,0,0,0,644,624,11,3,0,4,0,3,0,3,0,0,0,837,799,21,6,0,9,0,5,0,5,0,0,11,927,901,14,3,1,11,0,0,0,691,678,6,1,1,5,0,0,0,643,621,5,1,5,1,0,1,9,879,846,9,7,6,10,0,643,621,5,2,6,7,0
3110100001P,3,3110100001P,223,54,168,298,61,236,288,52,224,184,50,133,182,54,128,145,0,145,210,46,163,376,351,16,2,2,2,0,0,2,2,0,0,431,405,20,3,3,3,0,0,0,388,367,14,2,2,2,0,0,2,2,0,0,0,452,423,24,0,3,4,0,0,1,2,0,0,0,471,444,9,4,5,10,0,0,0,429,406,8,4,2,10,0,0,0,405,374,13,0,2,2,0,3,11,454,415,15,3,5,12,1,405,374,13,1,5,11,1
3102900003P,3,3102900003P,330,36,286,388,31,349,362,31,309,286,36,238,282,47,235,255,0,255,403,36,354,542,537,8,0,0,0,0,0,0,0,0,0,708,677,43,0,0,0,0,0,0,522,518,3,0,0,0,0,0,0,0,0,0,0,658,648,3,0,0,0,0,0,0,0,0,0,13,758,709,44,1,1,2,0,0,0,610,584,24,0,0,1,0,0,0,557,506,38,4,3,0,0,0,6,694,618,56,8,3,6,0,557,506,38,4,3,4,0
3110100003P,3,3110100003P,431,46,380,464,57,402,446,34,394,412,43,361,414,54,360,364,0,364,488,42,416,686,656,23,0,4,0,0,0,4,0,0,0,970,838,65,48,16,0,0,0,0,655,633,16,0,4,0,0,0,4,0,0,0,0,958,850,59,32,14,0,0,28,9,0,0,0,10,924,879,31,2,11,1,0,0,0,696,672,15,1,7,1,0,0,0,670,608,35,0,0,0,0,1,26,857,758,55,4,4,12,3,670,608,35,1,1,7,1
3109700005P,2,3109700005P,284,91,184,338,103,226,325,61,244,265,77,176,266,103,163,190,0,190,298,82,195,532,448,63,3,15,1,0,3,13,0,0,0,739,565,132,3,26,1,0,0,0,562,436,86,6,16,10,0,6,12,1,0,0,0,813,591,172,6,21,10,0,6,20,1,0,0,12,783,621,124,11,22,4,0,0,0,624,516,80,10,13,3,0,0,0,588,458,93,1,21,2,0,0,13,796,593,149,11,34,6,0,588,458,93,6,26,3,0
3102300001W,2,3102300001W,315,70,237,385,80,293,373,53,300,270,75,180,269,70,199,216,0,216,317,61,247,638,588,33,7,0,10,0,7,0,0,0,0,807,719,71,10,19,10,0,0,0,579,525,33,4,0,12,0,4,0,4,0,0,0,747,643,90,6,0,12,0,6,0,5,0,0,10,972,912,40,7,7,3,0,0,0,713,675,19,6,4,3,0,0,0,689,603,62,2,0,0,0,1,21,947,824,89,9,2,12,0,689,603,62,7,0,10,0
3102300005P,2,3102300005P,324,70,250,370,70,296,364,48,303,288,73,202,296,76,220,222,0,222,349,67,267,402,364,13,2,0,6,0,0,0,0,5,0,563,499,36,13,12,8,0,0,0,464,441,9,2,0,2,0,0,0,0,0,5,0,676,618,43,11,12,23,0,0,0,0,0,0,14,687,656,13,2,6,10,0,0,0,527,511,5,0,4,7,0,0,0,526,496,13,0,1,2,1,1,12,653,606,17,2,6,12,1,526,496,13,1,5,6,1
3102300002P,2,3102300002P,548,97,437,680,123,543,662,103,531,484,109,353,488,95,393,404,0,404,579,85,460,848,832,10,0,0,4,0,0,0,4,0,0,1077,1038,15,0,0,21,0,0,0,798,783,4,0,0,4,0,0,0,4,0,0,0,1019,989,17,0,0,15,0,0,0,15,0,0,0,1298,1274,18,3,2,4,0,0,0,968,956,10,1,0,1,0,0,0,966,902,44,1,0,1,0,4,14,1249,1143,73,5,2,8,1,966,902,44,1,1,3,1
3110100005P,3,3110100005P,244,37,204,296,39,254,282,28,237,220,32,182,217,44,173,188,0,188,252,35,210,367,364,0,0,0,0,4,0,0,0,0,0,432,432,1,0,0,0,4,0,0,378,375,0,0,0,4,4,0,0,0,4,0,0,433,427,1,0,0,4,4,0,0,0,4,0,4,451,444,3,0,0,4,0,0,0,353,346,3,0,0,4,0,0,0,383,371,3,0,2,1,0,0,6,502,478,14,1,3,4,0,383,371,3,1,3,3,0
3118500007P,3,3118500007P,399,76,317,470,83,381,437,60,347,340,75,253,343,77,266,305,0,305,449,63,359,603,588,4,11,0,4,0,4,0,0,0,0,765,734,10,32,0,2,0,0,0,664,654,4,7,4,4,0,4,0,0,0,0,0,852,800,17,21,12,3,0,13,0,0,0,0,23,832,803,21,5,0,3,3,0,0,609,593,12,1,0,2,3,0,0,628,610,9,0,0,0,0,0,9,850,813,17,3,4,9,0,628,610,9,3,1,2,0
3118500004W,3,3118500004W,369,96,264,484,154,317,465,81,355,298,85,206,298,89,209,242,0,242,403,90,281,839,737,39,34,0,22,0,34,0,22,0,0,1113,946,96,33,0,23,0,0,0,825,708,57,29,0,24,0,29,0,24,0,0,0,1060,898,92,31,0,26,0,28,0,24,0,13,8,1066,983,40,19,13,10,3,0,0,847,799,28,10,8,8,1,0,0,867,721,98,6,20,6,0,1,15,1095,900,138,13,23,12,3,867,721,98,7,20,11,0
3102300006P,2,3102300006P,334,76,254,395,78,313,378,54,298,305,75,216,312,84,228,250,0,250,333,60,264,560,553,0,0,0,4,0,0,0,0,0,0,705,691,7,0,3,5,0,0,0,548,544,0,0,0,4,0,0,0,0,0,0,0,695,677,8,0,0,3,0,0,0,0,0,0,4,699,678,20,0,0,1,0,0,0,532,523,8,0,0,1,0,0,0,537,513,16,2,0,0,0,0,6,703,657,32,7,3,6,2,537,513,16,3,2,5,2
3118500006P,3,3118500006P,253,48,199,320,49,260,313,41,256,227,44,178,227,50,177,187,0,187,274,49,209,725,647,30,25,1,13,0,25,1,13,0,0,961,827,68,29,3,16,0,0,0,721,630,42,23,0,17,0,23,0,16,0,0,0,919,797,66,27,0,22,0,23,0,16,0,4,5,908,696,118,66,6,22,0,0,0,746,576,83,64,3,22,0,0,0,824,665,73,45,1,27,0,1,12,1047,818,125,57,4,39,2,824,665,73,45,4,33,2
3118500012P,3,3118500012P,488,134,332,587,155,407,559,100,421,421,130,269,426,137,289,318,0,318,511,115,345,1026,901,56,56,0,25,0,56,0,23,2,0,1429,1214,117,75,0,30,0,0,0,988,863,58,38,0,32,0,37,0,27,0,2,0,1282,1090,107,50,0,33,0,40,0,27,0,3,13,1403,1292,73,16,12,10,4,0,0,1080,1015,41,6,8,3,2,0,0,995,869,64,12,10,6,0,6,28,1348,1138,107,35,20,32,2,995,869,64,14,14,21,2
3118500004P,3,3118500004P,518,94,413,604,105,488,580,68,487,434,93,328,432,99,333,383,0,383,555,90,438,758,735,6,1,16,5,0,0,16,3,0,0,979,941,15,6,17,6,0,0,0,728,705,11,7,9,3,0,7,9,0,0,0,0,949,898,27,14,10,4,0,8,9,0,0,0,9,967,942,15,8,1,1,0,0,0,759,749,8,2,0,1,0,0,0,777,726,26,0,8,0,0,0,17,1026,957,34,12,9,9,2,777,726,26,8,9,6,1
3112900001P,3,3112900001P,258,44,210,333,48,276,316,31,270,219,43,172,220,44,176,186,0,186,272,45,212,375,369,5,0,8,0,0,0,4,0,0,0,483,439,47,0,11,4,0,0,0,316,307,5,0,0,0,0,0,0,0,0,0,0,438,401,34,0,0,4,0,0,0,4,0,0,0,582,570,5,1,3,3,0,0,0,443,436,1,1,2,3,0,0,0,399,388,7,0,0,0,0,1,3,507,488,13,2,0,0,1,399,388,7,2,0,0,0
3102300003W,2,3102300003W,469,119,341,527,130,388,497,85,392,436,109,311,439,122,317,353,0,353,456,83,348,760,746,12,0,0,1,0,0,0,0,0,0,1079,1031,53,16,1,17,0,0,0,726,683,19,0,35,1,0,0,0,0,0,0,0,1008,922,51,0,41,4,0,0,0,0,0,0,41,964,937,15,4,3,2,0,0,0,747,733,9,2,3,2,0,0,0,776,718,26,3,1,9,0,1,18,1017,917,50,10,9,17,1,776,718,26,9,2,13,1
3102900007P,3,3102900007P,295,40,252,345,58,284,325,38,278,279,38,234,281,45,236,223,0,223,316,37,268,567,540,29,4,0,4,0,4,0,0,0,0,840,684,144,3,9,3,0,0,0,705,579,122,4,0,4,0,4,0,0,0,0,0,983,704,253,4,21,3,0,3,8,0,0,0,14,931,657,272,1,0,3,0,0,0,686,515,170,0,0,3,0,0,0,645,459,169,3,1,0,0,2,11,880,590,261,8,7,14,0,645,459,169,3,4,7,0
3110100009P,3,3110100009P,380,65,306,453,74,370,429,55,352,325,52,263,324,66,258,281,0,281,426,63,337,686,604,77,1,1,2,0,1,1,0,2,0,933,809,103,6,11,14,0,0,0,670,597,67,1,1,1,0,1,1,0,0,7,0,886,781,83,12,6,19,0,1,6,0,0,0,13,932,827,84,4,9,20,0,0,0,716,660,48,1,4,10,0,0,0,767,680,67,1,5,5,0,0,9,1040,880,122,12,9,12,1,767,680,67,2,8,10,0
3105700002P,3,3105700002P,287,24,258,323,23,295,310,15,281,245,23,214,253,28,225,212,0,212,336,24,300,591,585,0,0,0,3,0,0,0,0,0,0,822,719,98,0,0,3,0,0,0,545,545,0,0,0,0,0,0,0,0,0,0,0,740,670,61,0,0,0,0,0,0,0,0,0,0,719,683,21,8,2,4,2,0,0,553,532,13,3,2,4,0,0,0,466,435,16,2,0,5,0,1,7,561,505,30,8,0,18,2,466,435,16,2,0,12,0
3113100016P,2,3113100016P,648,187,449,757,237,503,717,131,556,595,172,411,597,187,410,496,0,496,655,195,431,858,765,65,7,15,12,0,7,15,0,0,0,1132,921,159,12,28,15,0,0,0,951,867,64,7,14,10,0,7,14,0,0,0,0,1326,1113,151,12,16,28,0,12,14,0,0,0,35,1246,1106,102,17,13,8,1,0,0,950,867,63,8,7,7,0,0,0,993,900,61,5,6,3,0,4,14,1262,1119,106,10,9,20,1,993,900,61,7,8,15,0
3113100011P,2,3113100011P,369,74,290,454,84,366,438,45,372,349,72,270,351,82,269,283,0,283,378,70,291,629,628,0,1,0,0,0,0,0,0,0,0,725,714,9,0,0,0,0,0,0,662,652,8,0,0,0,0,0,0,0,0,0,0,785,741,45,0,0,0,0,0,0,0,0,0,1,884,844,26,8,3,5,1,0,0,686,662,14,4,3,3,1,0,0,630,598,11,0,0,6,0,0,15,813,744,31,5,3,23,1,630,598,11,3,1,16,1
3116900008P,3,3116900008P,353,48,302,438,69,366,424,43,368,311,51,247,314,48,266,251,0,251,393,39,348,485,472,7,0,0,2,0,0,0,2,0,0,639,633,10,0,0,4,0,0,0,429,416,7,0,0,4,0,0,0,2,0,0,0,568,536,8,0,0,5,0,0,0,3,0,0,2,696,678,8,3,3,4,0,0,0,550,543,3,1,1,2,0,0,0,527,519,1,1,1,2,0,0,3,704,685,11,1,1,7,0,527,519,1,1,1,5,0
