GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
2402118-001,5,2402118-001,2683,1015,1578,2533,1120,1308,2518,498,1997,2488,1045,1443,2523,1091,1293,3055,1164,1675,2987,1177,1729,3153,2872,70,142,70,0,0,142,35,0,0,0,4467,3688,337,257,170,16,0,0,0,3010,2726,61,148,75,0,0,148,30,0,0,0,0,4543,3582,426,294,238,3,0,178,103,3,0,0,251,4549,4070,205,172,95,45,2,0,0,3141,2845,119,112,59,29,1,0,0,3312,2799,201,130,52,5,2,7,116,4255,3500,299,217,129,102,11,3312,2799,201,156,85,71,6,4260,3504,299,219,134,100,11
2402121-001,5,2402121-001,1285,480,761,1403,597,770,1188,238,932,1173,500,672,1199,500,642,1387,515,763,1348,513,775,2320,2010,225,62,24,0,0,51,7,0,0,0,2960,2393,354,143,89,0,0,0,0,2198,1757,232,157,35,17,0,152,18,16,0,0,0,2967,2141,429,298,143,17,0,211,127,16,0,0,44,2279,2059,115,40,67,10,5,0,0,1825,1676,69,27,47,6,3,0,0,1814,1555,121,30,54,0,0,5,49,2219,1836,167,96,87,34,2,1814,1555,121,52,63,26,1,2222,1839,167,96,87,34,2
2402109-002,5,2402109-002,2804,1076,1641,3804,1872,1827,2611,587,2002,2562,1058,1501,2590,1097,1390,2679,913,1544,2601,942,1585,3206,2976,74,56,90,0,0,39,59,0,2,0,4124,3644,186,77,218,9,10,0,0,3551,3244,129,75,101,1,0,63,67,0,0,2,0,4589,4039,238,86,231,9,9,64,93,0,0,12,142,4262,3901,157,90,90,33,2,0,0,3312,3071,99,55,67,25,1,0,0,4823,3601,416,288,335,4,0,22,157,6443,4577,619,553,569,97,3,4823,3601,416,336,362,71,1,6446,4580,619,563,571,97,3
2402113-002,5,2402113-002,107,35,70,106,34,72,94,17,77,91,34,57,93,33,53,131,42,86,131,52,74,100,91,5,3,0,0,0,0,0,0,0,0,131,115,11,5,1,0,0,0,0,103,83,17,2,0,0,0,0,0,0,0,2,0,136,101,29,5,0,2,0,0,0,0,0,0,5,141,111,8,15,6,4,0,0,0,110,91,5,10,3,2,0,0,0,144,112,22,0,1,1,0,0,8,170,132,25,4,5,4,3,144,112,22,3,2,3,3,170,132,25,4,5,4,3
2402113-001,5,2402113-001,3057,1368,1581,3692,1923,1644,2753,793,1941,2725,1334,1390,2747,1370,1267,3243,1389,1586,3172,1386,1642,3840,3485,103,125,88,28,0,113,40,0,17,0,5240,4572,203,231,206,91,0,0,0,4156,3776,158,106,86,8,0,98,34,0,0,25,0,5941,5210,307,196,247,45,0,120,104,0,0,0,208,5205,4689,200,175,123,39,3,0,0,3752,3415,119,122,80,24,3,0,0,4511,3799,243,113,105,7,0,19,225,6284,5134,410,327,241,166,7,4511,3799,243,195,139,109,6,6289,5139,410,331,255,168,8
2400302-007,8,2400302-007,1728,885,782,2046,1125,865,1501,508,970,1499,889,608,1506,882,535,1922,912,881,1890,995,822,3614,2265,107,1052,131,59,0,1036,125,10,10,0,4843,2689,380,1667,189,72,10,0,0,3697,2441,82,956,117,82,0,896,115,11,0,10,0,5044,2861,463,1558,173,84,10,1264,135,10,0,37,281,3649,2447,287,702,221,53,10,0,0,2844,2016,175,477,170,38,6,0,0,3446,1942,351,771,199,14,3,20,146,4375,2311,542,1160,295,111,11,3446,1942,351,852,232,97,9,4390,2318,542,1165,296,100,10
2400307-007,8,2400307-007,1581,591,938,2019,926,1052,1382,216,1161,1349,550,799,1374,569,726,1711,674,908,1659,619,989,2182,1894,89,151,8,46,0,151,0,15,0,0,2762,2288,131,264,16,140,0,0,0,2165,1979,75,92,6,15,0,92,0,15,0,0,0,2619,2287,117,188,14,47,0,125,0,16,0,27,48,2967,2672,91,126,57,36,3,0,0,2263,2076,52,90,30,21,2,0,0,2373,2051,91,102,47,6,0,2,74,2968,2496,147,160,103,67,11,2373,2051,91,105,64,40,8,2969,2496,147,156,103,62,11
2400304-015,8,2400304-015,2061,864,1118,2283,1185,1012,1965,448,1488,1930,922,1007,1940,916,891,2145,874,1106,2102,827,1213,2612,2220,92,227,62,22,0,207,41,0,0,0,3297,2697,150,319,101,30,0,0,0,2513,2168,75,149,97,22,0,149,76,0,0,0,0,3027,2521,125,224,131,29,0,188,75,0,0,2,116,3267,2947,65,153,73,27,18,0,0,2583,2338,54,121,45,25,14,0,0,2852,2450,83,117,55,3,2,17,125,3564,2967,139,185,144,90,16,2852,2450,83,144,87,64,15,3565,2967,139,185,143,88,16
2400303-004,8,2400303-004,1860,687,1102,2064,858,1145,1692,397,1271,1669,708,960,1677,687,858,2056,698,1206,2021,759,1172,3263,2486,146,544,88,0,0,484,70,0,0,0,4329,3124,296,764,161,0,0,0,0,3316,2416,107,502,283,5,0,498,87,0,0,0,0,4271,2969,267,645,393,4,0,606,139,0,0,1,287,4282,3441,248,428,151,46,1,0,0,3125,2571,168,269,101,31,1,0,0,3364,2461,229,361,122,12,0,13,166,4389,3069,361,606,221,126,12,3364,2461,229,409,157,94,8,4397,3076,361,624,227,127,13
2400307-025,8,2400307-025,1548,583,916,1781,754,988,1420,276,1119,1383,608,775,1403,622,717,1650,572,966,1630,662,925,2192,2016,25,143,10,7,0,139,10,0,0,0,2707,2494,41,155,29,12,0,0,0,2267,2113,49,75,15,24,0,69,15,0,0,0,0,2761,2577,63,86,29,27,0,69,16,0,0,0,35,2960,2521,75,306,45,21,2,0,0,2236,1913,47,240,25,15,2,0,0,2341,1936,70,184,20,4,0,3,124,2952,2408,101,273,70,81,3,2341,1936,70,212,40,64,2,2954,2408,101,275,70,81,3
