GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
2402701-001,7,2402701-001,1926,1014,833,2007,1253,694,1818,581,1214,1794,1034,760,1811,1039,636,2080,1082,815,2071,1106,879,1987,1570,40,196,179,0,0,196,163,0,1,0,3112,2155,169,369,427,6,0,0,0,1756,1438,61,110,141,0,0,110,130,0,0,1,0,2881,1996,185,333,372,4,0,326,351,0,0,0,22,2787,2094,93,325,268,24,6,0,0,1994,1543,59,198,185,14,4,0,0,2707,1589,137,436,397,0,3,21,124,3725,2028,226,772,676,65,16,2707,1589,137,490,456,40,12,3728,2030,226,778,683,64,16
2400301-015,7,2400301-015,1219,530,657,1355,666,648,1093,248,831,1078,522,554,1101,550,462,1384,549,777,1364,614,710,1889,1560,68,191,59,11,0,160,59,11,0,0,2470,1791,189,453,88,16,0,0,0,2131,1808,41,195,60,11,0,169,60,11,0,5,0,2704,2081,117,396,99,48,0,277,59,12,0,73,85,2531,2036,129,282,82,15,1,0,0,2000,1670,85,179,64,11,1,0,0,2452,1591,224,426,97,11,1,9,93,3157,1877,371,696,168,79,13,2452,1591,224,467,121,53,10,3165,1879,371,698,167,75,13
2400301-013,7,2400301-013,613,324,267,634,313,307,524,197,315,521,319,202,522,321,153,771,388,341,765,428,284,1465,993,112,317,21,24,0,299,21,24,0,0,2016,1232,229,531,77,60,0,0,0,1704,1227,59,365,15,24,0,356,15,24,0,15,0,2206,1474,126,541,70,109,0,497,50,24,0,0,35,2017,1380,129,468,34,28,5,0,0,1443,1092,76,242,25,20,3,0,0,1459,864,199,289,33,11,0,3,60,2001,1080,318,525,70,70,3,1459,864,199,330,48,55,2,2013,1084,318,520,66,66,3
2402701-015,7,2402701-015,2354,1755,519,3445,2752,612,2160,1304,826,2150,1712,438,2149,1698,343,2161,1594,405,2123,1502,499,4833,1927,309,1869,715,15,0,1859,715,0,0,0,7711,2640,848,3088,1237,36,0,0,0,4913,1524,315,2297,739,15,0,2261,739,0,0,20,0,7898,1896,670,3925,1499,33,28,3716,1357,0,0,4,257,4225,1482,276,1845,661,32,5,0,0,3256,1245,178,1363,482,25,4,0,0,7260,1836,569,2805,1692,20,8,61,269,9630,2197,794,4159,2500,138,37,7260,1836,569,3021,1796,103,18,8906,2029,772,3623,2498,133,37
2402702-018,7,2402702-018,1509,814,632,1868,1228,573,1433,424,985,1394,839,553,1431,883,435,1494,822,546,1430,693,698,1861,1520,6,90,234,0,10,90,234,0,0,0,2559,2080,7,93,359,0,19,0,0,1880,1575,10,79,205,0,10,79,205,0,10,0,0,2660,2189,8,128,307,0,19,81,293,0,19,0,70,2765,2201,77,126,348,19,5,0,0,2065,1679,49,85,245,11,2,0,0,2110,1506,79,121,320,0,1,17,66,2847,2000,107,208,485,23,2,2110,1506,79,146,338,19,2,2847,2000,107,208,485,23,2
2402706-030,7,2402706-030,720,545,152,994,783,196,667,420,231,669,550,119,676,551,88,662,502,123,661,470,160,1441,670,26,487,250,0,0,482,220,0,7,0,2203,769,107,722,624,0,0,0,0,1482,657,19,639,160,0,0,607,160,0,0,9,0,2104,795,90,877,363,0,0,822,348,0,0,0,47,1373,543,244,479,127,19,6,0,0,1011,438,156,334,98,10,2,0,0,1885,481,388,669,274,1,0,7,65,2614,581,588,1032,435,69,2,1885,481,388,728,302,50,0,2616,581,588,1030,434,63,1
2402705-014,7,2402705-014,547,339,185,774,564,181,474,189,276,467,298,169,479,313,137,539,338,150,536,330,188,735,463,56,140,62,8,0,135,62,0,9,0,996,590,102,292,71,43,7,0,0,908,452,192,164,69,25,0,160,66,0,0,7,0,1278,541,311,397,97,77,7,256,76,0,0,0,94,1036,782,46,134,68,8,5,0,0,850,658,28,102,56,8,2,0,0,934,588,83,113,67,1,0,1,81,1146,666,125,224,130,31,5,934,588,83,161,95,21,5,1146,666,125,224,130,31,5
2402702-004,7,2402702-004,1254,883,333,1489,1115,327,1167,627,533,1154,860,294,1170,888,231,1292,934,277,1243,873,332,2020,975,50,495,485,10,0,495,460,0,0,0,3328,1389,51,791,1060,37,0,0,0,1965,1005,55,430,470,4,0,430,410,0,0,0,0,3107,1260,54,789,965,39,0,753,840,0,0,0,200,3096,1253,211,907,775,52,11,0,0,2258,994,140,573,563,34,4,0,0,2370,879,143,593,611,1,6,21,116,3280,1070,219,1068,940,37,8,2370,879,143,675,659,25,7,3283,1070,219,1054,940,36,7
2400305-017,8,2400305-017,1838,854,915,1805,960,797,1775,466,1293,1755,922,832,1784,940,740,1950,908,878,1910,918,930,2143,1937,46,33,29,27,0,33,20,0,60,0,2802,2518,91,42,114,45,64,0,0,2082,1822,40,105,54,32,0,83,28,0,0,31,0,2669,2262,89,186,143,38,31,120,34,0,0,0,165,2809,2526,107,80,64,42,0,0,0,2078,1896,65,50,46,20,0,0,0,2151,1881,89,42,43,3,2,0,91,2865,2426,160,115,114,67,10,2151,1881,89,76,69,41,10,2866,2427,160,115,114,67,10
2402701-021,7,2402701-021,1483,1085,348,1955,1572,333,1366,760,587,1362,1065,296,1366,1061,234,1429,1043,294,1411,1002,344,1828,1068,56,433,261,12,0,433,219,2,0,0,2754,1292,317,779,489,11,0,0,0,2505,1099,33,526,832,14,0,526,774,0,0,0,0,3382,1320,41,1042,964,14,0,1025,892,0,0,0,101,2324,1214,168,619,326,20,5,0,0,1725,940,107,435,233,16,2,0,0,3108,1004,301,976,708,3,6,12,98,4276,1237,436,1651,988,91,12,3108,1004,301,1078,730,69,7,4281,1237,436,1615,984,78,12
2403708-009,2,2403708-009,1730,1118,552,2201,1466,671,1408,724,658,1421,999,421,1423,988,380,2018,1305,583,1942,1251,580,3659,1603,184,1726,143,9,0,1726,131,0,0,0,5478,2120,598,2457,218,35,0,0,0,3796,1678,167,1810,132,6,0,1810,110,0,0,0,0,5434,1966,527,2569,342,14,0,2552,274,0,0,51,69,5382,2283,467,2415,209,81,12,0,0,3761,1768,312,1499,160,48,9,0,0,4575,1668,607,1826,193,16,5,29,231,6432,2074,1019,2920,366,204,20,4575,1668,607,1975,253,145,11,6450,2075,1019,2903,358,194,19
2403708-011,2,2403708-011,1133,510,559,1398,728,611,972,316,621,963,468,492,971,457,448,1269,558,564,1228,536,622,2859,1856,129,612,86,129,0,587,82,10,64,0,3757,2340,213,894,226,167,64,0,0,2675,1792,92,705,51,14,0,689,51,3,0,28,0,3702,2364,214,957,157,33,29,875,105,11,0,0,133,3831,2440,240,922,247,62,11,0,0,2752,1869,150,558,161,36,7,0,0,3024,1845,286,574,131,6,5,11,166,4018,2290,406,1027,251,117,28,3024,1845,286,663,182,72,22,4022,2291,406,1023,253,112,24
24037ZZZZZZ,2,24037ZZZZZZ,1,0,1,2,1,1,1,0,1,2,1,1,2,1,1,1,0,1,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402702-006,7,2402702-006,1116,638,430,1293,862,392,1016,343,647,1007,636,369,1025,646,294,1204,683,410,1188,667,473,1559,995,78,275,206,0,0,260,206,0,0,0,3173,1493,93,484,1086,13,0,0,0,1595,950,50,250,335,0,0,230,335,0,0,0,0,3199,1273,66,462,1319,9,0,408,1310,0,0,79,63,2541,1604,68,266,607,8,4,0,0,1902,1286,46,172,404,6,2,0,0,2058,1008,84,211,681,0,0,11,63,2883,1283,130,352,1093,31,8,2058,1008,84,233,707,23,7,2883,1283,130,352,1093,31,8
2402702-012,7,2402702-012,1520,832,622,2399,1573,749,1288,399,874,1256,715,541,1284,754,440,1460,809,508,1424,739,610,2450,1454,124,301,566,8,2,239,556,0,0,0,3797,1986,170,449,1182,9,2,0,0,2162,1256,72,162,668,0,0,159,657,0,0,0,0,3578,1677,94,265,1544,1,0,257,1498,0,0,0,50,3435,2324,92,233,779,20,0,0,0,2492,1768,62,149,505,10,0,0,0,3108,2074,142,179,614,5,0,10,84,4040,2496,216,370,930,50,5,3108,2074,142,226,637,42,2,4041,2497,216,371,932,50,5
2402706-027,7,2402706-027,1629,1178,394,1735,1373,316,1536,877,647,1527,1177,349,1531,1154,292,1748,1296,328,1712,1206,426,2073,881,63,803,318,23,0,770,297,0,9,0,3235,1151,104,1447,578,21,0,0,0,2206,1187,56,695,268,0,0,695,230,0,0,0,0,2977,1485,75,1030,424,4,0,968,359,0,0,0,89,2975,1231,193,965,604,48,5,0,0,2046,920,116,607,404,29,5,0,0,2415,805,176,859,444,6,2,28,95,3300,989,268,1358,700,79,11,2415,805,176,939,495,50,6,3303,990,268,1353,702,75,11
2402702-010,7,2402702-010,983,618,329,1230,877,318,861,340,518,858,574,282,870,582,218,1064,696,285,1016,642,353,1315,835,10,10,465,0,0,10,435,0,0,0,1873,1039,18,8,808,7,0,0,0,1185,685,10,4,485,0,0,4,465,0,0,0,0,1624,784,17,1,800,7,0,1,744,0,0,0,78,1660,1165,44,70,385,9,2,0,0,1195,887,26,38,242,6,2,0,0,1447,751,23,54,550,1,0,4,64,2010,944,37,111,875,19,2,1447,751,23,71,567,11,2,2011,945,37,112,890,19,2
2402706-001,7,2402706-001,1271,772,448,1459,1005,402,1270,590,656,1256,844,410,1260,824,355,1205,693,415,1173,682,431,1692,1141,64,429,65,0,0,403,65,0,0,0,2171,1281,201,494,196,0,0,0,0,1801,1039,48,639,71,7,0,611,71,0,0,7,0,2597,1164,84,1048,290,7,0,1013,271,0,0,0,67,2983,1493,221,797,477,40,9,0,0,2202,1204,156,508,332,29,8,0,0,2737,1206,420,730,225,6,0,21,129,3516,1387,630,1111,359,88,5,2737,1206,420,797,270,64,4,3519,1387,630,1113,362,71,3
2402701-006,7,2402701-006,1266,764,448,1238,829,372,1140,490,630,1114,742,372,1137,744,311,1498,869,511,1493,923,495,2756,1721,264,499,268,10,0,499,268,10,0,0,5070,2083,1278,924,791,10,0,0,0,2948,1486,733,516,206,4,0,357,206,4,0,0,0,5338,1763,1821,1019,833,7,0,664,833,7,0,27,222,3915,2286,287,585,752,57,8,0,0,2972,1817,178,400,559,35,2,0,0,3485,1390,996,389,566,8,0,25,111,4768,1639,1609,688,800,149,4,3485,1390,996,473,592,105,1,4774,1642,1609,697,818,103,3
2400129-002,5,2400129-002,1097,363,704,1182,413,745,1018,175,840,1000,337,663,1025,416,554,1216,378,762,1164,431,686,1668,1583,33,14,34,0,0,9,20,0,0,0,2061,1887,57,39,82,2,0,0,0,1798,1718,30,20,27,2,0,9,11,2,0,0,0,2155,1983,66,55,49,2,0,7,34,2,0,0,62,2125,2006,15,49,42,16,0,0,0,1719,1637,11,31,33,10,0,0,0,1609,1495,12,14,41,0,1,0,46,1968,1787,26,51,55,41,2,1609,1495,12,26,44,29,1,1970,1789,26,51,58,42,2
2400106-003,5,2400106-003,322,133,176,407,169,228,273,61,206,271,115,156,270,130,126,361,137,187,337,166,153,597,585,4,6,1,1,0,2,1,0,0,0,775,751,11,10,1,2,0,0,0,598,575,12,6,2,2,0,6,2,0,0,0,0,745,714,18,8,2,1,0,7,2,0,0,0,5,982,897,8,58,12,11,2,0,0,800,740,6,41,5,7,0,0,0,750,652,13,36,8,1,0,1,39,929,779,21,91,14,26,0,750,652,13,57,8,21,0,929,779,21,91,14,26,0
2400114-000,5,2400114-000,224,119,95,272,130,134,183,70,109,171,98,73,174,107,55,291,153,111,267,158,92,852,755,10,79,0,4,0,75,0,0,0,0,914,788,20,98,0,4,0,0,0,877,806,15,44,0,4,0,40,0,0,0,4,0,976,868,34,67,0,11,0,57,0,0,0,0,15,951,838,23,76,7,4,2,0,0,856,766,19,58,7,4,2,0,0,668,548,22,56,11,3,0,0,28,762,607,27,89,17,27,0,668,548,22,70,15,21,0,769,612,27,91,18,27,0
2400126-000,5,2400126-000,1198,550,605,1708,921,745,1026,359,649,1001,497,504,1006,517,433,1312,559,648,1213,503,622,4004,2699,165,1069,44,39,0,975,44,10,20,0,4679,3108,187,1231,143,65,0,0,0,4302,3062,210,1004,4,44,4,900,4,10,4,4,0,4956,3438,228,1170,121,57,1,937,101,9,1,55,187,5422,4090,128,1069,127,45,8,0,0,4960,3677,114,1038,121,43,8,0,0,3345,2454,77,556,119,13,0,31,95,3909,2911,94,664,154,47,3,3345,2454,77,594,140,37,3,3912,2913,94,665,154,48,3
2400118-000,5,2400118-000,910,148,747,1014,150,851,813,64,745,781,115,666,787,199,557,1092,137,923,1017,217,749,1847,1838,0,4,9,4,4,0,6,0,0,0,2429,2393,1,17,15,3,1,0,0,1687,1656,1,5,25,5,4,1,16,0,4,0,0,2243,2188,3,19,28,4,2,1,15,3,2,0,32,2160,2120,11,9,12,5,1,0,0,1685,1660,7,3,9,5,1,0,0,1623,1538,19,0,6,6,0,1,53,2054,1942,24,16,18,50,2,1623,1538,19,10,10,41,1,2055,1943,24,16,18,50,2
2400307-027,8,2400307-027,1632,673,909,2438,1219,1163,1420,344,1057,1398,622,776,1410,661,690,1583,607,851,1556,586,925,3000,2547,138,270,46,0,0,251,26,0,0,0,3912,3188,260,406,63,2,0,0,0,2999,2398,107,434,51,0,0,412,28,0,0,0,0,3945,3047,184,632,73,0,0,544,40,0,0,10,115,4047,3391,147,360,128,28,7,0,0,2962,2483,95,281,84,21,3,0,0,3133,2490,188,241,115,4,0,11,84,4121,3208,276,364,216,48,8,3133,2490,188,272,143,34,1,4121,3208,276,364,216,48,8
2400303-022,8,2400303-022,1247,449,753,1353,572,755,1109,209,895,1097,448,649,1109,464,576,1396,494,795,1394,510,837,1697,1330,44,114,108,99,0,114,83,0,2,0,2166,1677,102,174,149,126,2,0,0,1713,1376,34,146,68,86,0,146,41,0,0,1,0,2172,1729,92,191,101,109,1,161,43,0,0,0,147,2327,1830,55,384,42,23,1,0,0,1856,1474,29,301,35,21,1,0,0,1810,1390,49,246,46,1,2,4,72,2236,1713,86,312,74,40,5,1810,1390,49,267,62,34,3,2239,1715,86,308,80,40,5
2400303-020,8,2400303-020,1282,323,920,1373,361,980,1196,107,1074,1163,343,820,1178,359,735,1403,334,990,1392,433,924,1669,1646,6,16,0,0,0,16,0,0,0,0,2146,2072,22,50,0,8,0,0,0,1833,1677,6,16,128,0,0,16,128,0,0,0,0,2366,2197,14,26,128,7,0,17,128,0,0,0,7,2219,2076,39,59,42,16,6,0,0,1767,1677,24,37,26,9,2,0,0,1828,1610,54,35,59,6,0,4,60,2254,1970,69,78,86,44,2,1828,1610,54,50,75,32,1,2256,1972,69,77,82,43,2
2400307-023,8,2400307-023,1609,630,920,2342,1191,1091,1390,230,1152,1367,575,788,1408,626,712,1601,619,832,1556,561,949,2677,2546,95,34,3,0,0,34,3,0,0,0,3534,3300,191,36,9,13,0,0,0,2749,2591,103,41,2,10,0,31,2,0,0,0,0,3579,3324,186,47,10,19,0,35,10,0,0,4,23,3359,3058,87,111,84,31,1,0,0,2576,2339,64,99,62,23,1,0,0,2864,2468,130,98,68,1,0,13,86,3711,3136,196,144,155,50,7,2864,2468,130,111,101,36,3,3714,3137,197,144,156,49,7
2400303-017,8,2400303-017,1448,345,1057,1582,443,1099,1350,118,1220,1292,364,927,1313,375,834,1594,342,1162,1566,415,1104,2565,2236,0,153,155,10,0,153,75,0,18,0,3235,2798,0,189,239,9,16,0,0,2449,2214,0,104,116,8,0,104,55,0,0,9,0,3162,2799,33,137,186,8,8,128,108,0,0,0,94,2652,2469,44,66,44,27,1,0,0,2079,1958,32,42,26,18,0,0,0,2081,1881,52,43,25,5,0,5,70,2602,2305,91,66,62,66,5,2081,1881,52,52,36,43,4,2607,2310,91,68,62,63,5
2400302-013,8,2400302-013,1085,483,556,1474,722,691,958,290,661,943,502,441,943,483,383,1106,440,571,1091,469,581,1465,1158,55,197,60,0,0,197,43,0,0,0,2007,1355,112,340,240,0,0,0,0,1559,1205,137,188,30,0,0,188,13,0,0,0,0,2088,1407,264,316,190,0,0,248,94,0,0,0,75,1756,1331,113,249,73,12,0,0,0,1348,1068,69,159,54,12,0,0,0,1948,1395,105,292,70,3,6,3,74,2480,1697,163,453,113,68,10,1948,1395,105,326,81,46,10,2483,1698,163,454,112,69,10
2400102-000,5,2400102-000,467,79,375,518,81,429,394,33,357,395,72,323,399,96,279,564,78,457,536,117,400,945,915,25,0,0,4,0,0,0,0,0,0,1139,1100,27,0,7,5,0,0,0,805,770,30,0,0,4,0,0,0,0,0,0,0,958,918,29,0,8,3,0,0,6,0,0,0,5,1182,1155,10,10,2,10,0,0,0,944,924,8,7,1,9,0,0,0,844,810,2,7,0,1,0,0,24,996,956,4,9,3,16,1,844,810,2,8,3,16,0,996,956,4,9,3,16,1
2400104-004,5,2400104-004,786,277,484,958,374,563,711,136,563,682,249,433,704,321,355,854,247,559,807,327,445,1251,1195,4,56,0,6,0,53,0,3,0,0,1576,1438,5,119,7,9,0,0,0,1271,1215,4,44,0,18,0,41,0,14,0,0,0,1659,1531,3,101,6,18,0,39,6,14,0,2,66,1735,1629,14,68,11,14,1,0,0,1425,1355,10,44,9,9,1,0,0,1564,1413,22,62,6,3,0,6,52,1887,1682,28,118,13,31,2,1564,1413,22,85,11,19,2,1890,1685,28,119,13,31,2
2402703-005,7,2402703-005,2414,1210,1124,3501,2084,1341,2077,614,1435,2037,1089,947,2062,1120,779,2466,1250,1042,2372,1113,1191,3984,2643,79,188,1053,10,0,158,1053,10,0,0,5855,3288,241,442,1957,14,0,0,0,3905,2259,150,264,1208,10,0,201,1207,10,0,0,0,5537,2731,438,637,1856,13,0,299,1553,11,0,22,478,5072,3352,86,290,1336,22,3,0,0,3762,2617,60,210,865,17,2,0,0,5050,2602,95,335,1905,5,0,12,96,6756,3116,147,513,2948,48,6,5050,2602,95,385,1950,33,4,6757,3117,147,513,2947,48,6
2402706-029,7,2402706-029,2958,2102,750,3496,2758,660,2723,1394,1297,2714,2084,629,2742,2066,500,3050,2200,621,3000,2110,782,4001,2221,95,1035,612,5,0,1035,555,0,42,0,5506,2808,168,1479,1023,42,21,0,0,4031,2134,109,1165,576,5,0,1165,522,0,0,39,0,5732,2743,232,1570,1205,42,18,1477,1112,0,0,0,167,5171,2437,265,1345,1165,60,10,0,0,3903,1974,170,913,853,38,6,0,0,4710,2133,251,1116,984,11,1,25,189,5871,2492,374,1671,1330,126,10,4710,2133,251,1230,1057,85,9,5873,2492,374,1664,1333,111,10
2402706-012,7,2402706-012,609,442,147,632,505,110,579,320,253,565,427,138,577,433,110,657,492,116,646,476,149,836,456,30,309,30,0,0,309,30,0,11,0,1044,531,92,365,54,21,20,0,0,739,426,42,234,30,1,0,234,29,0,0,7,0,1021,497,177,288,45,43,15,283,29,0,0,16,20,1041,596,83,264,98,9,0,0,0,802,491,57,180,74,6,0,0,0,832,451,96,178,43,1,1,9,53,1062,548,135,295,81,41,4,832,451,96,228,57,35,3,1062,548,135,295,81,41,4
2402705-016,7,2402705-016,1277,929,301,1529,1230,249,1176,665,498,1168,918,250,1181,931,191,1315,955,265,1284,873,346,2154,1125,156,526,292,20,0,517,257,20,34,0,2990,1231,267,991,611,55,0,0,0,1873,837,177,605,186,44,0,592,175,20,0,28,0,2644,920,390,959,408,71,0,727,257,20,0,90,242,2921,1482,242,747,464,37,6,0,0,2420,1314,174,549,389,27,4,0,0,2382,1131,174,686,254,0,4,13,120,2856,1237,222,1033,348,54,5,2382,1131,174,767,291,38,4,2857,1237,222,1031,349,54,5
2402706-033,7,2402706-033,1406,933,418,1489,1090,336,1283,599,669,1278,899,379,1285,926,311,1552,1037,384,1543,1045,433,2144,1115,200,761,60,0,0,761,60,0,11,0,2844,1408,430,912,114,0,0,0,0,2392,1031,120,1175,65,8,0,1114,65,0,0,8,0,3060,1254,203,1403,191,12,0,1289,173,0,0,0,141,2674,1462,221,807,186,31,10,0,0,2052,1179,155,579,141,23,6,0,0,2244,958,274,662,217,20,0,16,97,2888,1135,394,962,329,90,2,2244,958,274,727,228,68,1,2893,1136,394,957,336,84,1
2402706-026,7,2402706-026,1926,1425,434,2011,1617,334,1830,1026,774,1799,1406,393,1821,1415,314,2066,1571,335,2035,1523,449,2160,1370,65,545,140,0,0,530,140,0,50,0,3113,1809,64,1005,340,0,0,0,0,1970,1220,45,505,130,0,0,485,130,0,0,75,0,2824,1577,44,962,361,0,0,728,152,0,0,52,271,3300,1961,156,866,326,20,7,0,0,2583,1654,116,578,242,13,7,0,0,2614,1416,144,701,211,0,0,23,119,3396,1692,237,1122,323,35,2,2614,1416,144,780,249,24,0,3402,1692,237,1118,324,35,2
2400301-022,7,2400301-022,2982,2035,850,4583,3463,997,2590,1339,1210,2576,1858,718,2590,1861,600,2826,1889,724,2763,1821,842,5325,2365,285,1740,880,50,0,1645,830,30,25,0,7264,2840,511,2513,1511,152,75,0,0,6170,2860,310,2040,950,25,0,1910,920,0,0,20,0,7865,3409,623,2587,1427,166,70,2242,1227,0,0,0,364,4780,2696,279,1033,790,52,10,0,0,3831,2284,202,728,618,36,8,0,0,7913,2921,747,2260,1552,8,8,37,380,9724,3285,1064,3380,2080,186,27,7913,2921,747,2548,1721,139,21,9730,3286,1064,3346,2081,171,27
2400307-017,8,2400307-017,906,457,408,1028,597,379,699,204,488,688,365,323,699,387,271,1175,604,471,1154,584,526,1433,952,124,304,52,0,0,304,36,0,0,0,2201,1214,399,520,68,0,0,0,0,1201,891,36,243,36,0,0,243,36,0,0,0,0,1876,1140,147,425,164,0,0,425,164,0,0,0,0,1848,1527,83,156,79,11,3,0,0,1407,1190,54,104,56,6,3,0,0,1439,1036,81,182,66,0,0,7,67,1902,1319,139,289,130,44,2,1439,1036,81,213,88,23,2,1904,1320,139,283,129,42,2
2400302-008,8,2400302-008,1500,587,862,1732,761,929,1309,316,986,1287,588,697,1299,586,621,1721,587,1006,1695,695,940,2776,2149,75,488,31,30,10,473,20,10,0,0,3757,2558,497,540,75,29,38,0,0,2973,2099,92,673,45,30,42,661,35,15,42,0,0,4018,2406,603,734,142,63,93,718,115,13,41,13,104,3856,3141,255,326,89,80,13,0,0,2999,2539,162,197,65,48,6,0,0,3135,2151,362,351,80,14,3,19,155,3934,2531,556,572,164,126,13,3135,2151,362,405,117,92,8,3945,2539,556,567,162,126,13
2400306-004,8,2400306-004,475,364,94,530,433,80,444,278,161,434,357,77,442,358,63,513,387,82,506,384,100,1055,762,0,222,21,49,0,213,21,0,0,0,1350,817,137,284,70,43,0,0,0,950,610,62,236,6,40,0,227,6,0,0,7,0,1331,825,106,385,25,39,0,310,19,0,0,8,65,1493,634,306,500,55,14,0,0,0,1164,567,203,358,43,8,0,0,0,1104,482,230,307,45,1,0,4,35,1347,529,362,379,75,17,2,1104,482,230,332,57,13,0,1349,530,362,380,73,17,2
2400103-000,5,2400103-000,451,69,376,544,80,460,382,24,355,373,55,318,379,67,290,536,81,444,510,106,389,885,873,0,2,2,0,0,2,2,0,2,0,1139,1116,4,10,8,2,0,0,0,941,929,0,6,2,0,0,6,2,0,0,2,0,1201,1174,4,11,9,1,0,10,9,0,0,0,1,1048,1023,9,11,0,9,0,0,0,852,839,3,2,0,8,0,0,0,843,807,0,7,3,0,1,3,22,1042,994,0,14,4,21,1,843,807,0,10,4,16,1,1042,994,0,14,4,21,1
2402703-004,7,2402703-004,173,88,79,208,140,64,166,49,113,162,86,76,164,89,61,172,92,77,167,77,83,329,198,7,35,80,4,1,30,79,4,4,0,435,237,12,52,137,8,1,0,0,295,174,5,21,84,4,3,19,83,4,3,4,0,414,213,10,39,158,8,3,23,147,4,3,1,15,340,276,3,17,44,0,0,0,0,228,180,3,13,32,0,0,0,0,252,161,5,6,69,0,0,0,11,352,229,12,10,99,3,0,252,161,5,8,74,3,0,352,229,12,10,99,3,0
2402703-006,7,2402703-006,1461,663,735,1648,901,684,1273,340,923,1254,622,632,1265,622,552,1689,776,758,1633,717,876,1704,1334,68,107,198,0,0,103,145,0,0,0,2454,1739,102,148,456,13,7,0,0,1655,1351,83,32,186,0,0,28,141,0,0,0,0,2303,1722,127,31,407,0,12,29,253,0,0,4,168,2422,1858,68,192,296,8,4,0,0,1727,1346,45,132,197,5,3,0,0,1965,1359,73,149,302,0,0,14,68,2618,1761,105,227,469,35,2,1965,1359,73,164,322,25,1,2620,1763,105,228,471,32,1
2402701-007,7,2402701-007,499,312,168,779,552,197,420,172,245,417,270,147,423,292,117,480,301,134,479,290,168,453,278,14,54,93,5,0,54,87,0,7,0,658,338,20,106,165,19,3,0,0,487,282,22,69,103,0,0,62,101,0,0,9,0,725,362,42,134,189,8,0,95,151,0,0,14,58,440,250,13,92,88,4,0,0,0,366,217,10,69,72,3,0,0,0,1206,574,78,188,303,3,0,9,51,1606,698,139,354,426,32,2,1206,574,78,211,317,25,1,1607,699,139,354,426,32,2
